"","modified","institutionCode","collectionCode","catalogNumber","scientificName","family","genus","specificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","recordNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLongitude","decimalLatitude","occurrenceRemarks","occurrenceID","bibliographicCitation","acceptedNameUsage","identificationQualifier","infraspecificEpithet","typeStatus","fieldNumber","comments"
"1",NA,"USP","SPF","216454","Astronium nelson-rosae Santin","Anacardiaceae","Astronium","nelson-rosae","Santin","Silva-Luz, CL","2014-10-02T00:00:00.000+0000","301","Silva-Luz, CL",2014,10,2,"Brazil","Minas Gerais","Uberlândia","BR 050 em direção à entrada de Uberlândia. Na beira da rodovia, próximo ao km 79. Fazenda Experimental do Glória - campus da Universidade Federal de Uberlândia. Estrada de terra em frente à represa.",-48.207667,-18.956278,"Árvore ca. 8 m alt. Folhas verdes discolores. Frutos amarronzados.; Floresta Estacional Semidecidual. Na borda da mata.","BRA:USP:SPF:0000216454",NA,"Astronium nelson-rosae Santin",NA,NA,NA,NA,NA
"2","2017-10-14T03:34:04.000+0000","JBRJ","RB","RB00987627","Astronium nelson-rosae Santin","Anacardiaceae","Astronium","nelson-rosae","Santin","C.L. Silva-Luz",NA,"301","C.L. Silva-Luz; L.F. Luz",2014,10,2,"Brazil","Minas Gerais","Uberlândia","BR 050 em direção à entrada de Uberlândia. Na beira da rodovia, próximo ao km 79. Fazenda Experimental do Glória - campus da Universidade Federal de Uberlândia. Estrada de terra em frente à represa.",-48.2075,-18.956111,"Árvore ca. 8m alt. Folhas verdes discolores. Frutos amarronzados","urn:catalog:JBRJ:RB:987627",NA,"Astronium nelson-rosae Santin",NA,NA,NA,NA,NA
"3",NA,"NY","NY","02423615","Astronium nelson-rosae Santin","Anacardiaceae","Astronium","nelson-rosae","Santin",NA,NA,"301","C. L. Silva-Luz",2014,10,2,"Brazil","Minas Gerais",NA,"BR 050 em direÃ§Ã£o Ã  entrada de UberlÃ¢ndia. Na beira da rodovia prÃ³ximo ao km 79. Fazenda Experimental do GlÃ³ria - Campus da Universidade Federal de UberlÃ¢ndia.",-48.20767,-18.95628,NA,"b16325f9-ca90-4b29-b086-68f332d9a3cf",NA,"Astronium nelson-rosae Santin",NA,NA,NA,NA,NA
"4",NA,"UFPI","TEPB","22952","Astronium nelson-rosae Santin","Anacardiaceae","Astronium","nelson-rosae","Santin",NA,NA,"1101","M.L.Fonseca",2006,8,14,"Brazil","Goiás","Niquelândia","Ca. De 1 Km da mina de níquel passando por baixo do telegráfo.Lado esquerdo.",-48.398333,-14.336667,"Solo serpentino.Relevo ondulado.Subarbusto heliófilo ca. 1,5 m de altura; folhas verdes cartáceas; frutos imaturos marrons.Abundante. Ambiente: Campo Sujo","BRA:UFPI:TEPB:0000022952",NA,"Astronium nelson-rosae Santin",NA,NA,NA,NA,NA
"5",NA,"UFU","HUFU","47113","Astronium nelson-rosae Santin","Anacardiaceae","Astronium","nelson-rosae","Santin",NA,NA,"s.n.","Araújo, G.M.; et al.",2006,9,6,"Brazil","Minas Gerais","Uberlândia","Capim Branco II, Fazenda Dona Lurdes.",0,0,"Árvore, ca. 15 m. Frutos verdes.; Semidecíduo.","BRA:UFU:HUFU:0000047113",NA,"Astronium nelson-rosae Santin",NA,NA,NA,NA,NA
"6",NA,"UFU","HUFU","43081","Astronium nelson-rosae Santin","Anacardiaceae","Astronium","nelson-rosae","Santin",NA,NA,"s.n.","Siqueira, A.S.; Kilca, R.V.",2005,8,17,"Brazil","Minas Gerais","Uberlândia","Fazenda Dona Lurdes",0,0,"Árvore, ca. 13 m. Fruto verde ou vinho.; Mata semidecidua.","BRA:UFU:HUFU:0000043081",NA,"Astronium nelson-rosae Santin",NA,NA,NA,NA,NA
"7",NA,"US","Botany","3673549","Astronium nelson-rosae Santin","Anacardiaceae","Astronium","nelson-rosae","Santin",NA,NA,"79285","G. Hatschbach & E. Barbosa",2005,9,17,"Brazil","Minas Gerais",NA,"Rodovia Ibiaí a Cachoeira da Manteiga",NA,NA,NA,"http://n2t.net/ark:/65665/3e4ae05c2-930f-4651-956f-f444253f467f",NA,"Astronium nelson-rosae Santin",NA,NA,NA,NA,NA
"8",NA,"UFMT","UFMT","28013","Astronium nelson-rosae Santin","Anacardiaceae","Astronium","nelson-rosae","Santin","Árbocz, G.F.","1998-01-01T00:00:00.000+0000","4153","Árbocz, G.F.; Assis, M.C.; Silva, M.R.; Zanella, J.",1997,7,5,"Brazil","Mato Grosso","Aripuanã","Gleba Aripuanã a 27km da cidade em direção sudoeste.",-59.605556,-10.2825,"Árvore 40m. Frutos imaturos verdes.; Floresta Ombrófila preservada. Relevo ondulado. Solo tipo regossolo. Área da fitossociologia.","BRA:UFMT:UFMT:0000028013",NA,"Astronium nelson-rosae Santin",NA,NA,NA,NA,NA
"9",NA,"Escola Superior de Agricultura Luiz de Queiroz, ESALQ","ESA","ESA048178","Astronium nelson-rosae Santin","Anacardiaceae","Astronium","nelson-rosae","Santin",NA,NA,"4153","Árbocz, G.F.; Assis, M.C.; Silva, M.R.; Zanella, J.",1997,7,5,"Brazil","Mato Grosso","Aripuanã","Gleba Aripuanã, 27km da cidade em direção SW. Floresta Ombrófila preservada. Relevo ondulado. Solo tipo regossolo",-59.362,-10.1657,NA,"BRA:ESALQ:ESA:0ESA048178",NA,"Astronium nelson-rosae Santin",NA,NA,NA,NA,NA
"10",NA,"UNICAMP","UEC","90133","Astronium nelson-rosae Santin","Anacardiaceae","Astronium","nelson-rosae","Santin","Fonseca, M.L.","1996-10-01T00:00:00.000+0000","1101","Fonseca, M.L.; Santos, A.J.; Filgueiras, T.S.; Mendonça, R.C.",1996,8,14,"Brazil","Goiás","Niquelândia","ca. 1Km da mina de Níquel, Passando por baixo do teleférico. Lado esquerdo. Solo serpentino; Relevo ondulado. Campo sujo.",-48.398333,-14.336667,"Subarbusto heliófito ca. 1,5 m de altura; folhas verdes cartáceas; frutos imaturos marrons. Abundante.","BRA:UNICAMP:UEC:0000090133",NA,"Astronium nelson-rosae Santin",NA,NA,NA,NA,NA
