"","institutionCode","catalogNumber","recordedBy"
"1","Instituto Nacional de Pesquisas da Amazônia (INPA)","161735","Soares, E"
"2","Instituto Nacional de Pesquisas da Amazônia (INPA)","154640","Soares, E"
"3","Instituto Nacional de Pesquisas da Amazônia (INPA)","48461","Loureiro, AA"
"4","Instituto Nacional de Pesquisas da Amazônia (INPA)","61228","Humberto"
"5","Instituto Nacional de Pesquisas da Amazônia (INPA)","13473","Rodrigues, WA"
"6","Instituto Nacional de Pesquisas da Amazônia (INPA)","6192","Pessoal do C.P.F."
"7","Instituto Nacional de Pesquisas da Amazônia (INPA)","6063","Pessoal do C.P.F."
"8","Instituto Nacional de Pesquisas da Amazônia (INPA)","6207","Pessoal do C.P.F."
"9","Instituto Nacional de Pesquisas da Amazônia (INPA)","3560","Co̻lho, DF"
"10","Instituto Nacional de Pesquisas da Amazônia (INPA)","15973","Ule, U"
