"","modified","institutionCode","collectionCode","catalogNumber","scientificName","family","genus","specificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","recordNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLongitude","decimalLatitude","occurrenceRemarks","occurrenceID","bibliographicCitation","acceptedNameUsage","identificationQualifier","infraspecificEpithet","typeStatus","fieldNumber","comments"
"16",NA,"UEFS","HUEFS","122717","Ficus bonijesulapensis R.M.Castro","Moraceae","Ficus","bonijesulapensis","R.M.Castro",NA,NA,"1780","Santos, R.M.",2007,7,12,"Brazil","Bahia","Iraquara",NA,-41.501667,-12.327222,"Caatinga.","BRA:UEFS:HUEFS:0000122717",NA,"Ficus bonijesulapensis R.M.Castro",NA,NA,NA,NA,NA
"17",NA,"UEFS","HUEFS","122762","Ficus bonijesulapensis R.M.Castro","Moraceae","Ficus","bonijesulapensis","R.M.Castro",NA,NA,"1825","Santos, R.M.",2007,7,12,"Brazil","Bahia","Iraquara","BR 242, Fazenza Morrinhos.",-40.998056,-12.460278,"Afloramento calcário.","BRA:UEFS:HUEFS:0000122762",NA,"Ficus bonijesulapensis R.M.Castro",NA,NA,NA,NA,NA
"18","2017-10-18T12:26:46.000+0000","JBRJ","RB","RB00526964","Ficus bonijesulapensis R.M.Castro","Moraceae","Ficus","bonijesulapensis","R.M.Castro","A.F.P.Machado",NA,"1746","R. M. Santos ; F. A. Veira",2007,7,2,"Brazil","Bahia","São Desidério","BR 135. .",-44.968889,-12.376944,"Árvore ca. 7,0 m de altura. Folhas cartáceas. Frutos imaturos marrons. DNA.","urn:catalog:JBRJ:RB:526964",NA,"Ficus bonijesulapensis R.M.Castro",NA,NA,NA,NA,NA
"19","2008-05-27T22:02:00.000+0000","MO","MO","3457884","Ficus bonijesulapensis R.M.Castro","Moraceae","Ficus","bonijesulapensis","R.M.Castro",NA,NA,"Santos 1780","R.M. Santos",2007,7,12,"Brazil","Bahia",NA,"Iraquara. Caatinga.",-41.50166,-12.32722,NA,"urn:catalog:MO:Tropicos:3457884","http://www.tropicos.org/Specimen/3457884","Ficus bonijesulapensis R.M.Castro",NA,NA,NA,NA,NA
"20",NA,"IPA","IPA","81755","Ficus bonijesulapensis R.M.Castro","Moraceae","Ficus","bonijesulapensis","R.M.Castro",NA,NA,"1696","Santos, R.M.",2007,7,2,"Brazil","Bahia","São Desidério","BR 135",-44.968889,-12.376944,"Árvore ca. 12m de altura. Folhas cartáceas. Frutos imaturos verde-escuro. Planta com látex. De A até Q.","BRA:IPA:IPA:0000081755",NA,"Ficus bonijesulapensis R.M.Castro",NA,NA,NA,NA,NA
"21",NA,"UEFS","HUEFS","121714","Ficus bonijesulapensis R.M.Castro","Moraceae","Ficus","bonijesulapensis","R.M.Castro","F.Lôbo & A.A.Conceição","2007-12-01T00:00:00.000+0000","2469","Conceição, A.A.",2007,7,7,"Brazil","Bahia","Macaúbas","Tinguí.",-42.789722,-13.086111,NA,"BRA:UEFS:HUEFS:0000121714",NA,"Ficus bonijesulapensis R.M.Castro",NA,NA,NA,NA,NA
"24",NA,"UEFS","HUEFS","127865","Ficus bonijesulapensis R.M.Castro","Moraceae","Ficus","bonijesulapensis","R.M.Castro",NA,NA,"2546","Conceição, A.A.",2007,10,11,"Brazil","Bahia","Ibitiara","Estrada lbitiara para Mucambo.",-42.297222,-12.648611,"Caatinga arbórea.","BRA:UEFS:HUEFS:0000127865",NA,"Ficus bonijesulapensis R.M.Castro",NA,NA,NA,NA,NA
"25",NA,"UEFS","HUEFS","127866","Ficus bonijesulapensis R.M.Castro","Moraceae","Ficus","bonijesulapensis","R.M.Castro",NA,NA,"2547","Conceição, A.A.",2007,10,11,"Brazil","Bahia","Ibitiara","Estrada lbitiara para Mucambo.",-42.297222,-12.648611,"Caatinga arbórea.","BRA:UEFS:HUEFS:0000127866",NA,"Ficus bonijesulapensis R.M.Castro",NA,NA,NA,NA,NA
"26",NA,"UEFS","HUEFS","127867","Ficus bonijesulapensis R.M.Castro","Moraceae","Ficus","bonijesulapensis","R.M.Castro",NA,NA,"2548","Conceição, A.A.",2007,10,11,"Brazil","Bahia","Ibitiara","Estrada lbitiara para Mucambo.",-42.297222,-12.648611,"Caatinga arbórea.","BRA:UEFS:HUEFS:0000127867",NA,"Ficus bonijesulapensis R.M.Castro",NA,NA,NA,NA,NA
"27",NA,"UESB","HUESB","2784","Ficus bonijesulapensis R.M.Castro","Moraceae","Ficus","bonijesulapensis","R.M.Castro","Machado, A.F.P.","2015-07-27T00:00:00.000+0000","14","Trindade, O.S.N.; R.O.Brito.; R.O.Brito.",2007,10,9,"Brazil","Bahia","Jequié","Chesf., Chesf - Barragem de Pedra, margem direita.",0,0,"Solo areno-argiloso pedregoso. Doação Oziel Trindade.; Arbusto. Folhas cartáceas, discolores, nervuras peninerveas destacadas. Frutos verdes arredondados.; Caatinga nativa.","BRA:UESB:HUESB:0000002784",NA,"Ficus bonijesulapensis R.M.Castro",NA,NA,NA,NA,NA
