"","modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","recordNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLongitude","decimalLatitude","occurrenceRemarks","occurrenceID","bibliographicCitation","acceptedNameUsage","infraspecificEpithet","typeStatus","fieldNumber","comments"
"1",NA,"UNEMAT","HERBAM","4179","Mouriri dimorphandra T.Morley",NA,"Melastomataceae","Mouriri","dimorphandra","T.Morley","Assunção, PACL","2009-04-01T00:00:00.000+0000","1743","Soares, CRA; Piva, JH; Rocha Filho, JA; Rodrigues, L; Melo, JAM; Cabral, FF",2008,10,13,"Brazil","Mato Grosso","Paranaíta","UHE São Manoel",-57.052222,-9.185833,"UHE São Manoel (EIA)","BRA:UNEMAT:HERBAM:0000004179",NA,"Mouriri dimorphandra T.Morley",NA,NA,NA,NA
"2","2014-09-26T00:00:00.000+0000","Instituto Nacional de Pesquisas da Amazônia (INPA)","Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)","217467","Mouriri dimorphandra T.Morley",NA,"Melastomataceae","Mouriri","dimorphandra","T.Morley","""Mello, A.T.; Azevedo, A.B. de""","2005-01-01T00:00:00.000+0000","248","Oliveira, ACA",2005,8,18,"Brazil","Amazonas",NA,"Reserva Florestal Adolfo Ducke, Reserva Florestal Ducke. Floresta primária de platô. Área do Projeto TEAM. Parcela da Ducke-Sede, sub parcela 07, indivíduo nº 159.",-59.97,-2.883333,NA,"urn:catalog:inpa:herbarium:117350",NA,"Mouriri dimorphandra T.Morley",NA,NA,NA,NA
"3",NA,"Instituto Federal de Educação, Ciência e Tecnologia (IFAM)","EAFM","12732","Mouriri dimorphandra T.Morley",NA,"Melastomataceae","Mouriri","dimorphandra","T.Morley",NA,NA,"1107","Castilho, C.V.; Pereira, E da C; Souza, S.S. de & Mello, A.",2003,2,14,"Brazil","Amazonas","Manaus","Reserva Florestal Adolfo Ducke, Rodovia Manaus-Itacoatiara, km 26. Trilha L-O5, km 1.5. Solo muito argiloso.",-59.950382,-2.961206,"Árvore de dossel. Base reta. Ritidoma castanho claro com fissuras superficiais. DAP:27.5 cm. Fruto imaturo, verde amarelado. ; DE","BRA:IFAM - CMZL:EAFM:0000012732",NA,"Mouriri dimorphandra T.Morley",NA,NA,NA,NA
"5","2014-03-21T00:00:00.000+0000","K","Herbarium","K000968764","Mouriri dimorphandra T.Morley",NA,"Melastomataceae","Mouriri","dimorphandra","T.Morley","Sothers, C.A.",NA,"824","Nicolau, S.A.; Vicentini, A.; Silva, C.F.",1995,2,1,"Brazil",NA,"Manaus","Reserva Florestal Ducke, Manaus-Itacaoatiara, km 26.",-59.97,-2.88,"Flora da Reserva Ducke Amazonas, Brasil. Instituto Nacional de Pesquisas da Amazônia Overseas Development Administration","http://specimens.kew.org/herbarium/K000968764",NA,"Mouriri dimorphandra T.Morley",NA,NA,NA,NA
"6",NA,NA,"Botany","U.1389387","Mouriri dimorphandra T.Morley",NA,"Melastomataceae","Mouriri","dimorphandra","T.Morley","Renner SS","1995-02-01T00:00:00.000+0000",NA,"Vicentini A",1995,2,1,"Brazil","Amazonas",NA,NA,NA,NA,NA,"http://data.biodiversitydata.nl/naturalis/specimen/U.1389387",NA,"Mouriri dimorphandra T.Morley",NA,NA,NA,NA
"7","2014-04-05T06:07:00.000+0000","MO","MO","3259268","Mouriri dimorphandra T.Morley",NA,"Melastomataceae","Mouriri","dimorphandra","T.Morley","Sothers, C.A. Renner","1995-01-01T00:00:00.000+0000","Vicentini 824","Alberto Vicentini|S.A. Nicolau|C. Fernandes da Silva",1995,2,1,"Brazil","Amazonas",NA,"Proximo a torre de observacao.; Flroesta de Plato. Arvore. Solo argiloso, subdossel ( 10 m) 10 cm DAP. tronco circular de base reta. Ritidoma acinzentado, micro-fissurado ( 1 mm de prof. e larg, distanciadas de 3 mm, por todo o tronco). Desprendimento em escamas finas. Ao corte casca morta fina; casca viva bege amarelado, indistinta do alburn o pela cor.",-59.96666,2.88333,NA,"urn:catalog:MO:Tropicos:3259268","http://www.tropicos.org/Specimen/3259268","Mouriri dimorphandra T.Morley",NA,NA,NA,NA
"8","2014-07-22T17:23:08.000+0000","JBRJ","RB","RB00240587","Mouriri dimorphandra T.Morley",NA,"Melastomataceae","Mouriri","dimorphandra","T.Morley","SOTHERS, C.A. ! RENNER, S.S.",NA,"824","VICENTINI, A.; NICOLAU, S.A.; SILVA, C.F. DA",1995,2,1,"Brazil","Amazonas","Amazonas","RESERVA FLORESTAL DUCKE, MANAUS-ITACOATIARA, KM 26. PRÓXIMO A TORRE DE OBSERVAÇÃO.",-59.966667,-2.883333,"ÁRVORE. 10 CM DAP. TRONCO CIRCULAR DE BASE RETA. RITIDOMA ACINZENTADO, MICRO-FISSURADO (1 MM DE PROF. E LARG., DISTANCIADAS DE +/- 3MM, POR TODO O TRONCO). DESPRENDIMENTO EM ESCAMAS FINAS. AO CORTE CASCA MORTA FINA; CASCA VIVA BEGE-AMARELADO, INDISTINTA DE ALBURNO PELA COR. PEDICELO VERDE, CÁLICE AMARELO. PÉTALAS BRANCAS COM A PORÇÃO CENTRAL LILÁS. FILETES BRANCOS, ANTERAS AMARELO-OURO. ESTILETE BRANCO.","urn:catalog:JBRJ:RB:240587",NA,"Mouriri dimorphandra T.Morley",NA,NA,NA,NA
"12",NA,"Instituto de Botânica, IBT","SP","341761","Mouriri dimorphandra T.Morley",NA,"Melastomataceae","Mouriri","dimorphandra","T.Morley","Sothers, CA","1995-03-01T00:00:00.000+0000","376","Sothers, CA; Vicentini, A; Assunção, PACL; Pereira, EC",1995,3,28,"Brazil","Amazonas","Manaus","Reserva Florestal Ducke, Manaus-Itacoatiara, Km 26. Picada da Petrobrás",-59.8,-2.883333,NA,"BRA:IBt:SP:0000341761",NA,"Mouriri dimorphandra T.Morley",NA,NA,NA,NA
"15","2014-04-05T06:07:00.000+0000","MO","MO","3259457","Mouriri dimorphandra T.Morley",NA,"Melastomataceae","Mouriri","dimorphandra","T.Morley",NA,NA,"Sothers 376","Cynthia A. Sothers|Alberto Vicentini|P. A. Costa Lima Assunção|E. da C. Pereira",1995,3,28,"Brazil","Amazonas",NA,"Picada da Petrobras. Flroesta de Vertente. Arvore. Solo argiloso, 13 m altura. DAp=20 cm, dossel, aspecto acanalado; base acanalada. Ritidoma castanho-acinzentado, rigido escamoso, Corte; casca morta castanha papiracea; casca viva castanho-amarelada, nao -fibrosa;alburno amarelo, rajado.",NA,NA,NA,"urn:catalog:MO:Tropicos:3259457","http://www.tropicos.org/Specimen/3259457","Mouriri dimorphandra T.Morley",NA,NA,NA,NA
"18","2014-03-21T00:00:00.000+0000","K","Herbarium","K000968765","Mouriri dimorphandra T.Morley",NA,"Melastomataceae","Mouriri","dimorphandra","T.Morley","Sothers, C.A.","1995-03-28T00:00:00.000+0000","376","Sothers, C.A.; Vicentini, A.; Assunção, P.A.C.L.; Pereira, E.C.",1995,3,28,"Brazil",NA,NA,"Picada da Petrobrás.",-59.97,-2.88,"Herb. Hort. Kew. Flora da Reserva Ducke. Reserva Florestal Ducke, Manaus-Itacoatiara, km 26. Planta fichada: 2388-17. Overseas Development Administration","http://specimens.kew.org/herbarium/K000968765",NA,"Mouriri dimorphandra T.Morley",NA,NA,NA,NA
