"","modified","institutionCode","collectionCode","catalogNumber","scientificName","family","genus","specificEpithet","scientificNameAuthorship","identifiedBy","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLongitude","decimalLatitude","occurrenceRemarks","occurrenceID","acceptedNameUsage","identificationQualifier","infraspecificEpithet","dateIdentified","comments","bibliographicCitation"
"1",NA,NA,"Botany","U  0004139","Mouriri micradenia Ducke","Melastomataceae","Mouriri","micradenia","Ducke","Morley T","ISOTYPE",NA,NA,"Ducke A",1931,10,23,"Brazil","Amazonas",NA,"Sao Paulo de Olivença (Rio Solimoes, civit. Amazonas)",NA,NA,NA,"http://data.biodiversitydata.nl/naturalis/specimen/U%20%200004139","Mouriri micradenia Ducke",NA,NA,NA,NA,NA
"2","2014-11-03T13:27:44.000+0000","JBRJ","RB","RB00556715","Mouriri micradenia Ducke","Melastomataceae","Mouriri","micradenia","Ducke",NA,"HOLOTYPE",NA,NA,"Ducke, A.",1931,10,23,"Brazil","Amazonas","São Paulo de Olivença","Sao Paulo de Olivenca mata de terra firme alta.",NA,NA,"Árvore pequena, flores tochas no tronco, pedicelos verdes, cálice externamente azul, internamente como as petalas e os filetes brancos; anteras alaranjadas oalidas. Frutos comestíveis.","urn:catalog:JBRJ:RB:556715","Mouriri micradenia Ducke",NA,NA,NA,NA,NA
"3",NA,"US","Botany","1618770","Mouriri micradenia Ducke","Melastomataceae","Mouriri","micradenia","Ducke",NA,"ISOTYPE","25520",NA,"A. Ducke",1931,10,23,"Brazil","Amazonas",NA,"Rio Solimoes.",NA,NA,NA,"http://n2t.net/ark:/65665/39d340486-8352-4c6d-be1b-354411e6c173","Mouriri micradenia Ducke",NA,NA,NA,NA,NA
"4",NA,"G","Geneva Herbarium – General Collection (G)","G-G-257075/1","Mouriri micradenia Ducke","Melastomataceae","Mouriri","micradenia","Ducke","Morley, T. (1968)","ISOTYPE",NA,NA,"Ducke, A. (Coll. Boissier & Barbey-Boissier)",1931,10,23,"Brazil",NA,NA,"Brésil - Amazonas: São Paulo de Olivenca",-53.08972,-10.77306,NA,NA,"Mouriri micradenia Ducke",NA,NA,NA,NA,NA
"5","2014-11-03T13:05:19.000+0000","JBRJ","RB","RB00541516","Mouriri micradenia Ducke","Melastomataceae","Mouriri","micradenia","Ducke",NA,"HOLOTYPE",NA,NA,"Ducke, A.",1931,10,23,"Brazil","Amazonas","São Paulo de Olivença","Sao Paulo de Olivenca mata de terra firme alta.",NA,NA,"Árvore pequena, flores tochas no tronco, pedicelos verdes, cálice externamente azul, internamente como as petalas e os filetes brancos; anteras alaranjadas oalidas. Frutos comestíveis.","urn:catalog:JBRJ:RB:541516","Mouriri micradenia Ducke",NA,NA,NA,NA,NA
"6","2015-04-11T10:19:26.000+0000","S","VascularPlants","S05-3855","Mouriri micradenia Ducke","Melastomataceae","Mouriri","micradenia","Ducke",NA,NA,"25520","25520","A. Ducke",1931,10,23,"Brazil","Amazonas",NA,"São Paulo de Clivenea (Rio Solinões, civit. Amazonas),",NA,NA,NA,"S:VascularPlants:S05-3855","Mouriri micradenia Ducke",NA,NA,NA,NA,NA
"7","2017-04-19T15:35:14.000+0000","MNHN","P","P01168034","Mouriri micradenia Ducke","Melastomataceae","Mouriri","micradenia","Ducke","Ducke","ISOTYPE",NA,"25520","Ducke, A.",1931,10,23,"Brazil","Amazonas",NA,NA,NA,NA,"Reçu le 3 novembre 1935","http://coldb.mnhn.fr/catalognumber/mnhn/p/p01168034","Mouriri micradenia Ducke",NA,NA,NA,NA,NA
"8","2008-03-05T12:01:40.000+0000","K","Herbarium","K000329654","Mouriri micradenia Ducke","Melastomataceae","Mouriri","micradenia","Ducke",NA,"ISOTYPE","25520",NA,"Ducke, A.",1931,10,23,"Brazil",NA,NA,"São Paulo de Olivença (Rio Solimoes, civit. Amazonas)",NA,NA,NA,"http://specimens.kew.org/herbarium/K000329654","Mouriri micradenia Ducke",NA,NA,NA,NA,NA
"9","2014-11-03T13:27:44.000+0000","JBRJ","RB","RB00556716","Mouriri micradenia Ducke","Melastomataceae","Mouriri","micradenia","Ducke",NA,"HOLOTYPE",NA,NA,"Ducke, A.",1931,10,23,"Brazil","Amazonas","São Paulo de Olivença","Sao Paulo de Olivenca mata de terra firme alta.",NA,NA,"Árvore pequena, flores tochas no tronco, pedicelos verdes, cálice externamente azul, internamente como as petalas e os filetes brancos; anteras alaranjadas oalidas. Frutos comestíveis.","urn:catalog:JBRJ:RB:556716","Mouriri micradenia Ducke",NA,NA,NA,NA,NA
"10",NA,"B","FMNH-B-Types","17293","Mouriri micradenia Ducke","Melastomataceae","Mouriri","micradenia","Ducke",NA,NA,"2621",NA,"R. Spruce",NA,NA,NA,"Brazil",NA,NA,NA,NA,NA,NA,NA,"Mouriri micradenia Ducke",NA,NA,NA,NA,NA
