"","modified","institutionCode","collectionCode","catalogNumber","scientificName","family","genus","specificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLongitude","decimalLatitude","occurrenceID","bibliographicCitation","acceptedNameUsage"
"1",NA,"NY","NY","1288514","Bellucia wurdackiana (S.S.Renner) Penneys, Michelang., Judd & Almeda","Melastomataceae","Bellucia","wurdackiana","(S.S.Renner) Penneys, Michelang., Judd & Almeda",NA,NA,NA,"599","M. L. Alencar",1979,7,12,"Brazil","Amazonas",NA,"Along Rio Curicuriari and IgarapÃ© Cariua to Cachoeira Piraiauara",-66.92,-0.33,"74549749-1544-4a80-8800-82139af92a7d",NA,"Bellucia wurdackiana (S.S.Renner) Penneys, Michelang., Judd & Almeda"
"2","2014-09-26T00:00:00.000+0000","Instituto Nacional de Pesquisas da Amazônia (INPA)","Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)","89842","Loreya wurdackiana S.S.Renner","Melastomataceae","Bellucia","wurdackiana","S.S.Renner","Renner, S.S.","1986-01-01T00:00:00.000+0000",NA,"2011","Mike Hopkins",1979,7,14,"Brazil","Amazonas",NA,"Rio Cariau., Along Rio Cariua (Igarapé Branco) from Rio Curicuriari to Cachoeira de Bôto (C. Piraiauara)",-66.92,-0.333333,"urn:catalog:inpa:herbarium:127865",NA,"Loreya wurdackiana S.S.Renner"
"3",NA,"US","Botany","2891505","Loreya wurdackiana S.S.Renner","Melastomataceae","Bellucia","wurdackiana","S.S.Renner",NA,NA,"ISOTYPE","761","O. Nascimento",1978,10,26,"Brazil","Amazonas",NA,"Rio Negro, Rio Curicuari.",NA,NA,"http://n2t.net/ark:/65665/364f3adc1-ad65-4681-96ee-d7483bf5fe40",NA,"Loreya wurdackiana S.S.Renner"
