"","modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLongitude","decimalLatitude","occurrenceRemarks","acceptedNameUsage","occurrenceID","comments","bibliographicCitation"
"40","","","MO","3299604","Mouriri brachyanthera Ducke","","Melastomataceae","Mouriri","brachyanthera","","Ducke","M.F. da Silva","1985-01-01","","Prance 8999","","Ghillean T. Prance|William A. Rodrigues|José F. Ramos|L.G. Farias","1968","11","30","brazil","Rondônia","","Basin of Rio Madeira. Track from Mutumparaná to Rio Madeira.","","","","Mouriri brachyanthera Ducke","","","GBIF"
"41","","","NY","1290254","Mouriri brachyanthera Ducke","","Melastomataceae","Mouriri","brachyanthera","","Ducke","","","","9050","","G. T. Prance","1968","12","17","brazil","Amazonas","","Rio Preto da Eva. Reserva Florestal Walter Egler, road Manaus-Itacoatiara, km 64. Forest on terra firme, clay soil.","-59.683893","-2.69289","","Mouriri brachyanthera Ducke","","original coordinates","GBIF"
"42","","","MO","3299618","Mouriri brachyanthera Ducke","","Melastomataceae","Mouriri","brachyanthera","","Ducke","M.F. da Silva","1985-01-01","","Prance 9050","","Ghillean T. Prance|José F. Ramos|L.G. Farias","1968","12","17","brazil","Amazonas","","Vicinity of Manaus. Reserva Florestal Walter Egler, road Manaus-Itacoatiara, km 64. Forest on tierra firme, clay soil.","","","","Mouriri brachyanthera Ducke","","","GBIF"
"43","","","Herbarium","K000968758","Mouriri brachyanthera Ducke","","Melastomataceae","Mouriri","brachyanthera","","Ducke","Silva, M.F.","","","9050","","Ramos, J.F.; Farias, L.G.; Prance, G.T.","1968","12","17","brazil","","","Reserva Florestal Walter Egle, road Manaus-Itacoatiara, km64.","","","Plants of Brazilian Amazonia State of Amazonas. Vicinity of Manaus. Field work carried out in collaboration with the Instituto de Pesquisas e Experimentação Agropecuária do Norte, Belém, and financed in greater part by the National Science Foundation. Pol","Mouriri brachyanthera Ducke","","no coordinates, municipality or state provided","GBIF"
"44","","","Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)","20333","Mouriri brachyanthera Ducke","","Melastomataceae","Mouriri","brachyanthera","","Ducke","Morley, T.","1968-01-01","","4703","","Forero, E","1967","3","21","brazil","Amazonas","","Road Manaus - Caracaraí km .22","","","","Mouriri brachyanthera Ducke","","","GBIF"
"45","","","Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)","9488","Mouriri brachyanthera Ducke","","Melastomataceae","Mouriri","brachyanthera","","Ducke","Morley, T.","1966-11-01","","2944","","Rodrigues, WA","1961","7","6","brazil","Amazonas","","Cachoeira Baixa do Tarumã., Cachoeira Baixa do Tarumã","","","","Mouriri brachyanthera Ducke","","","GBIF"
"46","","","SP","57770","Mouriri brachyanthera Ducke","","Melastomataceae","Mouriri","brachyanthera","","Ducke","Morley, T","1967-01-31","","259","","Kuhlmann, M; Jimbo, S","1959","9","21","brazil","Pará","","Rodovia Belém-Brasília, Km 89","","","","Mouriri brachyanthera Ducke","","","GBIF"
"47","","","NY","1290244","Mouriri brachyanthera Ducke","","Melastomataceae","Mouriri","brachyanthera","","Ducke","","","","488-2346","","G. A. Black","1948","1","10","brazil","ParÃ¡","","Porto Novo","-54.980084","-2.626469","","Mouriri brachyanthera Ducke","","original coordinates","GBIF"
"48","","","Herbarium","K000968761","Mouriri brachyanthera Ducke","","Melastomataceae","Mouriri","brachyanthera","","Ducke","Ducke, A.","","","35737","","Ducke, A.","1937","4","27","brazil","","Borba","Borba, Rio Madeira.","","","","Mouriri brachyanthera Ducke","","centroide mpo (no state)","GBIF"
"49","","","Botany","U.1423645","Mouriri brachyanthera Ducke","","Melastomataceae","Mouriri","brachyanthera","","Ducke","","","","","","Ducke A","1937","4","27","brazil","","","Procedencia Borba, Rio Madeira (civ. Amazonas) silva non inundabili.","","","","Mouriri brachyanthera Ducke","","no coordinates, municipality or state provided","GBIF"
"50","","","RB","RB00240526","Mouriri brachyanthera Ducke","","Melastomataceae","Mouriri","brachyanthera","","Ducke","A. Ducke","1937-01-01","","","","A. Ducke","1937","4","27","brazil","Amazonas","Borba","Rio Madeira.","-59.534335","-4.956772","Árv. bast. gr., fl. rósea.","Mouriri brachyanthera Ducke","","centroide mpo","GBIF"
"51","","","P","P01168045","Mouriri brachyanthera Ducke","","Melastomataceae","Mouriri","brachyanthera","","Ducke","","","","","","Ducke, A.","1918","1","25","brazil","Pará","","","","","Reçu le 8 juillet 1919","Mouriri brachyanthera Ducke","","","GBIF"
"52","","","R-TIPOS","5268","Mouriri brachyanthera Ducke","","Melastomataceae","Mouriri","brachyanthera","","Ducke","","","","16939","","Ducke, W.A.","1918","1","25","brazil","Pará","Obidos","","-55.676436","-0.157855","","Mouriri brachyanthera Ducke","","centroide mpo","GBIF"
"53","","","BOT","BM001008152","Mouriri brachyanthera Ducke","","Melastomataceae","Mouriri","brachyanthera","","Ducke","Thomas Morley","","","17050","","Walter Adolpho Ducke","1918","6","22","brazil","Pará","","","-52.4957","-3.601317","","Mouriri brachyanthera Ducke","","original coordinates","GBIF"
"54","","","FMNH-B-Types","17281","Mouriri brachyanthera Ducke","","Melastomataceae","Mouriri","brachyanthera","","Ducke","","","","s.n.","","A. Ducke","","","","brazil","","","","","","","Mouriri brachyanthera Ducke","","no coordinates, municipality or state provided","GBIF"
"55","","","MBM","79057","Mouriri brachyanthera Ducke","","Melastomataceae","Mouriri","brachyanthera","","Ducke","Silva, M","","","66","","Coelho, D; et al.","","","","brazil","Amazonas","Manaus","Estrada Manaus - Itacoatiara, km 64","-60.251153","-2.607107","","Mouriri brachyanthera Ducke","","centroide mpo (0)","GBIF"
"56","","","SPFW","89","Mouriri brachyanthera Ducke","","Melastomataceae","Mouriri","brachyanthera","","Ducke","","","","","","Cardoso, N. Monteiro, O.P.","","","","brazil","Amazonas","Manaus","Rio Cueiras","-60.025556","-3.102222","","Mouriri brachyanthera Ducke","","original coordinates","GBIF"
