"","institutionCode","catalogNumber","recordedBy"
"1","Instituto Nacional de Pesquisas da Amazônia (INPA)","107053","Amaral, IL do"
"2","Instituto Nacional de Pesquisas da Amazônia (INPA)","89133","Vieira, MGG"
"3","Instituto Nacional de Pesquisas da Amazônia (INPA)","25598","Prance, GT"
