"","modified","institutionCode","collectionCode","catalogNumber","scientificName","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLongitude","decimalLatitude","occurrenceRemarks","occurrenceID","bibliographicCitation","acceptedNameUsage","identificationQualifier","comments","FID","NOME","GEOCODIGO","POINT_X","POINT_Y","NOMEUF","SIGLAUF","estados_shp","x_estado","y_estado","new_Lat","new_Lon"
"1",NA,"UEFS","HUEFS","227399","Byrsonima ligustrifolia Mart.","Malpighiaceae","Byrsonima","ligustrifolia",NA,"Mart.",NA,NA,NA,"805",NA,"Almeida, R.F.",2015,12,7,"brazil","sao paulo","itanhaem","BR-101",NA,NA,NA,"BRA:UEFS:HUEFS:0000227399",NA,"Byrsonima ligustrifolia Mart.",NA,NA,1037,"Itanhaém",3522109,-46.835166,-24.091687,"SAO PAULO","SP","São Paulo",-48.72944932,-22.26440593,-24.091687,-46.835166
"2",NA,"Escola Superior de Agricultura Luiz de Queiroz, ESALQ","ESA","ESA116570","Byrsonima ligustrifolia Mart.","Malpighiaceae","Byrsonima","ligustrifolia",NA,"Mart.","Souza, V.C.","2012-01-01T00:00:00.000+0000",NA,"34052",NA,"Souza, V.C.",2012,1,3,"brazil","sao paulo","miracatu",NA,NA,NA,NA,"BRA:ESALQ:ESA:0ESA116570",NA,"Byrsonima ligustrifolia Mart.",NA,NA,1019,"Miracatu",3529906,-47.394869,-24.194935,"SAO PAULO","SP","São Paulo",-48.72944932,-22.26440593,-24.194935,-47.394869
"3",NA,"UNICAMP","UEC","176040","Byrsonima ligustrifolia Mart.","Malpighiaceae","Byrsonima","ligustrifolia",NA,"Mart.","Stival-Santos, A.","2010-01-25T00:00:00.000+0000",NA,"1647",NA,"Stival-Santos, A.; Legal, E.; Silveira, S.",2010,2,1,"brazil","santa catarina","angelina","Rancho das Tábuas,&nf;27º 37' 49''S&nf;49º 02' 58''O&nf;590m alt.",-49.049722,-27.54,"Florística IFFSC314 (Arbórea);altura 8m; fruto imaturo verde.; Ecótono Floresta Ombrófila Densa e F.O. Mista; estágio suces.: avançado.","BRA:UNICAMP:UEC:0000176040",NA,"Byrsonima ligustrifolia Mart.",NA,NA,533,"Angelina",4200903,-49.067556,-27.543148,"SANTA CATARINA","SC","Santa Catarina",-50.48226937,-27.24592878,-27.54,-49.049722
"4",NA,"UFPI","TEPB","29729","Byrsonima ligustrifolia Mart.","Malpighiaceae","Byrsonima","ligustrifolia",NA,"Mart.",NA,NA,NA,"68",NA,"Sousa, R. S.",2009,1,11,"brazil","piaui","cajueiro da praia","Terreno do Sr. Oliveira",-41.417306,-2.928056,"arbusto com inflorescência amarela e frutos amarelos Ambiente: Tabuleiro <ll>dwc_commonname:</ll> murici-pitanga","BRA:UFPI:TEPB:0000029729",NA,"Byrsonima ligustrifolia Mart.",NA,NA,5371,"Cajueiro da Praia",2202083,-41.363407,-2.992589,"PIAUI","PI","Piauí",-42.9686162,-7.38798322,-2.928056,-41.417306
"5",NA,"Universidade Federal do Paraná, UFPR","EFC","12051","Byrsonima ligustrifolia Mart.","Malpighiaceae","Byrsonima","ligustrifolia",NA,"Mart.","Blum, C.T.","2009-12-02T00:00:00.000+0000",NA,"686",NA,"Blum, C.T.; Brotto, M.L.; Mancinelli, W.S.",2009,12,2,"brazil","parana","morretes","Serra da Prata",-48.6987,-25.614,"Árvore com aprox. 12m de altura, aos 830 m.s.n.m. Flores rosa-claro até vermelha.","BRA:UFPR:EFC:0000012051",NA,"Byrsonima ligustrifolia Mart.",NA,NA,872,"Morretes",4116208,-48.855729,-25.518545,"PARANA","PR","Paraná",-51.61693027,-24.63581955,-25.614,-48.6987
"6",NA,"UNICAMP","UEC","200227","Byrsonima ligustrifolia Mart.","Malpighiaceae","Byrsonima","ligustrifolia",NA,"Mart.",NA,NA,NA,"M632",NA,"Padgurschi, M.C.G.; Belinello, R.",2009,NA,NA,"brazil","sao paulo","sao luiz do paraitinga","Parque Estadual da Serra do Mar",-45.183333,-23.4,"Parcela M - Projeto Biota-FAPESP. Árvore com 11 metros de altura. Frequência da espécie na parcela: n=3","BRA:UNICAMP:UEC:0000200227",NA,"Byrsonima ligustrifolia Mart.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"São Paulo",-48.72944932,-22.26440593,-23.4,-45.183333
"7",NA,"UFPI","TEPB","26730","Byrsonima ligustrifolia Mart.","Malpighiaceae","Byrsonima","ligustrifolia",NA,"Mart.",NA,NA,NA,"11",NA,"Sousa, R. S.",2008,4,4,"brazil","piaui","ilha grande","Depois da primeira lagoa após a Lagoa Pantanal",-41.804333,-2.843361,"arbusto com inflorescência amarela e frutos amarelos Ambiente: Tabuleiro <ll>dwc_commonname:</ll> murici-pitanga","BRA:UFPI:TEPB:0000026730",NA,"Byrsonima ligustrifolia Mart.",NA,NA,5392,"Ilha Grande",2204659,-41.807839,-2.827346,"PIAUI","PI","Piauí",-42.9686162,-7.38798322,-2.843361,-41.804333
"8",NA,"Escola Superior de Agricultura Luiz de Queiroz, ESALQ","ESA","ESA105609","Byrsonima ligustrifolia Mart.","Malpighiaceae","Byrsonima","ligustrifolia",NA,"Mart.","M. Sobral","2008-04-01T00:00:00.000+0000",NA,"1761",NA,"Gasper, A.L.",2008,5,5,"brazil","santa catarina","petrolandia",NA,NA,NA,NA,"BRA:ESALQ:ESA:0ESA105609",NA,"Byrsonima ligustrifolia Mart.",NA,NA,530,"Petrolândia",4212700,-49.682461,-27.545718,"SANTA CATARINA","SC","Santa Catarina",-50.48226937,-27.24592878,-27.545718,-49.682461
"9",NA,"IF","SPSF","40012","Byrsonima ligustrifolia Mart.","Malpighiaceae","Byrsonima","ligustrifolia",NA,"Mart.","G.A.D.C. Franco","2008-05-27T00:00:00.000+0000",NA,"931",NA,"F.M.Souza & R.C.Sousa & H.F.A.Pereira & L.G.L.Araújo",2007,10,18,"brazil","sp","sao paulo","Parque Estadual do Jaraguá",-46.765833,-23.452778,"COLETA: Arbusto, 1,20m. Botões verdes.; GEOGRAFIA: Trilha do Pai Zé;","BRA:IF:SPSF:0000040012",NA,"Byrsonima ligustrifolia Mart.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-23.452778,-46.765833
"10",NA,"IF","SPSF","37816","Byrsonima ligustrifolia Mart.","Malpighiaceae","Byrsonima","ligustrifolia",NA,"Mart.","G.A.D.C. Franco","2006-04-01T00:00:00.000+0000",NA,"25",NA,"R.T. Polisel",2006,4,6,"brazil","sp","juquitiba","Rio Juquiá.",-47.1,-23.966667,"COLETA: Árvore 7 m, com frutos imaturos verdes.;","BRA:IF:SPSF:0000037816",NA,"Byrsonima ligustrifolia Mart.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-23.966667,-47.1
"11",NA,"Escola Superior de Agricultura Luiz de Queiroz, ESALQ","ESA","ESA098641","Byrsonima ligustrifolia Mart.","Malpighiaceae","Byrsonima","ligustrifolia",NA,"Mart.","Amorim, A.","2006-01-01T00:00:00.000+0000",NA,"394",NA,"Ribeiro, R.D.",2005,3,17,"brazil","minas gerais","ibitipca",NA,NA,NA,NA,"BRA:ESALQ:ESA:0ESA098641",NA,"Byrsonima ligustrifolia Mart.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Minas Gerais",-44.67333254,-18.45539008,NA,NA
"12",NA,"IF","SPSF","37984","Byrsonima ligustrifolia Mart.","Malpighiaceae","Byrsonima","ligustrifolia",NA,"Mart.","G. A. D. C. Franco","2006-01-23T00:00:00.000+0000",NA,"261",NA,"R.T.Polisel & N. M. Ivanauskas & F. M. Souza & V.S.Santos",2005,12,13,"brazil","sp","embu","Itatuba",-46.889722,-23.636944,"GEOGRAFIA: Comunidade Terapêutica.;","BRA:IF:SPSF:0000037984",NA,"Byrsonima ligustrifolia Mart.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-23.636944,-46.889722
"13",NA,"Escola Superior de Agricultura Luiz de Queiroz, ESALQ","ESA","ESA088488","Byrsonima ligustrifolia Mart.","Malpighiaceae","Byrsonima","ligustrifolia",NA,"Mart.","Elias, S.I.","2006-01-01T00:00:00.000+0000",NA,"1545",NA,"Udulutsch, R.G.; Forster, W.; Mazine, F.F.; Souza, V.C.",2003,1,24,"brazil","sao paulo","cananeia","Parque Estadual Ilha do Cardoso. Restinga.",NA,NA,NA,"BRA:ESALQ:ESA:0ESA088488",NA,"Byrsonima ligustrifolia Mart.",NA,NA,925,"Cananéia",3509908,-48.007886,-25.018214,"SAO PAULO","SP","São Paulo",-48.72944932,-22.26440593,-25.018214,-48.007886
"14",NA,"Escola Superior de Agricultura Luiz de Queiroz, ESALQ","ESA","ESA088461","Byrsonima ligustrifolia Mart.","Malpighiaceae","Byrsonima","ligustrifolia",NA,"Mart.","Elias, S.I.","2006-01-01T00:00:00.000+0000",NA,"1522",NA,"Udulutsch, R.G.; Forster, W.; Mazine, F.F.; Souza, V.C.",2003,1,24,"brazil","sao paulo","cananeia","Ilha Comprida. Restinga.",NA,NA,NA,"BRA:ESALQ:ESA:0ESA088461",NA,"Byrsonima ligustrifolia Mart.",NA,NA,925,"Cananéia",3509908,-48.007886,-25.018214,"SAO PAULO","SP","São Paulo",-48.72944932,-22.26440593,-25.018214,-48.007886
"15",NA,"Escola Superior de Agricultura Luiz de Queiroz, ESALQ","ESA","ESA114257","Byrsonima ligustrifolia Mart.","Malpighiaceae","Byrsonima","ligustrifolia",NA,"Mart.","Amorim, A.","2006-01-01T00:00:00.000+0000",NA,"1809",NA,"Silva Neto, S.J.",2003,2,19,"brazil","rio de janeiro","itatiaia",NA,NA,NA,NA,"BRA:ESALQ:ESA:0ESA114257",NA,"Byrsonima ligustrifolia Mart.",NA,NA,1561,"Itatiaia",3302254,-44.580977,-22.439525,"RIO DE JANEIRO","RJ","Rio de Janeiro",-42.66307908,-22.19581555,-22.439525,-44.580977
"16",NA,"UNICAMP","UEC","132892","Byrsonima ligustrifolia Mart.","Malpighiaceae","Byrsonima","ligustrifolia",NA,"Mart.","Urbanetz, C.",NA,NA,"189",NA,"Urbanetz, C.; Mariuza; Lelo; Domingos",2003,10,26,"brazil","sao paulo","cananeia","Fazenda Folha Larga., trilha do jacaré",-47.916667,-24.883333,"Árvore de 25m, flores com corola vermelha, botões branco","BRA:UNICAMP:UEC:0000132892",NA,"Byrsonima ligustrifolia Mart.",NA,NA,925,"Cananéia",3509908,-48.007886,-25.018214,"SAO PAULO","SP","São Paulo",-48.72944932,-22.26440593,-24.883333,-47.916667
"17",NA,"Universidade Federal do Paraná, UFPR","EFC","11644","Byrsonima ligustrifolia Mart.","Malpighiaceae","Byrsonima","ligustrifolia",NA,"Mart.","Mamede, M.C.M.","2005-09-01T00:00:00.000+0000",NA,"414",NA,"Carmo, M.R.B.",2003,11,28,"brazil","parana","tibagi","PE do Guartelá",-50.2444,-24.5745,"Arbusto, frutos imaturos amarelados. (UEPG 12543)","BRA:UFPR:EFC:0000011644",NA,"Byrsonima ligustrifolia Mart.",NA,NA,961,"Tibagi",4127502,-50.468283,-24.656277,"PARANA","PR","Paraná",-51.61693027,-24.63581955,-24.5745,-50.2444
"18",NA,"IF","SPSF","29846","Byrsonima ligustrifolia Mart.","Malpighiaceae","Byrsonima","ligustrifolia",NA,"Mart.","O.T. Aguiar","2002-03-26T00:00:00.000+0000",NA,"1180",NA,"F.T.Rocha",2002,1,4,"brazil","sc","celso ramos","Água de palmas",NA,NA,"COLETA: XLS: SPSFAntigo&nf;Em arboreto&nf;Árvore fina, 6m altura; flores cor laranja e creme.;","BRA:IF:SPSF:0000029846",NA,"Byrsonima ligustrifolia Mart.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19",NA,"Escola Superior de Agricultura Luiz de Queiroz, ESALQ","ESA","ESA104292","Byrsonima ligustrifolia Mart.","Malpighiaceae","Byrsonima","ligustrifolia",NA,"Mart.","Aguiar, O.T.","2002-03-17T00:00:00.000+0000",NA,"1006",NA,"Aguiar, O.T.",2002,3,13,"brazil","sao paulo","sao miguel arcanjo",NA,NA,NA,NA,"BRA:ESALQ:ESA:0ESA104292",NA,"Byrsonima ligustrifolia Mart.",NA,NA,1065,"São Miguel Arcanjo",3550209,-47.993345,-23.913252,"SAO PAULO","SP","São Paulo",-48.72944932,-22.26440593,-23.913252,-47.993345
"20",NA,"IF","SPSF","31202","Byrsonima ligustrifolia Mart.","Malpighiaceae","Byrsonima","ligustrifolia",NA,"Mart.",NA,NA,NA,"84",NA,"S.Bortoleto",2002,4,22,"brazil","sp","sao miguel arcanjo","P.E.Carlos Botelho",-47.993333,-24.053889,"COLETA: XLS: SPSFAntigo; GEOGRAFIA: floresta&nf;;","BRA:IF:SPSF:0000031202",NA,"Byrsonima ligustrifolia Mart.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-24.053889,-47.993333
"21",NA,"IF","SPSF","31207","Byrsonima ligustrifolia Mart.","Malpighiaceae","Byrsonima","ligustrifolia",NA,"Mart.",NA,NA,NA,"211",NA,"A.P.Savassi",2002,4,20,"brazil","sp","sao miguel arcanjo","P.E.Carlos Botelho",-47.968889,-24.0675,"COLETA: XLS: SPSFAntigo; GEOGRAFIA: borda de mata&nf;;","BRA:IF:SPSF:0000031207",NA,"Byrsonima ligustrifolia Mart.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-24.0675,-47.968889
"22",NA,"IF","SPSF","31208","Byrsonima ligustrifolia Mart.","Malpighiaceae","Byrsonima","ligustrifolia",NA,"Mart.",NA,NA,NA,"695",NA,"R.G.Udulutsch",2002,4,24,"brazil","sp","sao miguel arcanjo","P.E.Carlos Botelho",-47.986944,-24.062222,"COLETA: XLS: SPSFAntigo; GEOGRAFIA: floresta&nf;;","BRA:IF:SPSF:0000031208",NA,"Byrsonima ligustrifolia Mart.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-24.062222,-47.986944
"23",NA,"IF","SPSF","31206","Byrsonima ligustrifolia Mart.","Malpighiaceae","Byrsonima","ligustrifolia",NA,"Mart.",NA,NA,NA,"234",NA,"A.P.Savassi",2002,4,20,"brazil","sp","sao miguel arcanjo","P.E.Carlos Botelho",-47.968889,-24.0675,"COLETA: XLS: SPSFAntigo; GEOGRAFIA: floresta&nf;;","BRA:IF:SPSF:0000031206",NA,"Byrsonima ligustrifolia Mart.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-24.0675,-47.968889
"24",NA,"IF","SPSF","30703","Byrsonima ligustrifolia Mart.","Malpighiaceae","Byrsonima","ligustrifolia",NA,"Mart.",NA,NA,NA,"1304",NA,"J.B.Baitello",2002,12,13,"brazil","sp","franco da rocha","P.E.Juqueri",NA,NA,"COLETA: XLS: SPSFAntigo; GEOGRAFIA: campo limpo/cerrado tipico&nf;;","BRA:IF:SPSF:0000030703",NA,"Byrsonima ligustrifolia Mart.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25",NA,"IF","SPSF","29836","Byrsonima ligustrifolia Mart.","Malpighiaceae","Byrsonima","ligustrifolia",NA,"Mart.",NA,NA,NA,"2342",NA,"F.T.Farah",2001,4,18,"brazil","sp","itanhaem","Loteamento Maramba II",NA,NA,"COLETA: XLS: SPSFAntigo; GEOGRAFIA: floresta de restinga&nf;;","BRA:IF:SPSF:0000029836",NA,"Byrsonima ligustrifolia Mart.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26",NA,"Escola Superior de Agricultura Luiz de Queiroz, ESALQ","ESA","ESA094739","Byrsonima ligustrifolia Mart.","Malpighiaceae","Byrsonima","ligustrifolia",NA,"Mart.","Elias, S.I.",NA,NA,"3901",NA,"Kollmann, L. et al.",2001,6,12,"brazil","espirito santo","santa tereza",NA,NA,NA,NA,"BRA:ESALQ:ESA:0ESA094739",NA,"Byrsonima ligustrifolia Mart.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Espírito Santo",-40.6681057,-19.57475617,NA,NA
"27",NA,"UFPR","UPCB","85071","Byrsonima ligustrifolia Mart.","Malpighiaceae","Byrsonima","ligustrifolia",NA,"Mart.","Blum, C.","2002-03-01T00:00:00.000+0000",NA,"4",NA,"Blum, C.T | Hoffmann, P.",2001,10,24,"brazil","parana","guaratuba","Serra de Araçatuba, Morro dos Perdidos",-49.05,-25.75,"Árvore, ca. de 14m. Interior de floresta ombrófila densa montana..","BRA:UFPR:UPCB:0000085071",NA,"Byrsonima ligustrifolia Mart.",NA,NA,838,"Guaratuba",4109609,-48.768272,-25.817781,"PARANA","PR","Paraná",-51.61693027,-24.63581955,-25.75,-49.05
"28",NA,"UFPR","UPCB","85206","Byrsonima ligustrifolia Mart.","Malpighiaceae","Byrsonima","ligustrifolia",NA,"Mart.","Santos, E.P.","2002-02-01T00:00:00.000+0000",NA,"1097",NA,"Santos, E.P. et al.",2001,12,18,"brazil","parana","guaratuba","Serra de Araçatuba, Morro dos Perdidos",-49.05,-25.75,"Árvore ca. 14m de altura, flores alvas quando jóvem, rósea madura. Floresta Ombrófila Densa Montana..","BRA:UFPR:UPCB:0000085206",NA,"Byrsonima ligustrifolia Mart.",NA,NA,838,"Guaratuba",4109609,-48.768272,-25.817781,"PARANA","PR","Paraná",-51.61693027,-24.63581955,-25.75,-49.05
