"","modified","institutionCode","collectionCode","catalogNumber","scientificName","family","genus","specificEpithet","scientificNameAuthorship","typeStatus","recordNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLongitude","decimalLatitude","occurrenceRemarks","occurrenceID","acceptedNameUsage","identificationQualifier","infraspecificEpithet","identifiedBy","dateIdentified","fieldNumber","comments","bibliographicCitation"
"1",NA,"NY","NY","1802310","Byrsonima euryphylla Pilg.","Malpighiaceae","Byrsonima","euryphylla","Pilg.",NA,"1815","P. B. Cavalcante",1967,10,3,"Brazil","Pará",NA,"Estrada Baía do Sol ao Mosqueiro mata rala, alta, solo arenoso.",-48.41202,-1.09803,NA,"98b7869a-8c4a-47e1-a4cb-395f47ef6322","Byrsonima euryphylla Pilg.",NA,NA,NA,NA,NA,NA,NA
"2","2017-10-18T15:56:27.000+0000","JBRJ","RB","RB00540715","Byrsonima euryphylla Pilg.","Malpighiaceae","Byrsonima","euryphylla","Pilg.","HOLOTYPE",NA,"Ducke, A.",1923,5,27,"Brazil","Pará","Belém","mata da estrada do Pinheiro igapo.",NA,NA,"Árvore média, flores róseas","urn:catalog:JBRJ:RB:540715","Byrsonima euryphylla Pilg.",NA,NA,NA,NA,NA,NA,NA
"3","2017-10-18T15:38:51.000+0000","JBRJ","RB","RB00659599","Byrsonima euryphylla Pilg.","Malpighiaceae","Byrsonima","euryphylla","Pilg.","HOLOTYPE",NA,"Ducke, A.; s/n",1923,5,27,"Brazil","Pará","Belém","mata da estrada do Pinheiro igapo.",NA,NA,"Árvore média, flores róseas","urn:catalog:JBRJ:RB:659599","Byrsonima euryphylla Pilg.",NA,NA,NA,NA,NA,NA,NA
