"","modified","institutionCode","collectionCode","catalogNumber","scientificName","family","genus","specificEpithet","scientificNameAuthorship","typeStatus","recordNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLongitude","decimalLatitude","occurrenceID","acceptedNameUsage"
"1",NA,"US","Botany","2753275","Acmanthera cowanii W.R.Anderson","Malpighiaceae","Acmanthera","cowanii","W.R.Anderson","ISOTYPE",38597,"R. S. Cowan",1954,11,25,"Brazil","Amapá",NA,"Rio Amapari from Serra do Navio Campto porto Terezinha.",NA,NA,"http://n2t.net/ark:/65665/3fd8ff415-9b25-4e84-9158-cf0986d2e302","Acmanthera cowanii W.R.Anderson"
"2",NA,NA,"Botany","U  0003787","Acmanthera cowanii W.R.Anderson","Malpighiaceae","Acmanthera","cowanii","W.R.Anderson","ISOTYPE",NA,"Cowan RS",1954,11,25,"Brazil","Amapá",NA,"Rio Amapari from Serra do Navio Camp, left bank.",NA,NA,"http://data.biodiversitydata.nl/naturalis/specimen/U%20%200003787","Acmanthera cowanii W.R.Anderson"
"5","2017-10-18T15:25:56.000+0000","JBRJ","RB","RB00540692","Acmanthera cowanii W.R.Anderson","Malpighiaceae","Acmanthera","cowanii","W.R.Anderson","PARATYPE",NA,"Ducke, A.; Herb. Amaz. 11749",1911,5,16,"Brazil","Pará","Pará","Rio Jamundá, em aral do Paranapitinga.",NA,NA,"urn:catalog:JBRJ:RB:540692","Acmanthera cowanii W.R.Anderson"
