"","modified","institutionCode","collectionCode","catalogNumber","scientificName","family","genus","specificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLongitude","decimalLatitude","occurrenceRemarks","occurrenceID","bibliographicCitation","acceptedNameUsage"
"1",NA,"US","Botany","3444366","Lophanthera spruceana Nied.","Malpighiaceae","Lophanthera","spruceana","Nied.",NA,NA,NA,"176",NA,"M. L. Kawasaki, H. C. Lima, D. W. Stevenson, J. Ramos, G. Mueller & R. P. Lima",1987,11,17,"Brazil",NA,NA,"Rio Uaupés, local chamado Ipanoré, uma hora de motor de popa acima de Taraquá, estrada para Urubuquara",-68.67,0.3,NA,"http://n2t.net/ark:/65665/304d3e17d-a3af-4113-9a83-0fdbcaba85a2",NA,"Lophanthera spruceana Nied."
"2",NA,"NY","NY","02361242","Lophanthera spruceana Nied.","Malpighiaceae","Lophanthera","spruceana","Nied.",NA,NA,NA,"176",NA,"M. L. Kawasaki",1987,11,17,"Brazil","Amazonas",NA,"Rio UaupÃ©s, local chamado IpanorÃ©, uma hora de motor de popa acima de TaraquÃ¡. Estrada para Urubuquara",-68.666667,0.3,NA,"d6b1bcce-aa32-4de0-8f0b-cd270c8f5d8d",NA,"Lophanthera spruceana Nied."
"3","2013-03-10T18:50:00.000+0000","MO","MO","3152321","Lophanthera spruceana Nied.","Malpighiaceae","Lophanthera","spruceana","Nied.","W.R. Anderson","1997-01-01T00:00:00.000+0000",NA,"Lima s.n.",NA,"H.C. de Lima|Maria L. Kawasaki|J. Ramos|J.O. Guedes|R. Pereira de Lima|A.M. Neto",1987,11,17,"Brazil","Amazonas",NA,"Mun. São Gabriel da Cachoeira, Alto Rio Negro, Rio Uaupés, Ipanuré, estrada para Urubuquara. Caatinga alta sobre solo arenoso.",NA,NA,NA,"urn:catalog:MO:Tropicos:3152321","http://www.tropicos.org/Specimen/3152321","Lophanthera spruceana Nied."
"4",NA,"NY","NY","02361241","Lophanthera spruceana Nied.","Malpighiaceae","Lophanthera","spruceana","Nied.",NA,NA,NA,"3220",NA,"H. C. de Lima",1987,11,17,"Brazil","Amazonas",NA,"Alto Rio Negro, Rio UaupÃ©s, IpanurÃ©, estrada para Urubuquara",-67.0908182152704,-0.133569081695947,NA,"76eda6d1-7a92-4973-97a7-06984200bf5f",NA,"Lophanthera spruceana Nied."
"5","2017-10-10T20:34:54.000+0000","JBRJ","RB","RB00215664","Lophanthera spruceana Nied.","Malpighiaceae","Lophanthera","spruceana","Nied.","R.F.Almeida","2015-01-01T00:00:00.000+0000",NA,"12971",NA,"STEVEN R. HILL",1983,7,6,"Brazil","Amazonas","Amazonas",NA,-58.683333,-4.166667,"O9CCASIONAL TREE CA. 10 m TALL, LVS DARK GREEN ABOVE PALE PINK, PETALS WHITE WITH PINL TOINT , FRUIT YELLOIW AT MATURITY","urn:catalog:JBRJ:RB:215664",NA,"Lophanthera spruceana Nied."
"6","2015-06-11T09:55:44.000+0000","JBRJ","RB","RB00215711","Lophanthera spruceana Nied.","Malpighiaceae","Lophanthera","spruceana","Nied.","R.F.Almeida","2015-01-01T00:00:00.000+0000",NA,"768",NA,"C.A. CID, ; W.R BUCK, B.W. NELSON, GF.ALMEIDA, C.D.A. MOTA A J. LIMA",1979,8,25,"Brazil","Amazonas","Amazonas","ITAPIRANGAM RIO UATUMÃ, MARGEM DIREITA DO RIO ACIMA DA BOTA DO RIO PITINGA;.",NA,NA,"ÁRVORE DE 12m DE ALTURA X 10 CM DE DIÃMETRO; INFLORESCENCIA RÓSEA COM ESTAMES VERDES","urn:catalog:JBRJ:RB:215711",NA,"Lophanthera spruceana Nied."
"7",NA,"US","Botany","1988843","Lophanthera spruceana Nied.","Malpighiaceae","Lophanthera","spruceana","Nied.",NA,NA,NA,"9090",NA,"R. E. Schultes & J. M. Pires",1947,11,14,"Brazil",NA,NA,"Ipanoré. Rio Vaupés, between Ipanoré and confluence with Rio Negro",NA,NA,NA,"http://n2t.net/ark:/65665/34f1ef6de-b285-4d3e-b108-f6a77603b21a",NA,"Lophanthera spruceana Nied."
"9",NA,"NY","NY","02361243","Lophanthera spruceana Nied.","Malpighiaceae","Lophanthera","spruceana","Nied.",NA,NA,NA,"1080",NA,"J. M. Pires",1947,11,16,"Brazil","Amazonas",NA,"Rio UaupÃ©s, TaraquÃ¡, caatinga alta.",0,0,NA,"9aa03919-6e7b-4a47-a72d-685bc013f2a5",NA,"Lophanthera spruceana Nied."
"10",NA,NA,"Botany","U.1367918","Lophanthera spruceana Nied.","Malpighiaceae","Lophanthera","spruceana","Nied.",NA,NA,NA,NA,NA,"Krukoff BA",1936,9,11,"Brazil",NA,NA,"Basin of Rio Solimoes, State of Amzonas: Municipality São Paulo de Olivença, near Palmares.",NA,NA,NA,"http://data.biodiversitydata.nl/naturalis/specimen/U.1367918",NA,"Lophanthera spruceana Nied."
"11","2015-10-04T09:24:00.000+0000","MNHN","P","P00800982","Lophanthera spruceana Nied.","Malpighiaceae","Lophanthera","spruceana","Nied.",NA,NA,"ISOTYPE",NA,2518,"Spruce, R.",1852,10,NA,"Brazil",NA,NA,NA,NA,NA,NA,"http://coldb.mnhn.fr/catalognumber/mnhn/p/p00800982",NA,"Lophanthera spruceana Nied."
