"","modified","institutionCode","collectionCode","catalogNumber","scientificName","family","genus","specificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLongitude","decimalLatitude","occurrenceRemarks","occurrenceID","bibliographicCitation","acceptedNameUsage"
"66","2014-09-26T00:00:00.000+0000","Instituto Nacional de Pesquisas da Amazônia (INPA)","Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)","14074","Pterandra arborea Ducke","Malpighiaceae","Pterandra","arborea","Ducke","Rodrigues, W.A.","1966-05-01T00:00:00.000+0000",NA,"5405",NA,"Mike Hopkins",1963,7,26,"Brazil","Amazonas",NA,"Reserva Florestal Adolfo Ducke, Reserva Florestal Ducke, margem da estrada. Árvore nº 536. Mata de terra firme.",-59.97,-2.883333,NA,"urn:catalog:inpa:herbarium:161070",NA,"Pterandra arborea Ducke"
"68","2014-09-26T00:00:00.000+0000","Instituto Nacional de Pesquisas da Amazônia (INPA)","Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)","14113","Pterandra arborea Ducke","Malpighiaceae","Pterandra","arborea","Ducke","Rodrigues, W.A.","1966-05-01T00:00:00.000+0000",NA,"5444",NA,"Mike Hopkins",1963,8,21,"Brazil","Amazonas",NA,"Reserva Florestal Adolfo Ducke, Reserva Florestal Ducke (P-69). Mata de terra firme, solo arenoso.",-59.97,-2.883333,NA,"urn:catalog:inpa:herbarium:161108",NA,"Pterandra arborea Ducke"
"69","2014-09-26T00:00:00.000+0000","Instituto Nacional de Pesquisas da Amazônia (INPA)","Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)","14129","Pterandra arborea Ducke","Malpighiaceae","Pterandra","arborea","Ducke","Rodrigues, W.A.","1966-05-01T00:00:00.000+0000",NA,"5460",NA,"Mike Hopkins",1963,8,24,"Brazil","Amazonas",NA,"Reserva Florestal Adolfo Ducke, Reserva Florestal Ducke, mata à beira da estrada. Mata de terra firme.",-59.97,-2.883333,NA,"urn:catalog:inpa:herbarium:161122",NA,"Pterandra arborea Ducke"
"70","2014-09-26T00:00:00.000+0000","Instituto Nacional de Pesquisas da Amazônia (INPA)","Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)","4009","Pterandra arborea Ducke","Malpighiaceae","Pterandra","arborea","Ducke","Anderson, W.R.","1997-01-01T00:00:00.000+0000",NA,"INPA4009",NA,"Mike Hopkins",1956,7,30,"Brazil","Amazonas",NA,"Margem do igarapé do Bindá",NA,NA,NA,"urn:catalog:inpa:herbarium:27853",NA,"Pterandra arborea Ducke"
"71",NA,"Instituto de Botânica, IBT","SP","74972","Pterandra arborea Ducke","Malpighiaceae","Pterandra","arborea","Ducke","Anderson, WR","1974-01-01T00:00:00.000+0000",NA,"s.n.",NA,"Coêlho, D",1956,7,30,"Brazil","Amazonas","Manaus","Margem do igarapé do Bindá",0,0,NA,"BRA:IBt:SP:0000074972",NA,"Pterandra arborea Ducke"
"72",NA,"UnB","UB","186355","Pterandra arborea Ducke","Malpighiaceae","Pterandra","arborea","Ducke","Anderson, WR","1997-01-01T00:00:00.000+0000",NA,"s.n.4009",NA,"Coêlho, D",1956,7,30,"Brazil","Amazonas","Manaus","Margem do Igarapé do Bindá.",0,0,"Tree 20 m.; flowers white.; Terra firme, clayey. Virgin forest.","BRA:UnB:UB:0000186355",NA,"Pterandra arborea Ducke"
"73",NA,"Fundação Universidade Federal de Mato Grosso do Sul (UFMS)","CGMS","41432","Pterandra arborea Ducke","Malpighiaceae","Pterandra","arborea","Ducke","W.R. Anderson","1997-01-01T00:00:00.000+0000",NA,NA,NA,"D. Coêlho",1956,8,30,"Brazil","Amazonas","Manaus","Margem do Igarapé do Bindá.",NA,NA,"Doação do UB.HABITAT:Terra firme, clayey. Virgin forest.; HABITO:Tree. 20,00m tall.;FLOR:Flowers white.;","BRA:UFMS:CGMS:0000041432",NA,"Pterandra arborea Ducke"
"74",NA,"NY","NY","1857119","Pterandra arborea Ducke","Malpighiaceae","Pterandra","arborea","Ducke",NA,NA,NA,"38123",NA,"R. S. Cowan",1954,11,4,"Brazil","Amapa",NA,"Serra do Navio. Rio Amapari.",0,0,NA,"f42b039e-8fea-48d4-8239-6275e1be4c74",NA,"Pterandra arborea Ducke"
"75",NA,NA,"Botany","U  0007945","Pterandra arborea Ducke","Malpighiaceae","Pterandra","arborea","Ducke","Ducke A",NA,"ISOTYPE",NA,NA,"Ducke A",1929,8,3,"Brazil","Amazonas",NA,"Manaos (civ. Amazonas)fluminis Tarumá",NA,NA,NA,"http://data.biodiversitydata.nl/naturalis/specimen/U%20%200007945",NA,"Pterandra arborea Ducke"
"76",NA,"G","Geneva Herbarium – General Collection (G)","G-G-245390/1","Pterandra arborea Ducke","Malpighiaceae","Pterandra","arborea","Ducke","Anderson, C. E. (1997)",NA,"ISOTYPE",NA,NA,"Ducke, A. (Coll. Barbey-Boissier)",1929,8,3,"Brazil",NA,NA,"Brésil - Manaos",-53.08972,-10.77306,NA,NA,NA,"Pterandra arborea Ducke"
"77","2015-04-11T10:14:23.000+0000","S","VascularPlants","S-R-10139","Pterandra arborea Ducke","Malpighiaceae","Pterandra","arborea","Ducke",NA,NA,NA,"23649",23649,"A. Ducke",1929,8,3,"Brazil",NA,NA,"Brazil, Amazonas, Manáos, Tarumá",NA,NA,NA,"S:VascularPlants:S-R-10139",NA,"Pterandra arborea Ducke"
"82",NA,"MBM","MBM","160346","Pterandra arborea Ducke","Malpighiaceae","Pterandra","arborea","Ducke","Anderson, WR",NA,NA,"49",NA,"Pacheco, M; et al.",NA,NA,NA,"Brazil","Amazonas","Manaus","Distrito Agropecuário, Fazenda Dimona, 72km N of",0,0,NA,"BRA:MBM:MBM:0000160346",NA,"Pterandra arborea Ducke"
"83",NA,"MBM","MBM","244379","Pterandra arborea Ducke","Malpighiaceae","Pterandra","arborea","Ducke","Vicentini, A",NA,NA,"21",NA,"Martins, LHP; et al.",NA,NA,NA,"Brazil","Amazonas","Manaus","Reserva Florestal Ducke, Manaus - Itacoatiara, km 26",0,0,NA,"BRA:MBM:MBM:0000244379",NA,"Pterandra arborea Ducke"
"84",NA,"F","Botany","V0222443F","Pterandra arborea Ducke","Malpighiaceae","Pterandra","arborea","Ducke","RRC ID Flag","1997-01-01T00:00:00.000+0000",NA,"60825",60825,"N. Silva",NA,NA,NA,"Brazil","Amazonas",NA,NA,NA,NA,NA,"e9e790cf-b67a-4867-a788-8b7a946579eb",NA,"Pterandra arborea Ducke"
"86",NA,"MBM","MBM","244378","Pterandra arborea Ducke","Malpighiaceae","Pterandra","arborea","Ducke","Vicentini, A",NA,NA,"365",NA,"Assunção, PACL; et al.",NA,NA,NA,"Brazil","Amazonas","Manaus","Reserva Florestal Ducke, Manaus - Itacoatiara, km 26",0,0,NA,"BRA:MBM:MBM:0000244378",NA,"Pterandra arborea Ducke"
