"","modified","institutionCode","collectionCode","catalogNumber","scientificName","family","genus","specificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLongitude","decimalLatitude","occurrenceRemarks","occurrenceID","acceptedNameUsage","identificationQualifier","infraspecificEpithet","fieldNumber","comments","bibliographicCitation"
"1","2014-09-26T00:00:00.000+0000","Instituto Nacional de Pesquisas da Amazônia (INPA)","Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)",202393,"Byrsonima souzae W.R.Anderson","Malpighiaceae","Byrsonima","souzae","W.R.Anderson","Lemos, M.C.","1997-10-01T00:00:00.000+0000",NA,159,"Lemos, MC",1997,NA,NA,"Brazil","Amazonas",NA,"Estação Esperimental de Silvicultura Tropical - ZF2.",NA,NA,NA,"urn:catalog:inpa:herbarium:81959","Byrsonima souzae W.R.Anderson",NA,NA,NA,NA,NA
"2",NA,"NY","NY",1802500,"Byrsonima souzae W.R.Anderson","Malpighiaceae","Byrsonima","souzae","W.R.Anderson",NA,NA,NA,7168,"W. A. Rodrigues",1965,9,14,"Brazil","Amazonas",NA,"Estrada Torquato Tapajos, km 105, lado direito.",0,0,NA,"70faddc5-59d7-4f60-a441-f8173b3be7fe","Byrsonima souzae W.R.Anderson",NA,NA,NA,NA,NA
"4",NA,"NY","NY",55591,"Byrsonima souzae W.R.Anderson","Malpighiaceae","Byrsonima","souzae","W.R.Anderson",NA,NA,"ISOTYPE",2462,"W. A. Rodrigues",1961,5,4,"Brazil","Amazonas",NA,"Manaus, Km 45 da BR-17",0,0,NA,"4b59885d-784b-4eff-ab76-d87b1b020d9e","Byrsonima souzae W.R.Anderson",NA,NA,NA,NA,NA
