"","modified","institutionCode","collectionCode","catalogNumber","scientificName","family","genus","specificEpithet","scientificNameAuthorship","typeStatus","recordNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLongitude","decimalLatitude","occurrenceRemarks","occurrenceID","acceptedNameUsage","identificationQualifier","infraspecificEpithet","identifiedBy","dateIdentified","fieldNumber","comments","bibliographicCitation"
"1",NA,"NY","NY","1802313","Byrsonima euryphylla Pilg.","Malpighiaceae","Byrsonima","euryphylla","Pilg.",NA,"1815","P. B. Cavalcante",1967,10,3,"Brazil","Pará",NA,"Estrada Baía do Sol ao Mosqueiro mata rala, alta, solo arenoso.",-48.41202,-1.09803,NA,"ee187989-169b-4655-9caa-aa2d198dd507","Byrsonima euryphylla Pilg.",NA,NA,NA,NA,NA,NA,NA
"3","2017-10-18T14:58:14.000+0000","JBRJ","RB","RB00659630","Byrsonima euryphylla Pilg.","Malpighiaceae","Byrsonima","euryphylla","Pilg.","HOLOTYPE",NA,"Ducke, A.; s/n",1923,5,27,"Brazil","Pará","Belém","mata da estrada do Pinheiro igapo.",NA,NA,"Árvore média, flores róseas","urn:catalog:JBRJ:RB:659630","Byrsonima euryphylla Pilg.",NA,NA,NA,NA,NA,NA,NA
"6",NA,"NY","NY","1802311","Byrsonima euryphylla Pilg.","Malpighiaceae","Byrsonima","euryphylla","Pilg.",NA,"s.n.","W. A. Ducke",1916,9,26,"Brazil","ParÃ¡",NA,"GurupÃ¡, riachos d'agua preta.",-51.1,-1.666667,NA,"63f9e059-d417-4c1f-9dc1-ff1ec202ae58","Byrsonima euryphylla Pilg.",NA,NA,NA,NA,NA,NA,NA
"7",NA,"NY","NY","1802312","Byrsonima euryphylla Pilg.","Malpighiaceae","Byrsonima","euryphylla","Pilg.",NA,"51809","J. M. Pires",NA,NA,NA,"Brazil","ParÃ¡",NA,"Vicinity of BelÃ©m.",-48.833333,-1.75,NA,"6abdcc4c-3a49-4364-9c8e-45d9a59aaead","Byrsonima euryphylla Pilg.",NA,NA,NA,NA,NA,NA,NA
