"","modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLongitude","decimalLatitude","occurrenceRemarks","occurrenceID","bibliographicCitation","acceptedNameUsage","infraspecificEpithet","comments","FID","NOME","GEOCODIGO","POINT_X","POINT_Y","NOMEUF","SIGLAUF","estados_shp","x_estado","y_estado","new_Lat","new_Lon"
"21",NA,"IF","SPSF","49670","Myrcia retorta Cambess.",NA,"Myrtaceae","Myrcia","retorta","Cambess.","O.T.Aguiar","2015-06-19T00:00:00.000+0000",NA,"143",NA,"M.G.K.Cornia & N.M.Ivanauskas & M.C.Assis & L.N.Gonçalves",2014,12,17,"brazil","mg","delfim moreira","Vila de São Francisco dos Campos do Jordão",-45.315,-22.5925,"COLETA: Arvoreta de 3 m. Frutos vermelhos.; GEOGRAFIA: Beira de estrada, Floresta Ombrófila Mista. Vegetação secundária. (WGS84, Zona 23K);","BRA:IF:SPSF:0000049670",NA,"Myrcia retorta Cambess.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-22.5925,-45.315
"22",NA,"Instituto Federal de Educação, Ciência e Tecnologia (IFAM)","EAFM","13590","Myrcia retorta Cambess.",NA,"Myrtaceae","Myrcia","retorta","Cambess.","Sobral, M.","2013-11-01T00:00:00.000+0000",NA,"107",NA,"Scarponi, T.M.; Heineberg, M.R.",2013,3,7,"brazil","santa catarina","ti ibirama-laklano","Aldeia Bugio, Área de capoeira",NA,NA,NA,"BRA:IFAM - CMZL:EAFM:0000013590",NA,"Myrcia retorta Cambess.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Santa Catarina",-50.80061735,-26.29853803,NA,NA
"23",NA,"IF","SPSF","47525","Myrcia retorta Cambess.",NA,"Myrtaceae","Myrcia","retorta","Cambess.",NA,NA,NA,"63",NA,"T.E.Barreto",2013,3,25,"brazil","sp","campos do jordao","Fazenda Prana",-45.883333,-23.25,"COLETA: Árvore.&nf;1 Duplicata; GEOGRAFIA: Floresta Ombrófila Densa Altamontana;","BRA:IF:SPSF:0000047525",NA,"Myrcia retorta Cambess.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-23.25,-45.883333
"24",NA,"UFSJ","HUFSJ","6765","Myrcia retorta Cambess.",NA,"Myrtaceae","Myrcia","retorta","Cambess.","Sobral, M","2014-01-01T00:00:00.000+0000",NA,"1797",NA,"Carmo, MRB do",2013,9,11,"brazil","parana","ponta grossa","Furnas Gêmeas. Coletada sobre rocha, entre as duas furnas.",0,0,"Arbusto com aproximadamente 2,5m de altura. Início de formação de botões florais.","BRA:UFSJ:HUFSJ:0000006765",NA,"Myrcia retorta Cambess.",NA,NA,912,"Ponta Grossa",4119905,-50.080932,-25.14133,"PARANA","PR","Paraná",-51.62375032,-24.6368312,-25.14133,-50.080932
"25",NA,"Universidade Regional de Blumenau, FURB","FURB","46998","Myrcia retorta Cambess.",NA,"Myrtaceae","Myrcia","retorta","Cambess.","Cordeiro, J","2014-08-20T00:00:00.000+0000",NA,"10",NA,"Schwirkowski, P.",2013,10,27,"brazil","santa catarina","sao bento do sul","Serra Alta.",-49.383889,-26.275556,"Herbácea IFFSC 845 /S/4","BRA:FURB:FURB:0000046998",NA,"Myrcia retorta Cambess.",NA,NA,787,"São Bento do Sul",4215802,-49.34941,-26.295148,"SANTA CATARINA","SC","Santa Catarina",-50.80061735,-26.29853803,-26.275556,-49.383889
"26",NA,"MBM","MBM","391761","Myrcia retorta Cambess.",NA,"Myrtaceae","Myrcia","retorta","Cambess.","Cordeiro, J","2014-08-20T00:00:00.000+0000",NA,"10B",NA,"Schwirkowski, P",2013,10,27,"brazil","santa catarina","sao bento do sul","Serra Alta",0,0,"Borda de mata.","BRA:MBM:MBM:0000391761",NA,"Myrcia retorta Cambess.",NA,NA,787,"São Bento do Sul",4215802,-49.34941,-26.295148,"SANTA CATARINA","SC","Santa Catarina",-50.80061735,-26.29853803,-26.295148,-49.34941
"27","2017-10-11T05:19:08.000+0000","JBRJ","RB","RB00995876","Myrcia retorta Cambess.",NA,"Myrtaceae","Myrcia","retorta","Cambess.","DFLIMA",NA,NA,"1697",NA,"R. Goldenberg",2013,10,NA,"brazil","parana","jaguariaiva","P.E. do Cerrado.",NA,NA,"Arbusto; flores brancas","urn:catalog:JBRJ:RB:995876",NA,"Myrcia retorta Cambess.",NA,NA,1000,"Jaguariaíva",4112009,-49.705016,-24.330567,"PARANA","PR","Paraná",-51.62375032,-24.6368312,-24.330567,-49.705016
"28",NA,"Universidade Tecnológica Federal do Paraná (UTFPR)","HCF","18661","Myrcia retorta Cambess.",NA,"Myrtaceae","Myrcia","retorta","Cambess.","M. Sobral","2015-01-01T00:00:00.000+0000",NA,"1877",NA,"M.E. Engels",2013,11,3,"brazil","pr","carambei","Catanduva de Fora",NA,NA,"arbórea, ca. 6 m. Caule castanho. Folhas verdes brilhosas na face adaxial e com lanugem castanha na abaxial. Flores alvas. Floresta Ombrófila Mista.","BRA:UTFPR:HCF:0000018661",NA,"Myrcia retorta Cambess.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29",NA,"MBM","MBM","397326","Myrcia retorta Cambess.",NA,"Myrtaceae","Myrcia","retorta","Cambess.","Cordeiro, J","2014-01-01T00:00:00.000+0000",NA,"4994",NA,"Caxambu, MG",2013,11,28,"brazil","parana","tibagi","Sítio Sete Quedas",-50.254056,-24.580528,"Arvoreta heliófita. Frutos imaturos vermelhos. Em borda de capão.; Estepe (Campos Gerais). Relevo ondulado.","BRA:MBM:MBM:0000397326",NA,"Myrcia retorta Cambess.",NA,NA,961,"Tibagi",4127502,-50.468283,-24.656277,"PARANA","PR","Paraná",-51.62375032,-24.6368312,-24.580528,-50.254056
"30",NA,"MBM","MBM","395740","Myrcia retorta Cambess.",NA,"Myrtaceae","Myrcia","retorta","Cambess.","Sobral, M","2015-01-01T00:00:00.000+0000",NA,"1877",NA,"Engels, ME; Lozano, ED",2013,11,3,"brazil","parana","carambei","Catanduva de Fora",0,0,"Arbórea, ca. 6m. Caule castanho. Folhas verdes brilhosas na face adaxial e com lanugem castanha na abaxial. Flores alvas.; Floresta Ombrófila Mista.","BRA:MBM:MBM:0000395740",NA,"Myrcia retorta Cambess.",NA,NA,937,"Carambeí",4104659,-50.149916,-24.894036,"PARANA","PR","Paraná",-51.62375032,-24.6368312,-24.894036,-50.149916
