"","modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLongitude","decimalLatitude","occurrenceRemarks","occurrenceID","bibliographicCitation","acceptedNameUsage","infraspecificEpithet","comments","FID","NOME","GEOCODIGO","POINT_X","POINT_Y","NOMEUF","SIGLAUF","estados_shp","x_estado","y_estado","new_Lat","new_Lon"
"41","2017-10-18T14:21:36.000+0000","JBRJ","RB","RB00680463","Myrcia retorta Cambess.",NA,"Myrtaceae","Myrcia","retorta","Cambess.","DFLIMA",NA,NA,"7245",NA,"A. Korte",2011,6,9,"brazil","santa catarina","otacilio costa","Bom Jesus. Florística IFFSC 339 (Arbórea).",-49.86,-27.54,"Estádio Suces.: Médio; Altura: 5 m. Hábito: arbórea.","urn:catalog:JBRJ:RB:680463",NA,"Myrcia retorta Cambess.",NA,NA,537,"Otacílio Costa",4211751,-49.97111,-27.517732,"SANTA CATARINA","SC","Santa Catarina",-50.80061735,-26.29853803,-27.54,-49.86
"42","2017-10-18T14:22:36.000+0000","JBRJ","RB","RB00709755","Myrcia retorta Cambess.","cf.","Myrtaceae","Myrcia","retorta","Cambess.","M. Sobral","2011-01-01T00:00:00.000+0000",NA,"14170",NA,"M. Sobral",2011,8,21,"brazil","minas gerais","minduri","Estrada para Chapada das Perdizes.",-44.604444,-21.631111,"Árvore de 3 m. alt.; Córtex rugoso; Frutos imaturos.","urn:catalog:JBRJ:RB:709755",NA,"Myrcia retorta Cambess.",NA,NA,1823,"Minduri",3141900,-44.614594,-21.675355,"MINAS GERAIS","MG","Minas Gerais",-44.65770348,-18.45798563,-21.631111,-44.604444
"43","2014-07-08T07:28:36.000+0000","JBRJ","RB","RB00835738","Myrcia retorta Cambess.",NA,"Myrtaceae","Myrcia","retorta","Cambess.","T.Mansur",NA,NA,"824",NA,"C.V.Vidal; T.Mansur; E.Tameirão Neto",2011,9,6,"brazil","minas gerais","brumadinho","Serra da Moeda.",-43.983889,-20.107778,"Floresta semidecidual, arbóreo.","urn:catalog:JBRJ:RB:835738",NA,"Myrcia retorta Cambess.",NA,NA,2367,"Brumadinho",3109006,-44.123298,-20.178103,"MINAS GERAIS","MG","Minas Gerais",-44.65770348,-18.45798563,-20.107778,-43.983889
"44",NA,"IF","SPSF","49844","Myrcia arborescens Berg",NA,"Myrtaceae","Myrcia","arborescens","Berg","M.Selusniaki",NA,NA,"496",NA,"R.A.Bonaldi & C.Michelon",2011,12,9,"brazil","pr","ortigueira",NA,NA,NA,"COLETA: Árvore, Floresta Ombrófila Mista.;","BRA:IF:SPSF:0000049844",NA,"Myrcia arborescens Berg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45",NA,"MBM","MBM","387465","Myrcia arborescens Berg",NA,"Myrtaceae","Myrcia","arborescens","Berg","Lozano, ED",NA,NA,"623",NA,"Ariati, V; Lozano, ED",2011,12,17,"brazil","parana","ortigueira","UHE Mauá",-50.723333,-24.111389,NA,"BRA:MBM:MBM:0000387465",NA,"Myrcia arborescens Berg",NA,NA,1029,"Ortigueira",4117305,-50.946979,-24.135193,"PARANA","PR","Paraná",-51.62375032,-24.6368312,-24.111389,-50.723333
"46",NA,"MBM","MBM","385368","Myrcia retorta Cambess.",NA,"Myrtaceae","Myrcia","retorta","Cambess.","Selusniaki, M","2011-12-16T00:00:00.000+0000",NA,"627",NA,"Ariati, V; Lozano, ED",2011,12,16,"brazil","parana","telemaco borba","UHE Mauá",-50.706944,-24.100556,"Resgate de flora da UHE Mauá","BRA:MBM:MBM:0000385368",NA,"Myrcia retorta Cambess.",NA,NA,1013,"Telêmaco Borba",4127106,-50.522448,-24.2496,"PARANA","PR","Paraná",-51.62375032,-24.6368312,-24.100556,-50.706944
"47",NA,"UDESC","LUSC","7180","Myrcia retorta Cambess.",NA,"Myrtaceae","Myrcia","retorta","Cambess.","Floriani, M.M.P.",NA,NA,"170",NA,NA,2011,12,14,"brazil","santa catarina","rio rufino","Fazenda Santo Antônio.",NA,NA,NA,"BRA:UDESC:LUSC:0000007180",NA,"Myrcia retorta Cambess.",NA,NA,442,"Rio Rufino",4215059,-49.754123,-27.914457,"SANTA CATARINA","SC","Santa Catarina",-50.80061735,-26.29853803,-27.914457,-49.754123
"48",NA,"HUCP",NA,"24327","Myrcia arborescens Berg",NA,"Myrtaceae","Myrcia","arborescens","Berg","Selusniaki, M",NA,NA,"1327",NA,"Michelon, C",2011,12,9,"brazil","parana",NA,NA,0,0,NA,"24254",NA,"Myrcia arborescens Berg",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Paraná",-51.62375032,-24.6368312,-24.6368312,-51.62375032
"49",NA,"UFPR","UPCB","75679","Myrcia retorta Cambess.",NA,"Myrtaceae","Myrcia","retorta","Cambess.","Selusniaki, M.",NA,NA,"496",NA,"Bonaldi, R.",2011,12,9,"brazil","parana","ortigueira",NA,NA,NA,NA,"BRA:UFPR:UPCB:0000075679",NA,"Myrcia retorta Cambess.",NA,NA,1029,"Ortigueira",4117305,-50.946979,-24.135193,"PARANA","PR","Paraná",-51.62375032,-24.6368312,-24.135193,-50.946979
"50",NA,"Universidade Regional de Blumenau, FURB","FURB","17179","Myrcia retorta Cambess.",NA,"Myrtaceae","Myrcia","retorta","Cambess.","Sobral, M","2010-01-21T00:00:00.000+0000",NA,NA,NA,"Sevegnani, L.",2010,1,1,"brazil","santa catarina","urubici","Localidade Santo Antônio, Morro da Pedra Furada, margem esquerda do rio Canoas.",NA,NA,NA,"BRA:FURB:FURB:0000017179",NA,"Myrcia retorta Cambess.",NA,NA,414,"Urubici",4218905,-49.578366,-28.038901,"SANTA CATARINA","SC","Santa Catarina",-50.80061735,-26.29853803,-28.038901,-49.578366
"51",NA,"Universidade Regional de Blumenau, FURB","FURB","34937","Myrcia retorta Cambess.",NA,"Myrtaceae","Myrcia","retorta","Cambess.","Oliveira, AA de","2010-01-01T00:00:00.000+0000",NA,"3330",NA,"Stival-Santos, A.",2010,2,1,"brazil","santa catarina","angelina","Rancho das Tábuas.",-49.049444,-27.630278,"Voucher estéril IFFSC 314 (Fitossociologia)","BRA:FURB:FURB:0000034937",NA,"Myrcia retorta Cambess.",NA,NA,533,"Angelina",4200903,-49.067556,-27.543148,"SANTA CATARINA","SC","Santa Catarina",-50.80061735,-26.29853803,-27.630278,-49.049444
"52",NA,"UFPR","UPCB","80170","Myrcia retorta Cambess.",NA,"Myrtaceae","Myrcia","retorta","Cambess.","Lima, D.F.","2014-03-11T00:00:00.000+0000",NA,"87",NA,"Lima, D.F. | Gerlach, A. | Bolson, M.",2010,9,24,"brazil","parana","jaguariaiva","Parque Estadual do Cerrado",NA,NA,"Cerrado, arvoreta 2m. Flores brancas..","BRA:UFPR:UPCB:0000080170",NA,"Myrcia retorta Cambess.",NA,NA,1000,"Jaguariaíva",4112009,-49.705016,-24.330567,"PARANA","PR","Paraná",-51.62375032,-24.6368312,-24.330567,-49.705016
