"","modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLongitude","decimalLatitude","occurrenceRemarks","occurrenceID","acceptedNameUsage"
"1",NA,"Universidade Regional de Blumenau, FURB","FURB","55731","Plinia pseudodichasiantha (Kiaersk.) G.M.Barroso ex Sobral",NA,"Myrtaceae","Plinia","pseudodichasiantha","(Kiaersk.) G.M.Barroso ex Sobral","Schwirkowski, P.","2017-07-29T00:00:00.000+0000",NA,"2295",NA,"Schwirkowski, P.",2017,7,29,"Brazil","Santa Catarina","São Bento do Sul","Serra Alta. Em caíva, atrás da Implantec.",-49.388889,-26.293889,"Frutos imaturos","BRA:FURB:FURB:0000055731","Plinia pseudodichasiantha (Kiaersk.) G.M.Barroso ex Sobral"
"3","2018-05-23T15:21:27.000+0000","JBRJ","RB","RB01389006","Plinia pseudodichasiantha (Kiaersk.) G.M.Barroso ex Sobral",NA,"Myrtaceae","Plinia","pseudodichasiantha","(Kiaersk.) G.M.Barroso ex Sobral","L.F.Gonçalves",NA,NA,"126",NA,"L.F.Gonçalves",2015,5,18,"Brazil","Rio de Janeiro","Guapimirim","Parque Nacional da Serra dos Órgãos. Trilha do Dedo de Deus (base dos cabos de aço)",-43.006944,-22.472222,NA,"urn:catalog:JBRJ:RB:1389006","Plinia pseudodichasiantha (Kiaersk.) G.M.Barroso ex Sobral"
"4",NA,"IF","SPSF","49993","Plinia pseudodichasiantha (Kiaersk.) G.M.Barroso ex Sobral",NA,"Myrtaceae","Plinia","pseudodichasiantha","(Kiaersk.) G.M.Barroso ex Sobral","M.L.Brotto","2015-07-08T00:00:00.000+0000",NA,"1934",NA,"M.L.Brotto",2015,6,1,"Brazil","Pr","Piraquara","Recreio da Serra",-49.015556,-25.4475,"COLETA: Árvore de 10 de altura; flores alvas. Transição entre Floresta Ombrófila Densa e Floresta Ombrófila Mista.;","BRA:IF:SPSF:0000049993","Plinia pseudodichasiantha (Kiaersk.) G.M.Barroso ex Sobral"
"5","2016-06-28T10:36:07.000+0000","JBRJ","RB","RB01136802","Plinia pseudodichasiantha (Kiaersk.) G.M.Barroso ex Sobral",NA,"Myrtaceae","Plinia","pseudodichasiantha","(Kiaersk.) G.M.Barroso ex Sobral","M.L. Brotto",NA,NA,"1934",NA,"M.L. Brotto",2015,6,1,"Brazil","Paraná","Piraquara","Recreio da Serra.",-49.015556,-25.4475,NA,"urn:catalog:JBRJ:RB:1136802","Plinia pseudodichasiantha (Kiaersk.) G.M.Barroso ex Sobral"
"8",NA,"Universidade Regional de Blumenau, FURB","FURB","46593","Plinia pseudodichasiantha (Kiaersk.) G.M.Barroso ex Sobral",NA,"Myrtaceae","Plinia","pseudodichasiantha","(Kiaersk.) G.M.Barroso ex Sobral","Sobral, M","2015-07-10T00:00:00.000+0000",NA,"113",NA,"Seubert, R.C.",2014,8,20,"Brazil","Santa Catarina","Indaial","Faxinal do Bepe - Parque Nacional da Serra do Itajaí.",-49.196944,-27.109722,"Projeto Restaurar","BRA:FURB:FURB:0000046593","Plinia pseudodichasiantha (Kiaersk.) G.M.Barroso ex Sobral"
"9","2017-05-16T16:08:25.000+0000","JBRJ","RB","RB01115782","Plinia pseudodichasiantha (Kiaersk.) G.M.Barroso ex Sobral","cf.","Myrtaceae","Plinia","pseudodichasiantha","(Kiaersk.) G.M.Barroso ex Sobral","Sousa, M.C.",NA,NA,"65",NA,"Negreiros, F.F.; Rodrigues, P.J.F.P.; Iguatemy, M.A.; Pintor, A.M.",2014,10,9,"Brazil","Rio de Janeiro","Miguel Pereira","REBIO Tinguá. Orbel II. Módulo PPBio Mata Atlântica, área da parcela 5D.",-43.421667,-22.539167,"Árvore de subdossel, DAP 13.8 cm. Material estéril.  Parcela 5D/piquete 0-10m - E. Ind (223).","urn:catalog:JBRJ:RB:1115782","Plinia pseudodichasiantha (Kiaersk.) G.M.Barroso ex Sobral"
"10",NA,"Universidade Federal da Bahia (UFBA)","ALCB","125848","Plinia pseudodichasiantha (Kiaersk.) G.M.Barroso ex Sobral",NA,"Myrtaceae","Plinia","pseudodichasiantha","(Kiaersk.) G.M.Barroso ex Sobral","Souza, VC","2013-01-01T00:00:00.000+0000",NA,"812",NA,"Colletta, GD; Coelho, RLG; Caliari, CP; Barroso, R",2013,2,15,"Brazil","São Paulo","Santa Isabel","Fragmento 19 (tav)",-46.190556,-23.343889,NA,"BRA:UFBA:ALCB:0000125848","Plinia pseudodichasiantha (Kiaersk.) G.M.Barroso ex Sobral"
"11",NA,"Escola Superior de Agricultura Luiz de Queiroz, ESALQ","ESA","ESA123932","Plinia pseudodichasiantha (Kiaersk.) G.M.Barroso ex Sobral",NA,"Myrtaceae","Plinia","pseudodichasiantha","(Kiaersk.) G.M.Barroso ex Sobral","Souza, V.C.","2013-01-01T00:00:00.000+0000",NA,"35033",NA,"Souza, V.C. ; Flores, T.B.",2013,5,1,"Brazil","São Paulo","Tapiraí","Área da Cia. Votorantim. Trilha do Rio Dezembro.",NA,NA,NA,"BRA:ESALQ:ESA:0ESA123932","Plinia pseudodichasiantha (Kiaersk.) G.M.Barroso ex Sobral"
"12",NA,"UFRGS","ICN","182420","Plinia pseudodichasiantha (Kiaersk.) G.M.Barroso ex Sobral",NA,"Myrtaceae","Plinia","pseudodichasiantha","(Kiaersk.) G.M.Barroso ex Sobral","Molz, M",NA,NA,"s.n.",NA,"Molz, M; Bergamin, RS",2013,5,7,"Brazil","Rs","Três Cachoeiras","RS 494",-55.526667,-29.375,"Árvore c/ 12 m de altura, flores alvas, ritidoma liso laminada; Fragmento de terras baixas","BRA:UFRGS:ICN:0000182420","Plinia pseudodichasiantha (Kiaersk.) G.M.Barroso ex Sobral"
"13",NA,"Escola Superior de Agricultura Luiz de Queiroz, ESALQ","ESA","ESA123923","Plinia pseudodichasiantha (Kiaersk.) G.M.Barroso ex Sobral",NA,"Myrtaceae","Plinia","pseudodichasiantha","(Kiaersk.) G.M.Barroso ex Sobral","Souza, V.C.","2013-01-01T00:00:00.000+0000",NA,"35024",NA,"Souza, V.C. ; Flores, T.B.",2013,5,1,"Brazil","São Paulo","Tapiraí","Área da Cia. Votorantim. Trilha do Rio Dezembro.",NA,NA,NA,"BRA:ESALQ:ESA:0ESA123923","Plinia pseudodichasiantha (Kiaersk.) G.M.Barroso ex Sobral"
"14","2017-10-14T12:07:49.000+0000","JBRJ","RB","RB01008285","Plinia pseudodichasiantha (Kiaersk.) G.M.Barroso ex Sobral",NA,"Myrtaceae","Plinia","pseudodichasiantha","(Kiaersk.) G.M.Barroso ex Sobral","M.L. Brotto",NA,NA,"1298",NA,"M.L. Brotto",2013,7,7,"Brazil","Paraná","Piraquara","Recreio da Serra.",-49.021111,-25.447222,"Árvore, 7m; flores alvas","urn:catalog:JBRJ:RB:1008285","Plinia pseudodichasiantha (Kiaersk.) G.M.Barroso ex Sobral"
"17",NA,"MBM","MBM","386153","Plinia pseudodichasiantha (Kiaersk.) G.M.Barroso ex Sobral",NA,"Myrtaceae","Plinia","pseudodichasiantha","(Kiaersk.) G.M.Barroso ex Sobral","Brotto, ML","2013-11-14T00:00:00.000+0000",NA,"1390",NA,"Brotto, ML; Barboza, E; Cordeiro, J; Silva, JM",2013,10,24,"Brazil","Paraná","Piraquara","Recreio da Serra",-49.015914,-25.445667,"Árvore 7m; frutos verdes.; Transição entre Floresta Ombrófila Mista e Floresta Ombrófila Densa.","BRA:MBM:MBM:0000386153","Plinia pseudodichasiantha (Kiaersk.) G.M.Barroso ex Sobral"
"18",NA,"Universidade Tecnológica Federal do Paraná (UTFPR)","HCF","18647","Plinia pseudodichasiantha (Kiaersk.) G.M.Barroso ex Sobral",NA,"Myrtaceae","Plinia","pseudodichasiantha","(Kiaersk.) G.M.Barroso ex Sobral","M.L. Brotto","2013-11-14T00:00:00.000+0000",NA,"1390",NA,"M.L. Brotto",2013,10,24,"Brazil","Pr","Piraquara","Recreio da Serra",-49.015833,-25.445556,"árvore 7 m; frutos verdes. Transição entre Floresta Ombrófila Mista e Floresta Ombrófila Densa.","BRA:UTFPR:HCF:0000018647","Plinia pseudodichasiantha (Kiaersk.) G.M.Barroso ex Sobral"
"19",NA,"UFPR","UPCB","86462","Plinia pseudodichasiantha (Kiaersk.) G.M.Barroso ex Sobral",NA,"Myrtaceae","Plinia","pseudodichasiantha","(Kiaersk.) G.M.Barroso ex Sobral","Sobral, M.","2012-07-01T00:00:00.000+0000",NA,"252",NA,"Caglioni, E. et al.",2012,5,27,"Brazil","Santa Catarina","Blumenau","Parque Nacional da Serra do Itajaí",-49.078333,-27.059167,"Árvore de 9m de altura, em floresta secundária, com flores brancas e odor adocicado. Floresta Ombrófila Densa..","BRA:UFPR:UPCB:0000086462","Plinia pseudodichasiantha (Kiaersk.) G.M.Barroso ex Sobral"
"21",NA,"UFRGS","ICN","174399","Plinia pseudodichasiantha (Kiaersk.) G.M.Barroso ex Sobral",NA,"Myrtaceae","Plinia","pseudodichasiantha","(Kiaersk.) G.M.Barroso ex Sobral","Molz, M",NA,NA,"s.n.",NA,"Mancino, L; Molz, M",2011,9,28,"Brazil","Rs","Três Cachoeiras",NA,-49.920833,-29.447778,"604671/6741929; árvore 10m, ritidoma laminado, com placas pequenas, alaranjado, folhas discolores, frutos alaranjados maduros","BRA:UFRGS:ICN:0000174399","Plinia pseudodichasiantha (Kiaersk.) G.M.Barroso ex Sobral"
"22",NA,"Universidade Regional de Blumenau, FURB","FURB","34988","Plinia pseudodichasiantha (Kiaersk.) G.M.Barroso ex Sobral",NA,"Myrtaceae","Plinia","pseudodichasiantha","(Kiaersk.) G.M.Barroso ex Sobral","Sobral, M","2010-01-01T00:00:00.000+0000",NA,"6973",NA,"Korte, A.",2010,2,18,"Brazil","Santa Catarina","Taió","Fazenda Tarumã.",-50.130556,-27.000278,"Voucher estéril IFFSC 625 (Fitossociologia)","BRA:FURB:FURB:0000034988","Plinia pseudodichasiantha (Kiaersk.) G.M.Barroso ex Sobral"
"23",NA,"Universidade Regional de Blumenau, FURB","FURB","29981","Plinia pseudodichasiantha (Kiaersk.) G.M.Barroso ex Sobral",NA,"Myrtaceae","Plinia","pseudodichasiantha","(Kiaersk.) G.M.Barroso ex Sobral","Sobral, M","2010-08-15T00:00:00.000+0000",NA,"2637",NA,"Stival-Santos, A.",2010,4,20,"Brazil","Santa Catarina","Major Gercino",NA,-49.14,-27.449722,"Florística IFFSC 385 (Arbórea)","BRA:FURB:FURB:0000029981","Plinia pseudodichasiantha (Kiaersk.) G.M.Barroso ex Sobral"
"24",NA,"Universidade Regional de Blumenau, FURB","FURB","32844","Plinia pseudodichasiantha (Kiaersk.) G.M.Barroso ex Sobral",NA,"Myrtaceae","Plinia","pseudodichasiantha","(Kiaersk.) G.M.Barroso ex Sobral","Sobral, M","2010-10-29T00:00:00.000+0000",NA,"3003",NA,"Cadorin, T.J.",2010,7,10,"Brazil","Santa Catarina","Antônio Carlos","RPPN Caraguatá.",-48.87,-27.45,"Florística IFFSC e388b (Arbórea)","BRA:FURB:FURB:0000032844","Plinia pseudodichasiantha (Kiaersk.) G.M.Barroso ex Sobral"
"25",NA,"Universidade Regional de Blumenau, FURB","FURB","29741","Plinia pseudodichasiantha (Kiaersk.) G.M.Barroso ex Sobral",NA,"Myrtaceae","Plinia","pseudodichasiantha","(Kiaersk.) G.M.Barroso ex Sobral","Oliveira, AA de","2010-10-04T00:00:00.000+0000",NA,"4255",NA,"Korte, A.",2010,9,1,"Brazil","Santa Catarina","Doutor Pedrinho","Cerro Azul.",-49.590555,-26.640278,"Florística IFFSC 856 (Arbórea)","BRA:FURB:FURB:0000029741","Plinia pseudodichasiantha (Kiaersk.) G.M.Barroso ex Sobral"
"26",NA,"Universidade Regional de Blumenau, FURB","FURB","20649","Plinia pseudodichasiantha (Kiaersk.) G.M.Barroso ex Sobral",NA,"Myrtaceae","Plinia","pseudodichasiantha","(Kiaersk.) G.M.Barroso ex Sobral","Sobral, M","2010-01-25T00:00:00.000+0000",NA,"3882",NA,"Verdi, M.",2009,6,17,"Brazil","Santa Catarina","Anitápolis","Rio do Meio.",-49.23,-27.9,"Fito IFFSC 221 /L/18","BRA:FURB:FURB:0000020649","Plinia pseudodichasiantha (Kiaersk.) G.M.Barroso ex Sobral"
"27",NA,"UFRGS","ICN","178529","Plinia pseudodichasiantha (Kiaersk.) G.M.Barroso ex Sobral",NA,"Myrtaceae","Plinia","pseudodichasiantha","(Kiaersk.) G.M.Barroso ex Sobral","Molz, M",NA,NA,"s.n.",NA,"Molz, M",2008,2,28,"Brazil","Rs","Maquiné","Vale do Ligeiro",-50.206111,-29.563333,"WGS-84","BRA:UFRGS:ICN:0000178529","Plinia pseudodichasiantha (Kiaersk.) G.M.Barroso ex Sobral"
"28",NA,"Instituto Plantarum de Estudos da Flora Ltda (HPL)","HPL","10480","Plinia pseudodichasiantha (Kiaersk.) G.M.Barroso ex Sobral",NA,"Myrtaceae","Plinia","pseudodichasiantha","(Kiaersk.) G.M.Barroso ex Sobral","V.C. Souza","2012-06-04T00:00:00.000+0000",NA,"2504",NA,"R. Tsuji",2008,3,9,"Brazil","Rs","Torres","Coletado nas proximidades do município de Torres; estrada de terra para Pirataba-RS.",NA,NA,NA,"BRA:JBP:HPL:0000010480","Plinia pseudodichasiantha (Kiaersk.) G.M.Barroso ex Sobral"
"30",NA,"UFSJ","HUFSJ","4727","Plinia pseudodichasiantha (Kiaersk.) G.M.Barroso ex Sobral",NA,"Myrtaceae","Plinia","pseudodichasiantha","(Kiaersk.) G.M.Barroso ex Sobral","Sobral, M","2013-01-01T00:00:00.000+0000",NA,"s.n.",NA,"Viana, PL; Mota, N",2007,10,NA,"Brazil","Minas Gerais","Nova Lima","Mina Capitão do Mato. Mata.",0,0,"Árvore 8 m.","BRA:UFSJ:HUFSJ:0000004727","Plinia pseudodichasiantha (Kiaersk.) G.M.Barroso ex Sobral"
"31",NA,"MBML","MBML-HERBARIO","25039","Eugenia pseudodichasiantha Kiaersk.",NA,"Myrtaceae","Plinia","pseudodichasiantha","Kiaersk.","M. C. Souza/Fev.2006",NA,NA,"8229",NA,"L. Kollmann; et al",2005,8,17,"Brazil","Espírito Santo","Santa Teresa","Cabeceira do 25 de Julho",-40.548333,-19.847222,"Arbusto 4m. Na sombra, frutos verdes.","BRA:MBML:MBML-HERBARIO:0000025039","Eugenia pseudodichasiantha Kiaersk."
"32","2017-10-16T08:44:19.000+0000","JBRJ","RB","RB00431998","Eugenia pseudodichasiantha Kiaersk.",NA,"Myrtaceae","Plinia","pseudodichasiantha","Kiaersk.","M. C. de Souza",NA,NA,"956",NA,"César S. Pardo",2004,6,25,"Brazil","Rio de Janeiro","Teresópolis","Parque Nacional da Serra dos Órgãos, Matas do Rio Paquequer próx. ao km 2,0 da Estrada para Barragem. Parque Nacional da Serra dos Órgãos",NA,NA,"Árvore ca. 11.7 metros e CAP 21.8 cm.","urn:catalog:JBRJ:RB:431998","Eugenia pseudodichasiantha Kiaersk."
"33","2014-07-07T19:21:40.000+0000","JBRJ","RB","RB00578671","Plinia pseudodichasiantha (Kiaersk.) G.M.Barroso ex Sobral",NA,"Myrtaceae","Plinia","pseudodichasiantha","(Kiaersk.) G.M.Barroso ex Sobral","M.C.Souza","2009-10-29T00:00:00.000+0000",NA,"2063",NA,"R.R. Vervloet ; E. Bausen",2003,3,26,"Brazil","Espírito Santo","Santa Teresa","Nova Lombradia. Reserva Biológica Augusto Ruschi, trilha antiga, sede lado direito.",NA,NA,"Arbusto de 4 m, frutos imaturos de cor verde, maduros de cor vermelha. Fundo de vale, doseel 18 m.","urn:catalog:JBRJ:RB:578671","Plinia pseudodichasiantha (Kiaersk.) G.M.Barroso ex Sobral"
"35",NA,"UEM","HUEM","13830","Plinia pseudodichasiantha (Kiaersk.) G.M.Barroso ex Sobral",NA,"Myrtaceae","Plinia","pseudodichasiantha","(Kiaersk.) G.M.Barroso ex Sobral","in Reflora","2014-12-08T00:00:00.000+0000",NA,"133",NA,"Lucas, E.J.; J.M. de Silva; Sakuragui, C.M.; I.S. de Silva",2003,10,26,"Brazil","Paraná","Marmeleiro","Em frente ao recanto Shalon, Campo.",-49.336111,-25.444444,"Trelet to 4m, trunk not exceeding 8cm diameter; immature fruits yellow, maturing red; embryo homogenous, purple","BRA:UEM:HUEM:0000013830","Plinia pseudodichasiantha (Kiaersk.) G.M.Barroso ex Sobral"
"36",NA,"UEM","HUEM","13803","Plinia pseudodichasiantha (Kiaersk.) G.M.Barroso ex Sobral",NA,"Myrtaceae","Plinia","pseudodichasiantha","(Kiaersk.) G.M.Barroso ex Sobral","in Reflora","2014-12-08T00:00:00.000+0000",NA,"121",NA,"Lucas, E.J.; J.M. de Silva; I.S. de Silva",2003,10,25,"Brazil","Paraná","São José dos Pinhais","Guaricana, perto da usina hidrelétrica",-49.978611,-25.714194,"Arvoreta de 2m, tronco com 10cm de diametro. Frutos imaturos verdes, maduros vermelhos e roxos. Embrião homogêneo, roxo.","BRA:UEM:HUEM:0000013803","Plinia pseudodichasiantha (Kiaersk.) G.M.Barroso ex Sobral"
