"","institutionCode","collectionCode","catalogNumber","scientificName","family","genus","specificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLongitude","decimalLatitude","occurrenceRemarks","occurrenceID","acceptedNameUsage","modified","identificationQualifier","infraspecificEpithet","fieldNumber","comments","bibliographicCitation"
"1","Universidade Federal de Minas Gerais (UFMG)","BHCB",150861,"Eugenia valsuganana Sobral","Myrtaceae","Eugenia","valsuganana","Sobral",NA,"2010-01-01T00:00:00.000+0000","ISOTYPE",1737,"Kollmann, L; Bausen, E; Pizziolo, W",1999,1,28,"Brazil","Espírito Santo","Santa Teresa","Reserva Biológica de Santa Lúcia, Valsugna Velha. Área 1, Parc 99, Arv 2219",0,0,NA,"BRA:UFMG:BHCB:0000150861","Eugenia valsuganana Sobral",NA,NA,NA,NA,NA,NA
"2","MBML","MBML-HERBARIO",9561,"Eugenia valsuganana Sobral","Myrtaceae","Eugenia","valsuganana","Sobral","J.E.Q.Faria/V-2011",NA,"HOLOTYPE",1737,"L. Kollmann; E. Bausen & W. Pizziolo",1999,1,28,"Brazil","Espírito Santo","Santa Teresa","Estação Biológica de Santa Lúcia",-40.530278,-19.971389,"Área 1, Parc 99, Arv 2219. Arvoreto 6m. DAP 8cm. Fuste 5m. Frutos verdes.","BRA:MBML:MBML-HERBARIO:0000009561","Eugenia valsuganana Sobral",NA,NA,NA,NA,NA,NA
