"","modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLongitude","decimalLatitude","occurrenceRemarks","occurrenceID","bibliographicCitation","acceptedNameUsage"
"1",NA,"UFES","VIES","25435","Myrcia vittoriana Kiaersk.",NA,"Myrtaceae","Myrcia","vittoriana",NA,"Kiaersk.","Valadares, R.T.","2018-07-09T00:00:00.000+0000",NA,"13",NA,"Pereira, W.C.",2018,3,31,"Brazil","Espírito Santo","Guarapari","Parque Estadual Paulo César Vinha.",NA,NA,"Pequeno arbusto com partes rastejantes na areia, frutos levemente esverdeados","BRA:UFES:VIES:0000025435",NA,"Myrcia vittoriana Kiaersk."
"2",NA,"UFES","VIES","28634","Myrcia vittoriana Kiaersk.",NA,"Myrtaceae","Myrcia","vittoriana",NA,"Kiaersk.","Wandekoken, D.T.","2018-09-12T00:00:00.000+0000",NA,"28",NA,"Carneiro, M.A.M.",2018,5,7,"Brazil","Espírito Santo","Vila Velha","Parque Natural Municipal de Jacarenema.",-40.317778,-20.398611,"Ávore. Frutos amarelos quando maduros.","BRA:UFES:VIES:0000028634",NA,"Myrcia vittoriana Kiaersk."
"3",NA,"UFES","VIES","37372","Myrcia vittoriana Kiaersk.",NA,"Myrtaceae","Myrcia","vittoriana",NA,"Kiaersk.",NA,NA,NA,"233",NA,"Souza, W.O.; Machado, J.O. & Alves-Araújo, A.",2014,2,12,"Brazil","Espírito Santo","Conceição da Barra","Parque Estadual de Itaúnas.",NA,NA,"SW1839","BRA:UFES:VIES:0000037372",NA,"Myrcia vittoriana Kiaersk."
"4",NA,"Reserva Natural Vale (CVRD)","CVRD","14795","Myrcia vittoriana Kiaersk.",NA,"Myrtaceae","Myrcia","vittoriana",NA,"Kiaersk.","Geovane S. Siqueira","2014-02-28T00:00:00.000+0000",NA,"974",NA,"Biral, L.",2014,2,19,"Brazil","Es","LINHARES",NA,-40.019889,-19.154583,"rotatória da torre, no estrada do flamengo <ll>dwc_commonname:</ll> Batinga da mussununga","BRA:CVRD:CVRD:0000014795",NA,"Myrcia vittoriana Kiaersk."
"5",NA,"NY","NY","2422949","Myrcia vittoriana Kiaersk.",NA,"Myrtaceae","Myrcia","vittoriana",NA,"Kiaersk.","D. F. Lima","2016-01-01T00:00:00.000+0000",NA,"1765",NA,"R. Goldenberg",2014,2,21,"Brazil","Bahia",NA,"Nova EsperanÃ§a, E.E. Wenceslau GuimarÃ£es; trilha do Pico do Urubu, Pedra da Antena",-39.7192,-13.5875,NA,"2153e078-7c90-427a-94b0-587ec7f5611b",NA,"Myrcia vittoriana Kiaersk."
"7",NA,"IMA","MAC","62965","Myrcia vittoriana Kiaersk.",NA,"Myrtaceae","Myrcia","vittoriana",NA,"Kiaersk.","M.C.S.Mota","2014-02-04T00:00:00.000+0000",NA,"12346",NA,"M.C.S.Mota",2014,2,4,"Brazil","Alagoas","Murici","Estação Ecológica de Murici, Serra do Ouro.",-35.857983,-9.227494,"Árvore ca. 5 m. Flores brancas.; Mata Atlântica.","BRA:IMA:MAC:0000062965",NA,"Myrcia vittoriana Kiaersk."
"8",NA,"UFPE","UFP","81970","Myrcia vittoriana Kiaersk.",NA,"Myrtaceae","Myrcia","vittoriana",NA,"Kiaersk.","Amorim, B.S.","2014-03-01T00:00:00.000+0000",NA,"1968",NA,"Amorim, B.S.",2014,3,22,"Brazil","Espírito Santo","Conceição da Barra","Parque Estadual de Itaúnas-Trilha da restinga, borda da mata.",0,0,"HABITAT:Floresta Atlântica.; DESC:Arbusto 3m alt, frutos jovens amarelos.;","BRA:UFPE:UFP:0000081970",NA,"Myrcia vittoriana Kiaersk."
"10",NA,"UFPE","UFP","80323","Myrcia vittoriana Kiaersk.",NA,"Myrtaceae","Myrcia","vittoriana",NA,"Kiaersk.","Amorim, B.S.","2014-05-01T00:00:00.000+0000",NA,"2025",NA,"Amorim, B.S.",2014,5,31,"Brazil","Bahia","Una","Estrada para Vila Brasil.",-39.0125,-15.099722,"HABITAT:Restinga arbórea. Floresta Atlântica.; DESC:Arvoreta 6m alt., frutos imaturos amarelos.;","BRA:UFPE:UFP:0000080323",NA,"Myrcia vittoriana Kiaersk."
"11",NA,"UFPE","UFP","80342","Myrcia vittoriana Kiaersk.",NA,"Myrtaceae","Myrcia","vittoriana",NA,"Kiaersk.","Amorim, B.S.","2014-05-01T00:00:00.000+0000",NA,"2017",NA,"Amorim, B.S.",2014,5,29,"Brazil","Bahia","Porto Seguro","Estrada para RPPN da Veracel.",-39.144722,-16.368889,"HABITAT:Restinga arbórea, Floresta Atlântica.; DESC:Arvoreta 3m alt., frutos imaturos amarelos.;","BRA:UFPE:UFP:0000080342",NA,"Myrcia vittoriana Kiaersk."
"12",NA,"UFPE","UFP","79021","Myrcia vittoriana Kiaersk.",NA,"Myrtaceae","Myrcia","vittoriana",NA,"Kiaersk.","Amorim, B.S.","2014-05-01T00:00:00.000+0000",NA,"2008",NA,"Amorim, B.S.",2014,5,25,"Brazil","Bahia","Itacaré","Fazenda Pontal",-39.000278,-14.263056,"HABITAT:Margem da estrada, restinga arbórea. Floresta Atlântica.; DESC:Arbusto 3m alt., frutos imaturos amarelos.;","BRA:UFPE:UFP:0000079021",NA,"Myrcia vittoriana Kiaersk."
"13",NA,"Comissão Executiva do Plano da Lavoura Cacaueira (CEPLAC)","CEPEC","44290","Gomidesia martiana Berg",NA,"Myrtaceae","Myrcia","martiana",NA,"Berg","E. N. Lughadha",NA,NA,"236",NA,"E. B. dos Santos",2014,7,14,"Brazil","Bahia","una","8Km ao N de Comandatuba.",NA,NA,"Ambiente: Restinga arborea. Solo arenoso. Habito: Árvore maior que 5m e menor 20m","BRA:CEPLAC:CEPEC:0000044290",NA,"Gomidesia martiana Berg"
"14","2018-01-15T15:10:24.000+0000","JBRJ","RB","RB01378616","Myrcia vittoriana Kiaersk.",NA,"Myrtaceae","Myrcia","vittoriana",NA,"Kiaersk.","M.C.S.Mota",NA,NA,"11898",NA,"M.C.S. Mota",2013,1,4,"Brazil","Alagoas","Murici","Estação Ecológica de Murici. Fazenda Bananeiras",NA,NA,NA,"urn:catalog:JBRJ:RB:1378616",NA,"Myrcia vittoriana Kiaersk."
"16",NA,"Universidade Tecnológica Federal do Paraná (UTFPR)","HCF","11668","Myrcia vittoriana Kiaersk.",NA,"Myrtaceae","Myrcia","vittoriana",NA,"Kiaersk.","G.S. Siqueira","2013-02-04T00:00:00.000+0000",NA,"4540",NA,"M.G. Caxambu",2013,2,2,"Brazil","Es","Sooretama","Reserva Natural da Vale - RNV",-40.064667,-19.150222,"arvoreta ca. 3 m. Frutos imaturos verdes.","BRA:UTFPR:HCF:0000011668",NA,"Myrcia vittoriana Kiaersk."
"17",NA,"UTFPR","DVPR","3841","Myrcia vittoriana Kiaersk.",NA,"Myrtaceae","Myrcia","vittoriana",NA,"Kiaersk.","Siqueira, G.S.","2013-02-04T00:00:00.000+0000",NA,"4540",NA,"Caxambu, M.G.; et al.; et al.",2013,2,2,"Brazil","Espirito Santo","Sooretama","Reserva Natural da Vale - RNV",-40.03528,-19.09008,"Arvoreta 3m, frutos imaturos vedes.; Relevo: suave-ondulado.","BRA:UTFPR:DVPR:0000003841",NA,"Myrcia vittoriana Kiaersk."
"18","2017-10-17T18:48:15.000+0000","JBRJ","RB","RB00740369","Myrcia vittoriana Kiaersk.",NA,"Myrtaceae","Myrcia","vittoriana",NA,"Kiaersk.",NA,NA,NA,"1201",NA,"Giaretta, A.",2012,1,26,"Brazil","Espírito Santo","Espírito Santo","Conceição da Barra. Lado sul da dunas. Restinga arbustiva fechada pós-praia. Parque Estadual de Itaúnas",-39.703889,-18.425833,"Árvore de 7m. Botões creme.","urn:catalog:JBRJ:RB:740369",NA,"Myrcia vittoriana Kiaersk."
"19",NA,"UFES","VIES","26743","Myrcia vittoriana Kiaersk.",NA,"Myrtaceae","Myrcia","vittoriana",NA,"Kiaersk.","Giaretta, A.O.","1905-07-04T00:00:00.000+0000",NA,"1166",NA,"Giaretta, A.O.",2012,1,24,"Brazil","Espírito Santo","Conceição da Barra","APA de Conceição da Barra.",NA,NA,"SW1839","BRA:UFES:VIES:0000026743",NA,"Myrcia vittoriana Kiaersk."
"20",NA,"UFES","VIES","26748","Myrcia vittoriana Kiaersk.",NA,"Myrtaceae","Myrcia","vittoriana",NA,"Kiaersk.","Giaretta, A.O.","1905-07-04T00:00:00.000+0000",NA,"1157",NA,"Giaretta, A.O.",2012,1,17,"Brazil","Espírito Santo","Conceição da Barra","Fazenda Jequitaia.",NA,NA,"SW1839","BRA:UFES:VIES:0000026748",NA,"Myrcia vittoriana Kiaersk."
