"","institutionCode","collectionCode","catalogNumber","scientificName","family","genus","specificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLongitude","decimalLatitude","occurrenceRemarks","occurrenceID","acceptedNameUsage","modified","identificationQualifier","infraspecificEpithet","fieldNumber","comments","bibliographicCitation"
"1","Instituto de Botânica, IBT","SP","310876","Eugenia longibracteata Mazine","Myrtaceae","Eugenia","longibracteata","Mazine","Sobral, M","2015-03-01T00:00:00.000+0000","ISOTYPE","83","Ferretti, AR; Vanini, A; Nave, AG; Peneireiro, FM; Rodrigues, RR; Souza, VC; Tamashiro, JY; I",1996,12,14,"Brazil","São Paulo","Cunha","Estação Experimental da Serra do Mar. Núcleo Cunha, trilha da bacia experimental A, floresta ombrofila densa, beira da estrada ao longo do rio Paraibuna",-45.042472,-23.257083,"Árvore 4m alt., casca grossa, rendilhada","BRA:IBt:SP:0000310876","Eugenia longibracteata Mazine",NA,NA,NA,NA,NA,NA
"2","UNICAMP","UEC","92594","Eugenia longibracteata Mazine","Myrtaceae","Eugenia","longibracteata","Mazine","Mazine, F.F.","2013-04-01T00:00:00.000+0000","ISOTYPE","83","Ferretti, A.R.; Souza, V.C.; Vanini, A.; Rodrigues, R.R.; Nave, A.G.; Peneireiro, F.M.; et al.",1996,12,14,"Brazil","São Paulo","Cunha","Estação Experimental da Serra do Mar, Núcleo Cunha - Trilha da Bacia Experimental.",-45.042472,-23.257083,"Árvore de 4m; casca grossa, rendilhada.; Floresta Ombrófila Densa, beira da estrada ao longo do rio Paraibuna.","BRA:UNICAMP:UEC:0000092594","Eugenia longibracteata Mazine",NA,NA,NA,NA,NA,NA
"3","USP","SPF","122149","Eugenia longibracteata Mazine","Myrtaceae","Eugenia","longibracteata","Mazine",NA,NA,"ISOTYPE","83","Ferretti, AR",1996,12,14,"Brazil","São Paulo","Cunha","Estação Experimental da Serra do Mar, Núcleo Cunha. Trilha da bacia experimental A. Beira da estrada, ao longo do rio Paraibuna.",-45.042472,-23.257083,"Árvore de 4 m; casca grossa, rendilhada.; Floresta Ombrófila Densa.","BRA:USP:SPF:0000122149","Eugenia longibracteata Mazine",NA,NA,NA,NA,NA,NA
