"","institutionCode","collectionCode","catalogNumber","scientificName","family","genus","specificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLongitude","decimalLatitude","occurrenceRemarks","occurrenceID","acceptedNameUsage","modified","identificationQualifier","infraspecificEpithet","fieldNumber","comments","bibliographicCitation"
"1","IF","SPSF","46668","Eugenia longibracteata Mazine","Myrtaceae","Eugenia","longibracteata","Mazine","L.B.Santos","2010-04-01T00:00:00.000+0000",NA,"413","L.B.Santos & F.L.S.Ferreira",2009,10,14,"Brazil","Sp","Botucatu","Parque ecológico da Pavuna",-46.511111,-22.8375,"COLETA: Mata Atlântica, floresta estacional semidecídua. Trepadeira, folhas membranáceas, botões verdes, cálice verde, corola amarelada, frutos imaturos verdes. Duplicatas 2.; GEOGRAFIA: Da sede até a trilha da esquerda na entrada das cachoeiras, depois a","BRA:IF:SPSF:0000046668","Eugenia longibracteata Mazine",NA,NA,NA,NA,NA,NA
"2","IF","SPSF","40752","Eugenia longibracteata Mazine","Myrtaceae","Eugenia","longibracteata","Mazine","M.N.Saka","2013-11-01T00:00:00.000+0000",NA,"456","R.T. Polisel & R.C.Sousa & N.M.Ivanauskas",2007,12,14,"Brazil","Sp","Barra do Chapéu","Propriedade da Dona Pedrina",-49.006667,-25.290556,"COLETA: Herbácea 1m altura.&nf;Inflorescência com pétalas brancas.; GEOGRAFIA: No morro; remanescente de floresta com araucária.;","BRA:IF:SPSF:0000040752","Eugenia longibracteata Mazine",NA,NA,NA,NA,NA,NA
"3","IF","SPSF","40751","Eugenia longibracteata Mazine","Myrtaceae","Eugenia","longibracteata","Mazine","M.N.Saka","2013-11-01T00:00:00.000+0000",NA,"455","R.T. Polisel & R.C.Sousa & N.M.Ivanauskas",2007,12,14,"Brazil","Sp","Barra do Chapéu","Propriedade da Dona Pedrina",-49.006667,-25.290556,"COLETA: Herbácea 1m altura.&nf;Inflorescência de pétala rósea.; GEOGRAFIA: No morro; remanescente de floresta com araucária.;","BRA:IF:SPSF:0000040751","Eugenia longibracteata Mazine",NA,NA,NA,NA,NA,NA
"4","IF","SPSF","21526","Eugenia longibracteata Mazine","Myrtaceae","Eugenia","longibracteata","Mazine","M.L.Kawasaki",NA,NA,"83","A.R.Ferretti",1996,12,14,"Brazil","Sp","Cunha","P.E.Serra do Mar - Núcleo Cunha",NA,NA,"COLETA: XLS: SPSFAntigo; GEOGRAFIA: beira de estrada ao longo do rio Paraibuna&nf;;","BRA:IF:SPSF:0000021526","Eugenia longibracteata Mazine",NA,NA,NA,NA,NA,NA
"5","Escola Superior de Agricultura Luiz de Queiroz, ESALQ","ESA","ESA034263","Eugenia longibracteata Mazine","Myrtaceae","Eugenia","longibracteata","Mazine","Mazine, F.F.",NA,NA,"152A","Ferretti, A.R.; Vanini, A.; Nave, A.G.; Peneireiro, F.M.; Rodrigues, R.R.; Souza, V.C.; Tamashiro, J.Y.; Ivanauskas, N.M.; Souza, J.P.",1996,12,14,"Brazil","São Paulo","Cunha",NA,NA,NA,NA,"BRA:ESALQ:ESA:0ESA034263","Eugenia longibracteata Mazine",NA,NA,NA,NA,NA,NA
"6","Escola Superior de Agricultura Luiz de Queiroz, ESALQ","ESA","ESA034084","Eugenia longibracteata Mazine","Myrtaceae","Eugenia","longibracteata","Mazine","Mazine, F.F.",NA,"HOLOTYPE","83","Ferretti, A.R. et al.",1996,12,14,"Brazil","São Paulo","Cunha",NA,NA,NA,NA,"BRA:ESALQ:ESA:0ESA034084","Eugenia longibracteata Mazine",NA,NA,NA,NA,NA,NA
"7","Instituto de Botânica, IBT","SP","310876","Eugenia longibracteata Mazine","Myrtaceae","Eugenia","longibracteata","Mazine","Sobral, M","2015-03-01T00:00:00.000+0000","ISOTYPE","83","Ferretti, AR; Vanini, A; Nave, AG; Peneireiro, FM; Rodrigues, RR; Souza, VC; Tamashiro, JY; I",1996,12,14,"Brazil","São Paulo","Cunha","Estação Experimental da Serra do Mar. Núcleo Cunha, trilha da bacia experimental A, floresta ombrofila densa, beira da estrada ao longo do rio Paraibuna",-45.042472,-23.257083,"Árvore 4m alt., casca grossa, rendilhada","BRA:IBt:SP:0000310876","Eugenia longibracteata Mazine",NA,NA,NA,NA,NA,NA
"8","UNICAMP","UEC","92594","Eugenia longibracteata Mazine","Myrtaceae","Eugenia","longibracteata","Mazine","Mazine, F.F.","2013-04-01T00:00:00.000+0000","ISOTYPE","83","Ferretti, A.R.; Souza, V.C.; Vanini, A.; Rodrigues, R.R.; Nave, A.G.; Peneireiro, F.M.; et al.",1996,12,14,"Brazil","São Paulo","Cunha","Estação Experimental da Serra do Mar, Núcleo Cunha - Trilha da Bacia Experimental.",-45.042472,-23.257083,"Árvore de 4m; casca grossa, rendilhada.; Floresta Ombrófila Densa, beira da estrada ao longo do rio Paraibuna.","BRA:UNICAMP:UEC:0000092594","Eugenia longibracteata Mazine",NA,NA,NA,NA,NA,NA
"9","USP","SPF","122149","Eugenia longibracteata Mazine","Myrtaceae","Eugenia","longibracteata","Mazine",NA,NA,"ISOTYPE","83","Ferretti, AR",1996,12,14,"Brazil","São Paulo","Cunha","Estação Experimental da Serra do Mar, Núcleo Cunha. Trilha da bacia experimental A. Beira da estrada, ao longo do rio Paraibuna.",-45.042472,-23.257083,"Árvore de 4 m; casca grossa, rendilhada.; Floresta Ombrófila Densa.","BRA:USP:SPF:0000122149","Eugenia longibracteata Mazine",NA,NA,NA,NA,NA,NA
"10","IF","SPSF","04077","Eugenia longibracteata Mazine","Myrtaceae","Eugenia","longibracteata","Mazine",NA,NA,NA,"799","J.C. Moraes",1953,5,10,"Brazil","Pb","Areia","Escola de Agronomia do Nordeste",NA,NA,"COLETA: XLS: SPSFAntigo;","BRA:IF:SPSF:0000004077","Eugenia longibracteata Mazine",NA,NA,NA,NA,NA,NA
