"","modified","institutionCode","collectionCode","catalogNumber","scientificName","family","genus","specificEpithet","scientificNameAuthorship","identifiedBy","typeStatus","recordNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLongitude","decimalLatitude","occurrenceRemarks","occurrenceID","acceptedNameUsage","identificationQualifier","infraspecificEpithet","dateIdentified","fieldNumber","comments","bibliographicCitation"
"1",NA,"Universidade Federal de Minas Gerais (UFMG)","BHCB","181189","Eugenia dipetala Sobral & L.Kollmann","Myrtaceae","Eugenia","dipetala","Sobral & L.Kollmann",NA,"ISOTYPE",6035,"Kollmann, K; Berger, MVS",2003,3,13,"Brazil","Espírito Santo","Santa Maria de Jetiba","Terreno de Reinaldo Berger.",0,0,NA,"BRA:UFMG:BHCB:0000181189","Eugenia dipetala Sobral & L.Kollmann",NA,NA,NA,NA,NA,NA
"2",NA,"MBML","MBML-HERBARIO","20078","Eugenia dipetala Sobral & L.Kollmann","Myrtaceae","Eugenia","dipetala","Sobral & L.Kollmann","M. Sobral/2016","HOLOTYPE",6035,"L. Kollmann; et al",2003,3,13,"Brazil","Espírito Santo","Santa Maria de Jetibá","Terreno de Reinaldo Berger",-40.780556,-20.067222,"Arbusto 4m, flores brancas.","BRA:MBML:MBML-HERBARIO:0000020078","Eugenia dipetala Sobral & L.Kollmann",NA,NA,NA,NA,NA,NA
"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
