"","modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","recordNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLongitude","decimalLatitude","occurrenceRemarks","occurrenceID","acceptedNameUsage","infraspecificEpithet","typeStatus","fieldNumber","comments","bibliographicCitation"
"1",NA,"UFSJ","HUFSJ","8832","Eugenia pallidopunctata Mazine",NA,"Myrtaceae","Eugenia","pallidopunctata","Mazine","Sobral, M","2016-01-01T00:00:00.000+0000",76,"Dantas, FM; Chaves, MS; Chave, RS",2011,11,14,"Brazil","Amazonas","Manaus","IFAM, Campus Manaus-Zona Leste, Permacultura, margem esquerda da barragem.",0,0,"Árvore, 12m. Folhas com a parte abaxial verde-claro; frutos imaturos verdes e maduros alaranjados; ramos de cor cinza-esbranquiçado, tronco cilíndrico.","BRA:UFSJ:HUFSJ:0000008832","Eugenia pallidopunctata Mazine",NA,NA,NA,NA,NA
"2","2014-09-26T00:00:00.000+0000","Instituto Nacional de Pesquisas da Amazônia (INPA)","Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)","233057","Eugenia pallidopunctata Mazine","cf.","Myrtaceae","Eugenia","pallidopunctata","Mazine","Souza, M.C. de","2010-04-01T00:00:00.000+0000",285,"Pereira, E da C.",2002,12,7,"Brazil","Amazonas",NA,"Reserva Florestal Adolfo Ducke, Rodovia Manaus-Itacoatiara, km 26. Trilha L-O4, km 5.5.",-59.55,-2.5648,NA,"urn:catalog:inpa:herbarium:215633","Eugenia pallidopunctata Mazine",NA,NA,NA,NA,NA
