"","modified","institutionCode","collectionCode","catalogNumber","scientificName","family","genus","specificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","recordNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLongitude","decimalLatitude","occurrenceRemarks","occurrenceID","acceptedNameUsage","identificationQualifier","infraspecificEpithet","typeStatus","fieldNumber","comments","bibliographicCitation"
"1",NA,"NY","NY","01418869","Eugenia belemitana McVaugh","Myrtaceae","Eugenia","belemitana","McVaugh","I. Bemerguy","1980-06-23T00:00:00.000+0000",450,"U. N. Maciel",1979,12,7,"Brazil","Pará",NA,"Itinga do Pará, Fazenda Caboré.",-47.538503,-4.436442,NA,"c5735045-2679-4a99-99d5-48ca724de935","Eugenia belemitana McVaugh",NA,NA,NA,NA,NA,NA
"2","2014-09-26T00:00:00.000+0000","Instituto Nacional de Pesquisas da Amazônia (INPA)","Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)","131016","Eugenia belemitana McVaugh","Myrtaceae","Eugenia","belemitana","McVaugh","Bemerguy, I.","1980-06-01T00:00:00.000+0000",450,"Maciel, UN",1979,12,7,"Brazil","Pará",NA,"Itinga, Fazenda Cabore.",NA,NA,NA,"urn:catalog:inpa:herbarium:95363","Eugenia belemitana McVaugh",NA,NA,NA,NA,NA,NA
"3",NA,"NY","NY","01418871","Eugenia belemitana McVaugh","Myrtaceae","Eugenia","belemitana","McVaugh","I. Bemerguy","1980-06-23T00:00:00.000+0000",450,"U. N. Maciel",1979,12,7,"Brazil","Pará",NA,"Itinga do Pará, Fazenda Caboré.",-47.538503,-4.436442,NA,"79e1438d-0f51-407e-b37c-0b07d2a85550","Eugenia belemitana McVaugh",NA,NA,NA,NA,NA,NA
"4",NA,"UnB","UB","190704","Eugenia belemitana McVaugh","Myrtaceae","Eugenia","belemitana","McVaugh",NA,NA,13304,"Pires, JM",1973,10,28,"Brazil","Pará","Belém","IPEAN.",0,0,"Amostra para estudo químico nº 92.&nf;NY 1418870 e RB 374143","BRA:UnB:UB:0000190704","Eugenia belemitana McVaugh",NA,NA,NA,NA,NA,NA
