"","institutionCode","collectionCode","catalogNumber","scientificName","family","genus","specificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLongitude","decimalLatitude","occurrenceRemarks","occurrenceID","acceptedNameUsage","modified","identificationQualifier","infraspecificEpithet","fieldNumber","comments","bibliographicCitation"
"1","UFPB","JPB","57443","Eugenia culicina Sobral","Myrtaceae","Eugenia","culicina","Sobral","Amorim, BS","2014-01-09T00:00:00.000+0000",NA,"1767","Amorim, BS; Costa-Lima, JL; Pessoa, EM; Araújo, D; Moreira, SN; Chagas, MA",2013,1,30,"Brazil","Pernambuco","Jaqueira","RPPN Frei Caneca, Mata do Quengo, interior da mata.",-35.842778,-8.714722,"Arvoreta 4m alt., flores brancas. Material tratado com álcool 90%.; Floresta Atlântica","BRA:UFPB:JPB:0000057443","Eugenia culicina Sobral",NA,NA,NA,NA,NA,NA
"2","UFPB","JPB","57445","Eugenia culicina Sobral","Myrtaceae","Eugenia","culicina","Sobral","Amorim, BS","2014-01-09T00:00:00.000+0000",NA,"2364","Araújo, D; Moreira, SN; Amorim, BS; Pessoa, EM; Costa-Lima, JL; Chagas, MA",2013,1,28,"Brazil","Pernambuco","Jaqueira","Subida à esquerda do alojamento.",-36.430556,-9.254167,"Árvore, ca. 5m alt. Cálice verde, corola branca, estames brancos.","BRA:UFPB:JPB:0000057445","Eugenia culicina Sobral",NA,NA,NA,NA,NA,NA
"3","UFPB","JPB","57444","Eugenia culicina Sobral","Myrtaceae","Eugenia","culicina","Sobral","Amorim, BS","2014-01-09T00:00:00.000+0000",NA,"1782","Amorim, BS; Costa-Lima, JL; Pessoa, EM; Araújo, D; Moreira, SN; Chagas, MA",2013,1,31,"Brazil","Pernambuco","Jaqueira","RPPN Frei Caneca, Mata próxima a Pedra do Cruzeiro, borda da mata.",-35.844722,-8.732222,"Arvoreta 5m alt., flores brancas.; Floresta Atlântica","BRA:UFPB:JPB:0000057444","Eugenia culicina Sobral",NA,NA,NA,NA,NA,NA
"4","UFPB","JPB","57446","Eugenia culicina Sobral","Myrtaceae","Eugenia","culicina","Sobral","Amorim, BS","2014-01-09T00:00:00.000+0000",NA,"1833","Amorim, BS; Melo, AV de; Chagas, MA",2013,4,30,"Brazil","Pernambuco","Jaqueira","RPPN Frei Caneca, Mata do Quengo, interior",-35.842778,-8.714722,"Arbusto 2m alt., frutos verdes.; Floresta Atlântica","BRA:UFPB:JPB:0000057446","Eugenia culicina Sobral",NA,NA,NA,NA,NA,NA
"5","UFPB","JPB","57450","Eugenia culicina Sobral","Myrtaceae","Eugenia","culicina","Sobral","Amorim, BS","2014-01-09T00:00:00.000+0000",NA,"1203","Melo, AV de; Buril, MT; Louzada, RB; Oliveira, F; Chagas, MA",2013,9,3,"Brazil","Pernambuco","Jaqueira","RPPN Frei Caneca, Mata do Quengo, área de interior",-35.839167,-8.713333,"Arvoreta com cerca de 3m de alt. Frutos verdes.","BRA:UFPB:JPB:0000057450","Eugenia culicina Sobral",NA,NA,NA,NA,NA,NA
"6","UFPE","UFP","82040","Eugenia culicina Sobral","Myrtaceae","Eugenia","culicina","Sobral","Amorim, B.S.",NA,NA,"1593","Amorim, B.S.",2012,5,30,"Brazil","Pernambuco","Jaqueira","RPPN Frei Caneca",-35.841667,-8.711389,"HABITAT:Mata do Quengo, interior da mata. Floresta Atlântica.; DESC:Arbusto 3,5m alt., frutos verdes, amarelos quando maduros.;","BRA:UFPE:UFP:0000082040","Eugenia culicina Sobral",NA,NA,NA,NA,NA,NA
"7","UFPB","JPB","57442","Eugenia culicina Sobral","Myrtaceae","Eugenia","culicina","Sobral","Amorim, BS","2014-01-09T00:00:00.000+0000",NA,"1593","Amorim, BS; Pessoa, EM; Costa-Lima, JL; Pereira, LA; Chagas, MA",2012,5,30,"Brazil","Pernambuco","Jaqueira","RPPN Frei Caneca, Mata do Quengo, interior da mata",-35.841667,-8.711389,"Arbusto 3,5m alt., frutos verdes, amarelos quando maduros.; Floresta Atlântica","BRA:UFPB:JPB:0000057442","Eugenia culicina Sobral",NA,NA,NA,NA,NA,NA
"8","UNIVASF","HVASF","1444","Eugenia culicina Sobral","Myrtaceae","Eugenia","culicina","Sobral","J.E.Q. Faria","2015-02-27T00:00:00.000+0000",NA,"910","J.A. Siqueira Filho",1999,4,10,"Brazil","Pernambuco","Jaqueira","RPPN Frei Caneca, Serra do Urubu",-35.806775,-8.743867,"Arvoreta ca. 4m, no interior da mata, em floração, cauliflora. Flores brancas, pluriestaminadas. Inflorescência umbeliforme.","BRA:UNIVASF:HVASF:0000001444","Eugenia culicina Sobral",NA,NA,NA,NA,NA,NA
"9","UFPE","UFP","24453","Eugenia culicina Sobral","Myrtaceae","Eugenia","culicina","Sobral",NA,NA,"HOLOTYPE","910830","Siqueira-Filho, J.A.",1999,4,10,"Brazil","Pernambuco","Jaqueira","Serra do Espelho-Córrego do mosquito, Mesorregião da MAta Pernambucana, Microrregião da MAta Úmida, a 10km de Usina Frei Caneca, ca. 170 km de Recife.",0,0,"HABITAT:Interior de mata.; DESC:Arvoreta aprox. 4m de altura, caulifloria. Flores brancas, pluriestaminadas. Inflorescência umbeliforma.;","BRA:UFPE:UFP:0000024453","Eugenia culicina Sobral",NA,NA,NA,NA,NA,NA
"10","UFPE","UFP","22279","Eugenia culicina Sobral","Myrtaceae","Eugenia","culicina","Sobral",NA,NA,"PARATYPE","s.n.","Tabarelli, M.",1998,1,21,"Brazil","Pernambuco","Bonito",NA,0,0,"HABITAT:Área de brejo.; DESC:Árvore, subbosque.;","BRA:UFPE:UFP:0000022279","Eugenia culicina Sobral",NA,NA,NA,NA,NA,NA
