"","modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","recordNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLongitude","decimalLatitude","occurrenceRemarks","occurrenceID","acceptedNameUsage"
"1",NA,"Reserva Natural Vale (CVRD)","CVRD","9093","Marlierea acuminatissima (O.Berg) D.Legrand",NA,"Myrtaceae","Marlierea","acuminatissima","(O.Berg) D.Legrand","Domingos A. Folli","2005-03-21T00:00:00.000+0000","5038","Folli, D.A.",2005,3,18,"Brazil","Es","LINHARES","Trilha do Pequí vinagreiro",NA,NA,"<ll>dwc_commonname:</ll> Batinga tupã","BRA:CVRD:CVRD:0000009093","Marlierea acuminatissima (O.Berg) D.Legrand"
"2","2017-10-18T23:42:20.000+0000","JBRJ","RB","RB00807308","Marlierea acuminatissima (O.Berg) D.Legrand","aff.","Myrtaceae","Marlierea","acuminatissima","(O.Berg) D.Legrand","Marcelo C. Souza","2002-10-18T00:00:00.000+0000","08/139","F. B. Pereira",2002,1,4,"Brazil","Rio de Janeiro","Rio Claro","Distrito de Líndice. Coletas Organizadas pela Extracta Moléculas Naturais Ltda, .",-44.176667,-22.853889,"Árvore, 5 m de altura, 16 cm de DAP, folha verde, caule rosado, raiz rosada, flor verde,","urn:catalog:JBRJ:RB:807308","Marlierea acuminatissima (O.Berg) D.Legrand"
"3","2014-07-22T12:38:06.000+0000","JBRJ","RB","RB00311976","Marlierea acuminatissima (O.Berg) D.Legrand",NA,"Myrtaceae","Marlierea","acuminatissima","(O.Berg) D.Legrand","G. M. Barroso e M. C. Souza","2006-01-01T00:00:00.000+0000","2788","R. S. Ramalho; A. L. P. Mota",1983,10,15,"Brazil","Minas Gerais","Serra da Canastra","Mata da Casca D´antas.",NA,NA,"Com 8m de altura e 18cm de DAP, com flores brancas","urn:catalog:JBRJ:RB:311976","Marlierea acuminatissima (O.Berg) D.Legrand"
"4","2014-07-22T12:38:07.000+0000","JBRJ","RB","RB00311968","Marlierea acuminatissima (O.Berg) D.Legrand",NA,"Myrtaceae","Marlierea","acuminatissima","(O.Berg) D.Legrand","G. M. Barroso e M. C. Souza","2006-01-01T00:00:00.000+0000","2647","R. S. Ramalho; A. L. P. Mota",1983,10,15,"Brazil","Minas Gerais","Serra da Canastra","Mata de Casca D´antas.",NA,NA,"Folhas com cheiro de goiaba, com 8m de altura e 15cm de DAP, com flores amarelos.","urn:catalog:JBRJ:RB:311968","Marlierea acuminatissima (O.Berg) D.Legrand"
"5",NA,"UNICAMP","UEC","127985","Marlierea acuminatissima (O.Berg) D.Legrand",NA,"Myrtaceae","Marlierea","acuminatissima","(O.Berg) D.Legrand","Barroso, G.M.","1993-06-19T00:00:00.000+0000","19","Silva, I.A.",1978,9,4,"Brazil","Espírito Santo","Linhares","Reserva Natural da Cvrd, estrada Flamengo.",0,0,"Arbóreo 15m de alt, 8 m do fruste, CAPdo fruste 91,11, diametro da copa 4, exsudação resina, descamação em ripas, flor e botão verde claro, superficie da casca áspera. formado do fruste cilíndrico.; Mata de Tabuleiro.","BRA:UNICAMP:UEC:0000127985","Marlierea acuminatissima (O.Berg) D.Legrand"
"6",NA,"Reserva Natural Vale (CVRD)","CVRD","75","Marlierea acuminatissima (O.Berg) D.Legrand",NA,"Myrtaceae","Marlierea","acuminatissima","(O.Berg) D.Legrand","Graziela M. Barroso","1993-07-19T00:00:00.000+0000","19","Silva, I.A.",1978,9,4,"Brazil","Es","LINHARES",NA,NA,NA,"<ll>dwc_commonname:</ll> Batinga tupã","BRA:CVRD:CVRD:0000000075","Marlierea acuminatissima (O.Berg) D.Legrand"
"7",NA,"USP","SPF","223190","Marlierea acuminatissima (O.Berg) D.Legrand",NA,"Myrtaceae","Marlierea","acuminatissima","(O.Berg) D.Legrand","Barroso, GM","1993-07-19T00:00:00.000+0000","19","Silva, IA",1978,9,4,"Brazil","Espírito Santo","Linhares","Reserva Natural Vale",0,0,NA,"BRA:USP:SPF:0000223190","Marlierea acuminatissima (O.Berg) D.Legrand"
"8","2018-09-24T12:45:38.000+0000","UM","MPU","MPU1234989","Marlierea acuminatissima (O.Berg) D.Legrand",NA,"Myrtaceae","Marlierea","acuminatissima","(O.Berg) D.Legrand",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://coldb.mnhn.fr/catalognumber/um/mpu/mpu1234989","Marlierea acuminatissima (O.Berg) D.Legrand"
