"","modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","recordNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLongitude","decimalLatitude","occurrenceRemarks","occurrenceID","acceptedNameUsage"
"1",NA,"USP","SPF","223190","Marlierea acuminatissima (O.Berg) D.Legrand",NA,"Myrtaceae","Marlierea","acuminatissima","(O.Berg) D.Legrand","Barroso, GM","1993-07-19T00:00:00.000+0000","19","Silva, IA",1978,9,4,"Brazil","Espírito Santo","Linhares","Reserva Natural Vale",0,0,NA,"BRA:USP:SPF:0000223190","Marlierea acuminatissima (O.Berg) D.Legrand"
"2",NA,"Reserva Natural Vale (CVRD)","CVRD","75","Marlierea acuminatissima (O.Berg) D.Legrand",NA,"Myrtaceae","Marlierea","acuminatissima","(O.Berg) D.Legrand","Graziela M. Barroso","1993-07-19T00:00:00.000+0000","19","Silva, I.A.",1978,9,4,"Brazil","Es","LINHARES",NA,NA,NA,"<ll>dwc_commonname:</ll> Batinga tupã","BRA:CVRD:CVRD:0000000075","Marlierea acuminatissima (O.Berg) D.Legrand"
