"","modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLongitude","decimalLatitude","occurrenceRemarks","occurrenceID","bibliographicCitation","acceptedNameUsage","infraspecificEpithet","comments"
"1",NA,"MBML","MBML-HERBARIO","51757","Psidium myrtoides O.Berg",NA,"Myrtaceae","Psidium","myrtoides","O.Berg","L. Kollmann",NA,NA,"45",NA,"Beatriz; Carolaine, Caroline, Jordane, Katiele, Keronlaine, Letícia, Maristela, Silvia, e Thaimiris",2017,1,12,"Brazil","Espírito Santo","Santa Maria de Jetibá","Mata Viva do Belém",NA,NA,"Frutos, sem cheiro, folhas lisas, médio porte.","BRA:MBML:MBML-HERBARIO:0000051757",NA,"Psidium myrtoides O.Berg",NA,NA
"2","2018-06-20T13:09:43.000+0000","JBRJ","RB","RB01390965","Psidium myrtoides O.Berg",NA,"Myrtaceae","Psidium","myrtoides","O.Berg","L.F. Gonçalves",NA,NA,"435",NA,"L.F.Gonçalves",2017,6,5,"Brazil","Rio de Janeiro","Teresópolis","Parque Nacional da Serra dos Órgãos. Trilha do Sino - Inicio. Parque Nacional da Serra dos Órgãos",-43.001667,-22.451667,"Árvore aprox. 27m.; folhas discolores com face abaxial verde esbranquiçada e veio central proeminente e amarelado; frutos imaturos verdes em profusão. Caule descamante com manchas brancas.","urn:catalog:JBRJ:RB:1390965",NA,"Psidium myrtoides O.Berg",NA,NA
"3","2017-09-27T08:52:21.000+0000","JBRJ","RB","RB01121352","Psidium myrtoides O.Berg",NA,"Myrtaceae","Psidium","myrtoides","O.Berg","Michel Ribeiro",NA,NA,"1212",NA,"Michel Ribeiro; Ezinete M. Rozário",2016,2,1,"Brazil","Espírito Santo","Viana","Jucuruaba. Fazenda Experimental Reginaldo Conde (INCAPER). Zona Ciliar do rio Jucu. Coletas na borda do fragmento florestal.",-40.479722,-20.423333,"Tronco marrom, com casca descamante em finas placas redondas, ao se desprender  deixa marcas no caule; casca externa marrom, casca interna marrom muito claro, mais espessa do que a externa. Copa composta por todas as folhas novas, verde-claro. Frutos verdes.","urn:catalog:JBRJ:RB:1121352",NA,"Psidium myrtoides O.Berg",NA,NA
"4",NA,"Universidade Federal dos Vales do Jequitinhonha e Mucuri (UFVJM)","HDJF","4221","Psidium myrtoides O.Berg",NA,"Myrtaceae","Psidium","myrtoides","O.Berg","Faria, JEQ","2016-07-01T00:00:00.000+0000",NA,"6262",NA,"Faria, JEQ; Vasconcelos, TNC; Stadnik, AMS",2016,7,11,"Brazil","Minas Gerais","São Sebastião do Rio Preto","Margem da estrada de terra de Morro do Pilar para Itambé do Mato Dentro",-43.325833,-19.34,"Árvore ca. 4 m de altura, caule rugoso, botões florais verdes e flores brancas; Campo sujo","BRA:UFVJM:HDJF:0000004221",NA,"Psidium myrtoides O.Berg",NA,NA
"5",NA,"UEFS","HUEFS","237158","Psidium myrtoides O.Berg",NA,"Myrtaceae","Psidium","myrtoides","O.Berg",NA,NA,NA,"142",NA,"Chagas, D.B.das",2016,8,10,"Brazil","Tocantins","Porto Nacional","Faz. Providência - Porto Nacional - TO",-48.4,-10.55,"Cerrado stricto sensu","BRA:UEFS:HUEFS:0000237158",NA,"Psidium myrtoides O.Berg",NA,NA
"6",NA,"Cenargen","CEN","96818","Psidium myrsinoides Berg",NA,"Myrtaceae","Psidium","myrsinoides","Berg","F. F. M. Santos",NA,NA,"698",NA,"Francisco Ferreira de Miranda Santos",2016,11,16,"Brazil","Df","BRASILIA","Long: 210876,9229 e Lat: 8232604,5905 Ponto 778.",NA,NA,"Fruto: carnosos. Patrocinadores: VSB - Vale so São Bartolomeu Transmissora de Energia. Parte integrante do programa Ambiental Linha de Transmissão 500 kv (C1 e C2). Doação Flora do DF e do Goiás.","BRA:Cenargen:CEN:0000096818",NA,"Psidium myrsinoides Berg",NA,NA
"7",NA,"UFES","VIES","38034","Psidium myrtoides O.Berg",NA,"Myrtaceae","Psidium","myrtoides","O.Berg","A. Giaretta","2017-09-01T00:00:00.000+0000",NA,"314",NA,"Dal col, A.C.S.; Cardoso, W.C.",2015,1,22,"Brazil","Espírito Santo","Vila Velha","Morro do Moreno.",NA,NA,"SW2040","BRA:UFES:VIES:0000038034",NA,"Psidium myrtoides O.Berg",NA,NA
"8",NA,"MBML","MBML-HERBARIO","50982","Psidium myrtoides O.Berg",NA,"Myrtaceae","Psidium","myrtoides","O.Berg","A.C. Tuler/03-10-2015",NA,NA,"1171",NA,"M. Ribeiro",2015,9,3,"Brazil","Espírito Santo","Vila Velha","Seringal. Remanescente de brejo (estágio primário) ao lado da BR 101 Sul, chamado localmente como ?mangá?",-40.461667,-20.452222,"Tronco com casca laminada marrom-claro, madeira extremamente dura. Copa densa, verde escuro, folhas nítidas. Botões axilares opostas, verde-claro. Frutos verdes, roxo-escuros quando maduros, cerca de 3 sementes. Espécie nativa cultivad","BRA:MBML:MBML-HERBARIO:0000050982",NA,"Psidium myrtoides O.Berg",NA,NA
"10",NA,"Cenargen","CEN","97795","Psidium myrsinoides Berg",NA,"Myrtaceae","Psidium","myrsinoides","Berg","J. B. Pereira",NA,NA,"5613",NA,"Anderson Cássio Sevilha",2015,10,27,"Brazil","Ma","CAROLINA","Parque Nacional Chapada das Mesas.",-47.165555,-7.127778,NA,"BRA:Cenargen:CEN:0000097795",NA,"Psidium myrsinoides Berg",NA,NA
"11",NA,"Cenargen","CEN","97450","Psidium myrsinoides Berg",NA,"Myrtaceae","Psidium","myrsinoides","Berg","A. C. Servilha",NA,NA,"5282",NA,"Anderson Cássio Sevilha",2015,10,16,"Brazil","Ma","CAROLINA","Parque Nacional Chapada das Mesas. Sítio Buenos Aires.",-47.371388,-6.950555,"Ponto 1 parcela 1.","BRA:Cenargen:CEN:0000097450",NA,"Psidium myrsinoides Berg",NA,NA
