"","institutionCode","collectionCode","catalogNumber","scientificName","family","genus","specificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLongitude","decimalLatitude","occurrenceRemarks","occurrenceID","acceptedNameUsage"
"1","UFPE","UFP",82262,"Myrcia congestiflora Caliari & V.C.Souza","Myrtaceae","Myrcia","congestiflora","Caliari & V.C.Souza","Amorim, B.S.","2017-02-01T00:00:00.000+0000",NA,1345,"Sanchez, M.",1997,4,16,"Brazil","São Paulo","Ubatuba","Picinguaba-Morro do Corisco.",0,0,"COORD: 23°22' S / 44°48' W.HABITAT:Mata Atlântica de Encosta.; DESC:Árvore com 6m de altura, com flores.;","BRA:UFPE:UFP:0000082262","Myrcia congestiflora Caliari & V.C.Souza"
"2","UNICAMP","UEC",92040,"Myrcia congestiflora Caliari & V.C.Souza","Myrtaceae","Myrcia","congestiflora","Caliari & V.C.Souza","Meireles, L.D.","2017-09-01T00:00:00.000+0000",NA,31344,"Sanchez, M.; Pedroni, F.",1992,10,10,"Brazil","São Paulo","Ubatuba","Pic, margem do rio da Fazenda.",0,0,"Árvore de 4m de alt, frutos imaturos amarelos e maduros vermelhos.","BRA:UNICAMP:UEC:0000092040","Myrcia congestiflora Caliari & V.C.Souza"
