"","modified","institutionCode","collectionCode","catalogNumber","scientificName","family","genus","specificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLongitude","decimalLatitude","occurrenceRemarks","occurrenceID","acceptedNameUsage"
"1",NA,"NY","NY","01459817","Eugenia tenuiflora Mazine","Myrtaceae","Eugenia","tenuiflora","Mazine",NA,NA,"ISOTYPE",3222,NA,"G. T. Prance",1966,11,23,"Brazil","Amazonas",NA,"Road HumaitÃ¡ to LÃ¡brea, km 42. 2km wet of rio Ipixuna",-63.362754,-7.508793,NA,"b4c1f854-49aa-432f-9903-3fa350ecdcc7","Eugenia tenuiflora Mazine"
"2","2015-09-04T22:55:37.000+0000","MNHN","P","P05321194","Eugenia tenuiflora Mazine","Myrtaceae","Eugenia","tenuiflora","Mazine",NA,NA,NA,NA,3001,"Glaziou, A.",1869,2,3,"Brazil","Rio de Janeiro",NA,NA,NA,NA,NA,"http://coldb.mnhn.fr/catalognumber/mnhn/p/p05321194","Eugenia tenuiflora Mazine"
