"","modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLongitude","decimalLatitude","occurrenceRemarks","occurrenceID","bibliographicCitation","acceptedNameUsage"
"1",NA,"UEFS","HUEFS","235517","Vitex schaueriana Moldenke",NA,"Lamiaceae","Vitex","schaueriana",NA,"Moldenke",NA,NA,NA,"45",NA,"Mizushima, M.",2017,4,5,"Brazil","Ceará","Cratéus","Serra das Almas",NA,NA,"Caatinga","BRA:UEFS:HUEFS:0000235517",NA,"Vitex schaueriana Moldenke"
"2",NA,"UFRB","HURB","19620","Vitex schaueriana Moldenke",NA,"Lamiaceae","Vitex","schaueriana",NA,"Moldenke","M.L.Guedes","2017-11-01T00:00:00.000+0000",NA,"22574",NA,"Guedes, M.L.; Borges, R.L.; Stadnik, A. & Sacramento, C.C.",2014,10,15,"Brazil","Bahia","Licinio de Almeida","Caminho para Riacho fundo;",-42.526389,-14.583333,"ALCB 116769Flores: liláses; Hábito: árvore","BRA:UFRB:HURB:0000019620",NA,"Vitex schaueriana Moldenke"
"4",NA,"UFRB","HURB","16857","Vitex schaueriana Moldenke",NA,"Lamiaceae","Vitex","schaueriana",NA,"Moldenke",NA,NA,NA,"1499",NA,"Roque, A.A.; Ribeiro, A.; Souza, A.C.D.",2013,3,28,"Brazil","Rio Grande do Norte","Serra de São Bento","Morro do Cruzeiro; Ca. De 1km da cidade",-35.699167,-6.424722,"UFRN 15546Hábito: arvoreta","BRA:UFRB:HURB:0000016857",NA,"Vitex schaueriana Moldenke"
"5",NA,"UEFS","HUEFS","204010","Vitex schaueriana Moldenke",NA,"Lamiaceae","Vitex","schaueriana",NA,"Moldenke",NA,NA,NA,"56870",NA,"Harley, R.M.",2013,12,28,"Brazil","Bahia","Abaíra","Catolés Distrito de Catolés, Estrada entre Catolés de Cima e Catolés, ca. 1 km da igreja de Catolés.",-41.852778,-13.2925,"Beira da estrada.","BRA:UEFS:HUEFS:0000204010",NA,"Vitex schaueriana Moldenke"
"6",NA,"IMA","MAC","45896","Vitex schaueriana Moldenke",NA,"Lamiaceae","Vitex","schaueriana",NA,"Moldenke","E.C.O.Chagas","2010-01-30T00:00:00.000+0000",NA,"7400",NA,"Chagas-Mota",2010,1,30,"Brazil","Alagoas","Minador do Negrão","Fazenda Pedra Talhada.",0,0,"Árvore ca. 5 m de altura. Estéril.; Caatinga.","BRA:IMA:MAC:0000045896",NA,"Vitex schaueriana Moldenke"
"7",NA,"IMA","MAC","45972","Vitex schaueriana Moldenke",NA,"Lamiaceae","Vitex","schaueriana",NA,"Moldenke","E.C.O.Chagas","2010-01-31T00:00:00.000+0000",NA,"7476",NA,"Chagas-Mota",2010,1,31,"Brazil","Alagoas","Santana do Ipanema","Serra do Gugi.",0,0,"Árvore ca. 6 m de altura. Flores lilases.; Caatinga.","BRA:IMA:MAC:0000045972",NA,"Vitex schaueriana Moldenke"
"8",NA,"US","Botany","3582443","Vitex schaueriana Moldenke",NA,"Lamiaceae","Vitex","schaueriana",NA,"Moldenke",NA,NA,NA,"2662",NA,"N. Roque, P. Acevedo-Rodriguez & I. S. Abreu",2010,2,12,"Brazil","Bahia",NA,"Rio de Contas, Chapada Diamantina, Caminho para Rio da Água Suja.",-41.7781,-13.4817,NA,"http://n2t.net/ark:/65665/3ecde1cc1-da27-451e-8415-24883390ac27",NA,"Vitex schaueriana Moldenke"
"10",NA,"UEFS","HUEFS","166601","Vitex schaueriana Moldenke",NA,"Lamiaceae","Vitex","schaueriana",NA,"Moldenke","R.M.Harley","2014-03-01T00:00:00.000+0000",NA,"56200",NA,"Harley, R.M.",2010,11,22,"Brazil","Bahia","Ibicoara","Estrada de chão entre Brejo de Cima e Mucugê, na subida após de Brejo de Cima",-41.550278,-13.324444,"Mata seca","BRA:UEFS:HUEFS:0000166601",NA,"Vitex schaueriana Moldenke"
"11",NA,"UEFS","HUEFS","166606","Vitex schaueriana Moldenke",NA,"Lamiaceae","Vitex","schaueriana",NA,"Moldenke","R.M.Harley","2014-03-01T00:00:00.000+0000",NA,"56205",NA,"Harley, R.M.",2010,11,22,"Brazil","Bahia","Ibicoara","Estrada de chão entre Brejo de Cima e Mucugê, na subida após de Brejo de Cima",-41.550278,-13.324444,"Mata seca","BRA:UEFS:HUEFS:0000166606",NA,"Vitex schaueriana Moldenke"
"12",NA,"IMA","MAC","36736","Vitex schaueriana Moldenke",NA,"Lamiaceae","Vitex","schaueriana",NA,"Moldenke","E.C.O.Chagas",NA,NA,"2106",NA,"Chagas-Mota",2009,2,21,"Brazil","Alagoas","Batalha","Margens do Rio Traipu.",0,0,"Árvore ca. 5 m de altura. Frutos negros.; Caatinga.","BRA:IMA:MAC:0000036736",NA,"Vitex schaueriana Moldenke"
"13",NA,"IMA","MAC","36319","Vitex schaueriana Moldenke",NA,"Lamiaceae","Vitex","schaueriana",NA,"Moldenke","E.C.O.Chagas",NA,NA,"11796",NA,"R.P.Lyra-Lemos; E.C.O.Chagas; M.C.S.Mota; R.Medeiros",2009,2,21,"Brazil","Alagoas","Batalha",NA,0,0,"Árvore ca. de 4m de altura. Flores roxas com branco.; Caatinga.","BRA:IMA:MAC:0000036319",NA,"Vitex schaueriana Moldenke"
"14",NA,"IMA","MAC","38187","Vitex schaueriana Moldenke",NA,"Lamiaceae","Vitex","schaueriana",NA,"Moldenke","E.C.O.Chagas","2009-04-23T00:00:00.000+0000",NA,"2899",NA,"Chagas-Mota; L.M.Leão",2009,4,23,"Brazil","Alagoas","Inhapi","Serra do Grude.",0,0,"Árvore ca. 4 m de altura. Frutos verdes.; Caatinga.","BRA:IMA:MAC:0000038187",NA,"Vitex schaueriana Moldenke"
"15",NA,"Universidade Federal da Bahia (UFBA)","ALCB","92852","Vitex schaueriana Moldenke",NA,"Lamiaceae","Vitex","schaueriana",NA,"Moldenke","Guedes, ML; Gomes, FS","2010-03-01T00:00:00.000+0000",NA,"16726",NA,"Guedes, ML; Gomes, FS; Melo, E; et al.",2009,12,9,"Brazil","Bahia","Licínio de Almeida","Serra Geral, estrada de Licínio de Almeida para Jacaraci. P03",-42.5175,-14.745833,"ca. 5 m alt. Folhas digitadas, folíolos coriáceos. Flores em botões e passadas. Frutos imaturos.","BRA:UFBA:ALCB:0000092852",NA,"Vitex schaueriana Moldenke"
"17",NA,"UEFS","HUEFS","157967","Vitex schaueriana Moldenke",NA,"Lamiaceae","Vitex","schaueriana",NA,"Moldenke","R.M.Harley","2014-03-01T00:00:00.000+0000",NA,"7615",NA,"Melo, E.",2009,12,16,"Brazil","Bahia","Barra do Mendes","Estrada para Canarina.",-42.0175,-12.150833,"Transição cerrado/caatinga.","BRA:UEFS:HUEFS:0000157967",NA,"Vitex schaueriana Moldenke"
"18",NA,"UEFS","HUEFS","122431","Vitex schaueriana Moldenke",NA,"Lamiaceae","Vitex","schaueriana",NA,"Moldenke","R.M.Santos","2007-09-01T00:00:00.000+0000",NA,"1494",NA,"Santos, R.M.",2007,6,22,"Brazil","Piauí","Caracol","Parque Nacional da Serra das Confusões.",-43.561389,-9.141389,"Caatinga arbórea.","BRA:UEFS:HUEFS:0000122431",NA,"Vitex schaueriana Moldenke"
"19",NA,"UEFS","HUEFS","120937","Vitex schaueriana Moldenke",NA,"Lamiaceae","Vitex","schaueriana",NA,"Moldenke","R.M.Harley","2007-08-01T00:00:00.000+0000",NA,"2124",NA,"Conceição, A.A.",2007,6,2,"Brazil","Bahia","Brotas de Macaúbas","Pé do morro.",-42.730556,-12.009444,NA,"BRA:UEFS:HUEFS:0000120937",NA,"Vitex schaueriana Moldenke"
"20",NA,"UEFS","HUEFS","133641","Vitex schaueriana Moldenke",NA,"Lamiaceae","Vitex","schaueriana",NA,"Moldenke","R.M.Harley","2014-03-01T00:00:00.000+0000",NA,"236",NA,"Ferreira, J.L.",2007,11,17,"Brazil","Bahia","Boninal","Povoado de Baraúnas entre Boninal e Seabra.",-41.804722,-12.621111,"Vegetação na Beira do Rio.","BRA:UEFS:HUEFS:0000133641",NA,"Vitex schaueriana Moldenke"
"21",NA,"IMA","MAC","24374","Vitex schaueriana Moldenke",NA,"Lamiaceae","Vitex","schaueriana",NA,"Moldenke","E.C.O.Chagas","2008-12-04T00:00:00.000+0000",NA,"9415",NA,"R.P.Lyra-Lemos",2006,3,25,"Brazil","Alagoas","Mata Grande","Sítio de Seu João, antes do topo da Serra.",-37.705556,-9.125,"Árvore ca. 5 m de altura. Flores lilás. Frutos negros.; Mata Serrana de Brejo de altitude.","BRA:IMA:MAC:0000024374",NA,"Vitex schaueriana Moldenke"
"22","2016-01-15T00:00:00.000+0000","K","Herbarium","K001220189","Vitex schaueriana Moldenke",NA,"Lamiaceae","Vitex","schaueriana",NA,"Moldenke",NA,NA,NA,"223",NA,"Souza-Silva, R.F.; Rapini, A.; Carvalho, P.D.",2006,11,3,"Brazil",NA,"Licínio de Almeida","Estrada de terra para Caetité.",NA,NA,NA,"http://specimens.kew.org/herbarium/K001220189",NA,"Vitex schaueriana Moldenke"
"23",NA,"UFPB","JPB","34332","Vitex schaueriana Moldenke",NA,"Lamiaceae","Vitex","schaueriana",NA,"Moldenke","Santos, RM","2007-10-01T00:00:00.000+0000",NA,"303",NA,"Lacerda, AV; Barbosa, FM",2005,1,19,"Brazil","Paraíba","São João do Cariri","Riacho Aveloz",0,0,"Árvore, flores lilás, frutos imaturos de cor verde ; DE","BRA:UFPB:JPB:0000034332",NA,"Vitex schaueriana Moldenke"
"25",NA,"Universidade Federal da Bahia (UFBA)","ALCB","69562","Vitex schaueriana Moldenke",NA,"Lamiaceae","Vitex","schaueriana",NA,"Moldenke","Guedes, ML","2005-11-01T00:00:00.000+0000",NA,"11703",NA,"Guedes, ML; Velozo, ES; et al.",2005,3,25,"Brazil","Bahia","Abaíra","Chapada Diamantina, Caminho para a Serra do Barbado",-41.65,-13.233333,"de ca 4m. Folíolos cartáceos, discolores. Frutos imaturos verdes e maduros vináceos. Freqüente.","BRA:UFBA:ALCB:0000069562",NA,"Vitex schaueriana Moldenke"
"26",NA,"Universidade Federal da Bahia (UFBA)","ALCB","69563","Vitex schaueriana Moldenke",NA,"Lamiaceae","Vitex","schaueriana",NA,"Moldenke","Guedes, ML","2005-11-01T00:00:00.000+0000",NA,"11704",NA,"Guedes, ML; Velozo, ES; et al.",2005,3,26,"Brazil","Bahia","Abaíra","Chapada Diamantina, Caminho Catolés/Barriguda",-41.65,-13.233333,"de ca 4m. Folhas com folíolos coriáceos, discolores. Frutos imaturos verdes e maduros vináceos.; antropizado","BRA:UFBA:ALCB:0000069563",NA,"Vitex schaueriana Moldenke"
"27",NA,"Universidade Federal do Ceará, UFC","EAC","35770","Vitex schaueriana Moldenke",NA,"Lamiaceae","Vitex","schaueriana",NA,"Moldenke","Lima-Verde, L.W.","2005-09-27T00:00:00.000+0000",NA,"s.n.",NA,"Lima, J.R.",2005,5,25,"Brazil","Ceará","Crateús","Serra das Almas.",0,0,"Arbóreo, flor estacional decídua, fruto cor castanho, fanerófito.","BRA:UFC:EAC:0000035770",NA,"Vitex schaueriana Moldenke"
"28","2018-08-22T16:06:52.000+0000","JBRJ","RB","RB01341078","Vitex schaueriana Moldenke",NA,"Lamiaceae","Vitex","schaueriana",NA,"Moldenke","F. França",NA,NA,"6347",NA,"L.S. Leoni",2005,12,1,"Brazil","Minas Gerais","Carangola","Próximo ao Carfanaum, ao lado da pastagem.",NA,NA,"Arbusto, ca. 2,5 - 3,5 m de altura; caule fissurado; corola alvo-lilás.","urn:catalog:JBRJ:RB:1341078",NA,"Vitex schaueriana Moldenke"
"29","2018-08-22T16:09:57.000+0000","JBRJ","RB","RB01354123","Vitex schaueriana Moldenke",NA,"Lamiaceae","Vitex","schaueriana",NA,"Moldenke","F. França",NA,NA,"5587",NA,"L.S. Leoni",2004,2,5,"Brazil","Minas Gerais","Araponga","Parque dos Brigadeiro, do lado da estrada",NA,NA,"Árvore com 3-4 m de altura; caule fissurado; frutos maduros de cor esura.","urn:catalog:JBRJ:RB:1354123",NA,"Vitex schaueriana Moldenke"
