"","institutionCode","collectionCode","catalogNumber","scientificName","family","genus","specificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLongitude","decimalLatitude","occurrenceRemarks","occurrenceID","acceptedNameUsage","modified","identificationQualifier","infraspecificEpithet","fieldNumber","comments","bibliographicCitation"
"1","MBM","MBM",394967,"Sloanea hatschbachii D.Samp. & V.C.Souza","Elaeocarpaceae","Sloanea","hatschbachii","D.Samp. & V.C.Souza","Brotto, ML","2016-06-09T00:00:00.000+0000",NA,8685,"Silva, JM; Motta, JT",2014,11,8,"Brazil","Paraná","Guaratuba","Balneário Nereidas",-48.595,-25.925,"Arbusto, 3m, flor creme e frutos verdes pilosos.; Restinga arbórea.","BRA:MBM:MBM:0000394967","Sloanea hatschbachii D.Samp. & V.C.Souza",NA,NA,NA,NA,NA,NA
"2","UTFPR","DVPR",3195,"Sloanea hatschbachii D.Samp. & V.C.Souza","Elaeocarpaceae","Sloanea","hatschbachii","D.Samp. & V.C.Souza","Brotto, M.L.","2015-09-17T00:00:00.000+0000",NA,8685,"Silva, J.M.; Motta, J.T.; Motta, J.T.",2014,11,8,"Brazil","Paraná","Guaratuba","Balneário Nereidas",-48.3542,-25.553,"Arbusto 3m, flor creme e frutos verdes pilosos.; Restinga arbórea","BRA:UTFPR:DVPR:0000003195","Sloanea hatschbachii D.Samp. & V.C.Souza",NA,NA,NA,NA,NA,NA
"3","UNICAMP","UEC",4114,"Sloanea hatschbachii D.Samp. & V.C.Souza","Elaeocarpaceae","Sloanea","hatschbachii","D.Samp. & V.C.Souza","Sampaio, D.","2009-01-01T00:00:00.000+0000","ISOTYPE",20091,"Hatschbach, G.",1968,10,22,"Brazil","Paraná","Paranaguá","Rio Pereque, Restinga (depresão brejosa)",0,0,"Arvoreta 4 m, flor creme, disco vermelho","BRA:UNICAMP:UEC:0000004114","Sloanea hatschbachii D.Samp. & V.C.Souza",NA,NA,NA,NA,NA,NA
