"","institutionCode","collectionCode","catalogNumber","scientificName","family","genus","specificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","recordNumber","recordedBy","country","stateProvince","municipality","locality","decimalLongitude","decimalLatitude","occurrenceID","acceptedNameUsage","modified","identificationQualifier","infraspecificEpithet","typeStatus","fieldNumber","year","month","day","occurrenceRemarks","comments","bibliographicCitation"
"1","UEFS","HUEFS","208259","Pouteria synsepala Popovkin & A.D.Faria","Sapotaceae","Pouteria","synsepala","Popovkin & A.D.Faria","A.Popovkin","2015-08-01T00:00:00.000+0000",1755,"Popovkin, A.V.","Brazil","Bahia","Entre Rios","Algodão.",-37.966667,-12.166667,"BRA:UEFS:HUEFS:0000208259","Pouteria synsepala Popovkin & A.D.Faria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","UEFS","HUEFS","217991","Pouteria synsepala Popovkin & A.D.Faria","Sapotaceae","Pouteria","synsepala","Popovkin & A.D.Faria","Popovkin, A.V.","2016-11-01T00:00:00.000+0000",1908,"Popovkin, A.V.","Brazil","Bahia","Entre Rios","Imbé.",-38,-12.083333,"BRA:UEFS:HUEFS:0000217991","Pouteria synsepala Popovkin & A.D.Faria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
