"","modified","institutionCode","collectionCode","catalogNumber","scientificName","family","genus","specificEpithet","scientificNameAuthorship","identifiedBy","typeStatus","recordNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLongitude","decimalLatitude","occurrenceRemarks","occurrenceID","acceptedNameUsage"
"1",NA,"UFES","VIES","28886","Pouteria samborae Alves-Araújo & Mônico","Sapotaceae","Pouteria","samborae","Alves-Araújo & Mônico","A.Z. Mônico & A. Alves-Araújo","ISOTYPE",15,"A.Z. Mônico; A. Alves-Araújo",2014,2,20,"Brazil","Espírito Santo","Santa Teresa","Estação Biológica de Santa Lúcia, encontro da Trilha Seca com a Trilha do Rio.",-40.529722,-19.971667,"Árvore na beira do rio, botões florais e flores creme.","BRA:UFES:VIES:0000028886","Pouteria samborae Alves-Araújo & Mônico"
"2",NA,"NY","NY","02859453","Pouteria samborae Alves-Araújo & Mônico","Sapotaceae","Pouteria","samborae","Alves-Araújo & Mônico",NA,"ISOTYPE",15,"A. Z. MÃ´nico",2014,2,20,"Brazil","EspÃ­rito Santo",NA,"EstaÃ§Ã£o BiolÃ³gica de Santa LÃºcia, encontro da Trilha Seca com a Trilha do Rio",-40.529878,-19.971892,NA,"5f7bcfad-7762-4b42-8035-dfa21a77da73","Pouteria samborae Alves-Araújo & Mônico"
