"","modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLongitude","decimalLatitude","occurrenceRemarks","occurrenceID","bibliographicCitation","acceptedNameUsage","comments"
"1",NA,"UEFS","HUEFS","232351","Pouteria psammophila Radlk.",NA,"Sapotaceae","Pouteria","psammophila",NA,"Radlk.",NA,NA,NA,"1681",NA,"Cardoso, L.J.T.",2014,9,7,"Brazil","Rio de Janeiro","Rio de Janeiro","Parque Natural Municipal Paisagem Carioca. Divisa entre os Bairros de Botafogo e Copacabana, cumeeira do Morro São João.",-43.186111,-22.962222,"Floresta de topo de morro, em nível sucessional médio-avançado, trecho de mata nativa.","BRA:UEFS:HUEFS:0000232351",NA,"Pouteria psammophila Radlk.",NA
"2",NA,"UFES","VIES","24848","Pouteria psammophila Radlk.",NA,"Sapotaceae","Pouteria","psammophila",NA,"Radlk.","Alves-Araújo, A.","2009-06-11T00:00:00.000+0000",NA,"1318",NA,"Alves-Araújo, A.; Buril, M.T.; Pessoa, E.",2009,6,11,"Brazil","Pernambuco","Buíque","Caatinga, Trilha das Torres, PARNA do Catimbau.",-37.244444,-8.565556,"Árvore botões verdes, frutosimaturos verdes. Látex alvo, abundante.","BRA:UFES:VIES:0000024848",NA,"Pouteria psammophila Radlk.",NA
"3","2017-10-18T15:36:26.000+0000","JBRJ","RB","RB00525606","Pouteria psammophila Radlk.",NA,"Sapotaceae","Pouteria","psammophila",NA,"Radlk.","A.C.S. Cavalcanti","2009-01-01T00:00:00.000+0000",NA,"167",NA,"A.C.S. Cavalcanti; C.F.C de Sá",2008,5,16,"Brazil","Rio de Janeiro","Araruama","Praia Seca, vegetação de restinga entre a praia e a Lagoa de Araruama.",-42.293055,-22.936667,"Árvore ca de 3,5 m de ramos marrons; folhas coriáceas glabras verdes concolores sendo a face adaxial brilhosa; frutos maduros amarelos.","urn:catalog:JBRJ:RB:525606",NA,"Pouteria psammophila Radlk.",NA
"4",NA,"NY","NY","02422639","Pouteria psammophila Radlk.",NA,"Sapotaceae","Pouteria","psammophila",NA,"Radlk.",NA,NA,NA,"5500",NA,"D. A. Folli",2007,7,3,"Brazil","Espírito Santo",NA,"Reserva Natural Vale.",0,0,NA,"2d3e80fd-daef-4367-ad0b-024f93001535",NA,"Pouteria psammophila Radlk.",NA
"5","2014-07-08T05:22:00.000+0000","JBRJ","RB","RB00408930","Pouteria psammophila Radlk.",NA,"Sapotaceae","Pouteria","psammophila",NA,"Radlk.",NA,NA,NA,"827",NA,"D.Fernandes; R.Ribeiro",2004,4,25,"Brazil","Rio de Janeiro","Cabo Frio","2º distrito Tamoios, Parque Ecologico do Mico Leão Dourado.",NA,NA,"Arvore de 5m de altura, folhas verdes discolores, fruto amarelo com látex branco","urn:catalog:JBRJ:RB:408930",NA,"Pouteria psammophila Radlk.",NA
"6",NA,"UFES","VIES","22198","Pouteria psammophila Radlk.",NA,"Sapotaceae","Pouteria","psammophila",NA,"Radlk.",NA,NA,NA,"827",NA,"Fernandes, D.; Ribeiro, R.",2004,4,25,"Brazil","Rio de Janeiro","Cabo Frio","Parque Ecológico do Mico Leão Dourado.",NA,NA,"SW2242","BRA:UFES:VIES:0000022198",NA,"Pouteria psammophila Radlk.",NA
"7","2014-07-22T15:56:38.000+0000","JBRJ","RB","RB00476288","Pouteria psammophila Radlk.",NA,"Sapotaceae","Pouteria","psammophila",NA,"Radlk.",NA,NA,NA,"227",NA,"G. S. Z. Rezende",2003,8,20,"Brazil","Rio de Janeiro","Cabo Frio","Gargoá, dentro dos limites do Parque Ecológico Municipal do Mico-Leão-Dourado. Parque Ecológico Municipal do Mico-Leão-Dourado",NA,NA,"Árvore com 3 m de altura, com látex branco folhas verdes descolores e levemente lustrosas","urn:catalog:JBRJ:RB:476288",NA,"Pouteria psammophila Radlk.",NA
"8","2017-11-19T09:12:04.000+0000","JBRJ","RB","RB00379039","Pouteria psammophila Radlk.",NA,"Sapotaceae","Pouteria","psammophila",NA,"Radlk.","T. D. PENNINGTON","2003-01-01T00:00:00.000+0000",NA,NA,NA,"COLETA DO ARBORETO",1999,6,18,"Brazil","Rio de Janeiro","Rio de Janeiro","CULTIVADA  NO  ARBORETO  DO  JARDIM  BOTÂNICO  DO  RIO  DE  JANEIRO,  CANTEIRO  10A. Jardim Botânico do Rio de Janeiro",NA,NA,"ÁRVORE COM LÁTEX BRANCO","urn:catalog:JBRJ:RB:379039",NA,"Pouteria psammophila Radlk.",NA
"9",NA,"UNICAMP","UEC","174963","Pouteria psammophila Radlk.",NA,"Sapotaceae","Pouteria","psammophila",NA,"Radlk.","Sanchez, M.",NA,NA,"1810",NA,"Sanchez, M.; Pedroni, F.; Laps, R.R.; Belinello, R.",1997,5,29,"Brazil","São Paulo","Ubatuba","Picinguaba. Morro do Corisco.",-44.816944,-23.3025,"Árvore 699 com 20 m de altura, com início de botões.; Mata Atlântica de Encosta.","BRA:UNICAMP:UEC:0000174963",NA,"Pouteria psammophila Radlk.",NA
"10",NA,"NY","NY","375503","Pouteria psammophila Radlk.",NA,"Sapotaceae","Pouteria","psammophila",NA,"Radlk.","T. D. Pennington","1997-01-01T00:00:00.000+0000",NA,"2893",NA,"J. R. Pirani",1993,5,16,"Brazil","Rio de Janeiro",NA,"28km do trevo de Cabo Frio, na Praia de MaÃ§ambaba. Area das Salinas PRING S. A.",-42.0278870993604,-22.9699617859893,NA,"25d14172-3431-400d-a9e0-ffebae9dfb65",NA,"Pouteria psammophila Radlk.",NA
"11",NA,"UFES","VIES","9528","Pouteria psammophila Radlk.",NA,"Sapotaceae","Pouteria","psammophila",NA,"Radlk.","Mônico, A.Z.","2014-05-19T00:00:00.000+0000",NA,"4270",NA,"Pereira, O.J.; Pereira, S.V. & Gomes, J.M.L.",1992,12,2,"Brazil","Espírito Santo","Conceição da Barra","Área 126 da Aracruz Celulose S.A.",NA,NA,"SW1839","BRA:UFES:VIES:0000009528",NA,"Pouteria psammophila Radlk.",NA
"12","2014-07-08T00:29:27.000+0000","JBRJ","RB","RB00731013","Pouteria psammophila var. xestophylla (Miq.) Baehni",NA,"Sapotaceae","Pouteria","psammophila","xestophylla","var. xestophylla (Miq.) Baehni","J. Cardoso",NA,NA,"133",NA,"R.H.P. Andreata",1981,10,20,"Brazil","Rio de Janeiro","Niterói","Itaipuaçu, Pico Alto Moirão.",NA,NA,"Árvore de 7m, heliófila com látex branco, folhas aspiraladas, caulifloria, flores alvo-esverdeadas, frutos e sementes marrons.","urn:catalog:JBRJ:RB:731013",NA,"Pouteria psammophila var. xestophylla (Miq.) Baehni",NA
"13",NA,"NY","NY","375501","Pouteria psammophila Radlk.",NA,"Sapotaceae","Pouteria","psammophila",NA,"Radlk.","T. D. Pennington",NA,NA,"21279",NA,"R. M. Harley",1980,4,12,"Brazil","Bahia",NA,"Serra Geral da Caitité. 8.5km. N. of Brejinhos das Ametistas, on the Caitité road",-42.48,-14.13,NA,"10fb6a4e-982c-4539-b506-e56a7f3cece5",NA,"Pouteria psammophila Radlk.",NA
"14","2014-07-08T02:43:31.000+0000","JBRJ","RB","RB00379281","Pouteria psammophila Radlk.",NA,"Sapotaceae","Pouteria","psammophila",NA,"Radlk.","M.H.D.A.Monteiro",NA,NA,NA,NA,"Dr.Othon Machado",1946,9,28,"Brazil","Rio de Janeiro","Rio de Janeiro","Restinga da Tijuca.",NA,NA,NA,"urn:catalog:JBRJ:RB:379281",NA,"Pouteria psammophila Radlk.",NA
"15",NA,"F","Botany",NA,"Pouteria crassinervia Engl.",NA,"Sapotaceae","Pouteria","crassinervia",NA,"Engl.",NA,NA,"HOLOTYPE","3920",NA,"J. H. R. Schenck",1887,5,7,"Brazil","Rio de Janeiro",NA,NA,-42.5,-22,NA,"b328f28f-0a36-456b-bab0-9560d816b9bf",NA,"Pouteria crassinervia Engl.",NA
"16",NA,"US","Botany","1484382","Pouteria psammophila Radlk.",NA,"Sapotaceae","Pouteria","psammophila",NA,"Radlk.",NA,NA,NA,"545",NA,"Riedel, --",1832,6,NA,"Brazil","Rio de Janeiro",NA,"In arenosis maritimis pr. R. Jan",NA,NA,NA,"http://n2t.net/ark:/65665/30a26a9bc-0506-4f43-aa24-1091669b27d7",NA,"Pouteria psammophila Radlk.",NA
"17",NA,"NY","NY","375502","Pouteria psammophila Radlk.",NA,"Sapotaceae","Pouteria","psammophila",NA,"Radlk.","T. D. Pennington","1988-01-01T00:00:00.000+0000",NA,"15",NA,"L. Riedel",1829,NA,NA,"Brazil","Rio de Janeiro",NA,"In sylv. arenosis",0,0,NA,"3deb976f-1ea4-4df7-9a80-a8e0284172d5",NA,"Pouteria psammophila Radlk.",NA
"18","2012-01-20T12:05:54.000+0000","MEL","MEL","MEL 2353767A","Pouteria psammophila Radlk.",NA,"Sapotaceae","Pouteria","psammophila",NA,"Radlk.","Moraes, P.L.R. de","2011-07-22T00:00:00.000+0000","ISOTYPE","s.n.","s.n.","Wied, M.A.P. zu",1815,9,NA,"Brazil","Rio de Janeiro",NA,"C. Frio [= Cabo Frio].",-42,-22.883333,NA,"f1d2a2e5-c9aa-4469-8b42-105837972b11",NA,"Pouteria psammophila Radlk.",NA
"19","2014-07-07T19:47:21.000+0000","JBRJ","RB","RB00587488","Lucuma psammophila var. xestophylla Miq.",NA,"Sapotaceae","Pouteria","psammophila","xestophylla","var. xestophylla Miq.",NA,NA,NA,NA,NA,"J.G.Kuhlmann",NA,NA,NA,"Brazil","Rio de Janeiro","Rio de Janeiro","Mundo Novo.Botafogo.",NA,NA,"Árv.de regular altura.Fl.alvas.","urn:catalog:JBRJ:RB:587488",NA,"Lucuma psammophila var. xestophylla Miq.",NA
"20",NA,"G","Geneva Herbarium – De Candolle's Prodromus (G-DC)","G-DC-131751/1","Lucuma nitida A.DC.",NA,"Sapotaceae","Pouteria","nitida",NA,"A.DC.","CAT.HERB.PRODR. (2007)",NA,"HOLOTYPE",NA,NA,"Gomes, I. (Coll. HERBIER DE CANDOLLE)",NA,NA,NA,"Brazil",NA,NA,"Rio de Janeiro - Rio-de-Janeiro/Estado do Rio de Janeiro",-42.9125,-22.48222,NA,NA,NA,"Lucuma nitida A.DC.",NA
"21",NA,NA,"Botany","U  0006685","Pouteria psammophila Radlk.",NA,"Sapotaceae","Pouteria","psammophila",NA,"Radlk.","Pennington TD",NA,"ISOTYPE",NA,NA,"Wied-Neuwied MAP zu",NA,NA,NA,"Brazil","Rio de Janeiro",NA,"Cap FrioRio de Janeiro, ad Cabo Frio",NA,NA,NA,"http://data.biodiversitydata.nl/naturalis/specimen/U%20%200006685",NA,"Pouteria psammophila Radlk.",NA
"22",NA,"MBM","MBM","123898","Pouteria psammophila Radlk.",NA,"Sapotaceae","Pouteria","psammophila",NA,"Radlk.","Pennington, TD",NA,NA,"21279",NA,"Harley, RM",NA,NA,NA,"Brazil","Bahia","Caetité","Serra Geral de Caetité",0,0,NA,"BRA:MBM:MBM:0000123898",NA,"Pouteria psammophila Radlk.",NA
"23",NA,"G","Geneva Herbarium – De Candolle's Prodromus (G-DC)","G-DC-131754/1","Lucuma nitida A.DC.",NA,"Sapotaceae","Pouteria","nitida",NA,"A.DC.","CAT.HERB.PRODR. (2007)",NA,NA,NA,NA,"Gomes, I. (Coll. HERBIER DE CANDOLLE)",NA,NA,NA,"Brazil",NA,NA,"Brésil",-53.08972,-10.77306,NA,NA,NA,"Lucuma nitida A.DC.",NA
"24",NA,"G","Geneva Herbarium – De Candolle's Prodromus (G-DC)","G-DC-131753/1","Lucuma nitida A.DC.",NA,"Sapotaceae","Pouteria","nitida",NA,"A.DC.","CAT.HERB.PRODR. (2007)",NA,NA,NA,NA,"Gomes, I. (Coll. HERBIER DE CANDOLLE)",NA,NA,NA,"Brazil",NA,NA,"Brésil",-53.08972,-10.77306,NA,NA,NA,"Lucuma nitida A.DC.",NA
"25",NA,"SNSB-M","BSMvplantscoll","M-0174369 / 565161 / 242669","Pouteria psammophila Radlk.",NA,"Sapotaceae","Pouteria","psammophila",NA,"Radlk.",NA,NA,"ISOTYPE",NA,NA,"Gomez, I.",NA,NA,NA,"Brazil",NA,NA,"[prope Rio de Janeiro ad ripas maritimas.]",-55,-10,NA,"http://id.snsb.info/snsb/collection/463822/565161/242669",NA,"Pouteria psammophila Radlk.",NA
"26","2013-12-10T16:29:32.000+0000","MNHN","P","P00648027","Pouteria psammophila Radlk.",NA,"Sapotaceae","Pouteria","psammophila",NA,"Radlk.",NA,NA,NA,NA,NA,"Luschnath, B.",NA,NA,NA,"Brazil",NA,NA,NA,NA,NA,NA,"http://coldb.mnhn.fr/catalognumber/mnhn/p/p00648027",NA,"Pouteria psammophila Radlk.",NA
"27","2014-01-23T00:00:00.000+0000","BR",NA,"BR0000013067694","Pouteria psammophila Radlk.",NA,"Sapotaceae","Pouteria","psammophila",NA,"Radlk.",NA,NA,NA,"87",NA,"Glaziou A.",NA,NA,NA,"Brazil",NA,NA,NA,NA,NA,NA,"http://www.botanicalcollections.be/specimen/BR0000013067694",NA,"Pouteria psammophila Radlk.",NA
"28",NA,"Reserva Natural Vale (CVRD)","CVRD","10007","Pouteria psammophila Radlk.",NA,"Sapotaceae","Pouteria","psammophila",NA,"Radlk.","Terry D. Pennington","2010-12-01T00:00:00.000+0000",NA,"5500",NA,"Folli, D.A.",2007,3,7,"Brazil","Es","LINHARES",NA,NA,NA,"<ll>dwc_commonname:</ll> Leiteiro branco","BRA:CVRD:CVRD:0000010007",NA,"Pouteria psammophila Radlk.",NA
"29",NA,"UFES","VIES","22772","Pouteria psammophila Radlk.",NA,"Sapotaceae","Pouteria","psammophila",NA,"Radlk.","Folli, D.A.","2003-05-10T00:00:00.000+0000",NA,"2301",NA,"Folli, D.A.",1994,5,11,"Brazil","Espírito Santo","Linhares","Reserva Natural Vale.",NA,NA,"SW1939","BRA:UFES:VIES:0000022772",NA,"Pouteria psammophila Radlk.",NA
"30",NA,"UFES","VIES","26440","Pouteria psammophila Radlk.",NA,"Sapotaceae","Pouteria","psammophila",NA,"Radlk.","Fabris, L.C.","2011-03-23T00:00:00.000+0000",NA,"273",NA,"Silva, I.A.",1981,11,30,"Brazil","Espírito Santo","Linhares","Reserva Natural Vale.",NA,NA,"SW1939","BRA:UFES:VIES:0000026440",NA,"Pouteria psammophila Radlk.",NA
"31","2017-10-11T04:59:49.000+0000","JBRJ","RB","RB00379075","Pouteria psammophila Radlk.",NA,"Sapotaceae","Pouteria","psammophila",NA,"Radlk.",NA,NA,NA,NA,NA,"J. G. KUHLMANN",1924,8,NA,"Brazil","Rio de Janeiro","Rio de Janeiro","JARDIM BOTÂNICO DO RIO DE JANEIRO. Jardim Botânico do Rio de Janeiro",NA,NA,"ÁRVORE 8M, DE ALT. FRUTO ALARANJADO COMESTIVEL","urn:catalog:JBRJ:RB:379075",NA,"Pouteria psammophila Radlk.",NA
"32",NA,"B","FMNH-B-Types","4200","Pouteria crassinervia Engl.",NA,"Sapotaceae","Pouteria","crassinervia",NA,"Engl.",NA,NA,"TYPE","3920",NA,"J. H. R. Schenck",1887,5,7,"Brazil",NA,NA,NA,NA,NA,NA,NA,NA,"Pouteria crassinervia Engl.",NA
"33",NA,"UNICAMP","UEC","170037","Pouteria psammophila Radlk.",NA,"Sapotaceae","Pouteria","psammophila",NA,"Radlk.","Rochelle, A.L.C.","2008-03-01T00:00:00.000+0000",NA,"J1698",NA,"Rochelle, A.L.C.",NA,NA,NA,"Brazil","São Paulo","Ubatuba","Fazenda Capricórnio - Bairro Taquaral, Floresta Ombrófila Densa Submontana.",-45.084167,-23.366667,"Indivíduo J1698 da parcela J do Projeto Temático BIOTA-Gradiente Funcional.","BRA:UNICAMP:UEC:0000170037",NA,"Pouteria psammophila Radlk.",NA
"34",NA,"US","Botany","1484326","Pouteria psammophila Radlk.",NA,"Sapotaceae","Pouteria","psammophila",NA,"Radlk.",NA,NA,NA,"545",NA,"L. Riedel",NA,NA,NA,"Brazil",NA,NA,NA,NA,NA,NA,"http://n2t.net/ark:/65665/33d427475-b5db-4968-961d-e98b9f02121b",NA,"Pouteria psammophila Radlk.",NA
