"","modified","institutionCode","collectionCode","catalogNumber","scientificName","family","genus","specificEpithet","scientificNameAuthorship","identifiedBy","typeStatus","recordNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLongitude","decimalLatitude","occurrenceRemarks","occurrenceID","acceptedNameUsage","identificationQualifier","infraspecificEpithet","dateIdentified","fieldNumber","comments","bibliographicCitation"
"1",NA,"USP","SPFW","3627","Schefflera prancei Fiaschi & G.M.Plunkett","Araliaceae","Schefflera","prancei","Fiaschi & G.M.Plunkett","P. Fiaschi 2012",NA,3309,"Fiaschi, P. Oliveira, H.M.; Cucker, J.E.S.L.; Melo, M.R.S.; Silva, E.F.",2008,1,1,"Brazil","Acre","Mâncio Lima","Parque Nacional da Serra do Divisor",-73.657611,-7.4465,NA,"BRA:USP:SPFW:0000003627","Schefflera prancei Fiaschi & G.M.Plunkett",NA,NA,NA,NA,NA,NA
"4",NA,"NY","NY","02212661","Schefflera prancei Fiaschi & G.M.Plunkett","Araliaceae","Schefflera","prancei","Fiaschi & G.M.Plunkett",NA,"HOLOTYPE",12446,"G. T. Prance",1971,4,25,"Brazil","Acre",NA,"Serra da Moa, Rio Moa, 6km above school",-73.73,-7.5,NA,"34300927-f47a-4d6e-a6d8-13c3e611f4c1","Schefflera prancei Fiaschi & G.M.Plunkett",NA,NA,NA,NA,NA,NA
