"","modified","institutionCode","collectionCode","catalogNumber","scientificName","family","genus","specificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLongitude","decimalLatitude","occurrenceRemarks","occurrenceID","bibliographicCitation","acceptedNameUsage","identificationQualifier","infraspecificEpithet","fieldNumber","comments"
"1","2016-09-09T11:03:40.000+0000","JBRJ","RB","RB00112744","Amanoa gracillima W.J.Hayden","Phyllanthaceae","Amanoa","gracillima","W.J.Hayden","R.SECCO",NA,NA,"3646","C A Cid; J Lima",2005,11,16,"Brazil","Amazonas","Amazonas","Fronteira de Brasil/Colombia - Mun. de Novo Japurá - Vila Bittencourt - Alto Rio Japura - Afluente do Rio Solimões - Terceiro Batalhão de Infantaria.",NA,NA,"Arvore de 15m x 15cm, flores we botões esverdeados","urn:catalog:JBRJ:RB:112744",NA,"Amanoa gracillima W.J.Hayden",NA,NA,NA,NA
"2","2014-09-26T00:00:00.000+0000","Instituto Nacional de Pesquisas da Amazônia (INPA)","Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)","194218","Amanoa gracillima W.J.Hayden","Phyllanthaceae","Amanoa","gracillima","W.J.Hayden",NA,NA,NA,"23","Brocki, E",1998,5,7,"Brazil","Amazonas",NA,"Reserva Florestal Adolfo Ducke, Reserva Florestal Ducke, margem do Campo de Futebol",-59.97,-2.883333,NA,"urn:catalog:inpa:herbarium:19353",NA,"Amanoa gracillima W.J.Hayden",NA,NA,NA,NA
"3","2014-09-26T00:00:00.000+0000","Instituto Nacional de Pesquisas da Amazônia (INPA)","Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)","185548","Amanoa gracillima W.J.Hayden","Phyllanthaceae","Amanoa","gracillima","W.J.Hayden","Vicentini, A.",NA,NA,"803","Sothers, CA",1996,2,23,"Brazil","Amazonas",NA,"Reserva Florestal Adolfo Ducke, Igarapé do Barro Branco, junto ao campo de futebol",-59.97,-2.883333,NA,"urn:catalog:inpa:herbarium:188334",NA,"Amanoa gracillima W.J.Hayden",NA,NA,NA,NA
"5","2009-12-18T08:54:00.000+0000","MO","MO","100236453","Amanoa gracillima W.J.Hayden","Phyllanthaceae","Amanoa","gracillima","W.J.Hayden","A. Vicentini","2000-01-01T00:00:00.000+0000",NA,"Sothers 803","Cynthia A. Sothers|E. Pereira da C.",1996,2,23,"Brazil","Amazonas",NA,NA,-59.966667,-2.883333,NA,"urn:catalog:MO:Tropicos:100236453","http://www.tropicos.org/Specimen/100236453","Amanoa gracillima W.J.Hayden",NA,NA,NA,NA
"6",NA,"NY","NY","01300924","Amanoa gracillima W.J.Hayden","Phyllanthaceae","Amanoa","gracillima","W.J.Hayden","I. Cordeiro","1995-05-01T00:00:00.000+0000",NA,"1538","M. J. G. Hopkins",1995,2,11,"Brazil","Amazonas",NA,"Reserva Florestal Ducke, Manaus-Itacoatiara, km 26.  IgarapÃ© do AcarÃ¡, prÃ³ximo ao acampamento.",0,0,NA,"45a670ea-051b-4ccc-bc9f-14073fc7e320",NA,"Amanoa gracillima W.J.Hayden",NA,NA,NA,NA
"8",NA,"UFRPE","PEUFR","35334","Amanoa gracillima W.J.Hayden","Phyllanthaceae","Amanoa","gracillima","W.J.Hayden","A. Vicentini",NA,NA,"404","M.A.S. Costa; P.A.C.L. Assunção",1995,10,20,"Brazil","Amazonas","Manaus","Reserva Florestal Ducke",-59.966667,-2.883333,"Árvore; tronco tortuoso; bifurcado (20+20 cm); de 10 m de alt.; ritidoma marrom-claro; escamoso (placas finas verticais +/- 6 mm de largura; compridas por todo tronco; lenticelas elípticas verticais salientes; fendidas; agrupadas em linhas bem definidas;","BRA:UFRPE:PEUFR:0000035334",NA,"Amanoa gracillima W.J.Hayden",NA,NA,NA,NA
"11","2013-02-05T14:31:58.000+0000","K","Herbarium","K000716164","Amanoa gracillima W.J.Hayden","Phyllanthaceae","Amanoa","gracillima","W.J.Hayden","Vicentini, A.",NA,NA,"404","Assuncao, P.A.C.L.; Costa, M.A.S.",1995,10,20,"Brazil",NA,NA,NA,NA,NA,NA,"http://specimens.kew.org/herbarium/K000716164",NA,"Amanoa gracillima W.J.Hayden",NA,NA,NA,NA
"12","2014-09-26T00:00:00.000+0000","Instituto Nacional de Pesquisas da Amazônia (INPA)","Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)","181879","Amanoa gracillima W.J.Hayden","Phyllanthaceae","Amanoa","gracillima","W.J.Hayden","Vicentini, A.","1996-01-01T00:00:00.000+0000",NA,"643","Sothers, CA",1995,10,25,"Brazil","Amazonas",NA,"Reserva Florestal Adolfo Ducke",-59.97,-2.883333,NA,"urn:catalog:inpa:herbarium:188179",NA,"Amanoa gracillima W.J.Hayden",NA,NA,NA,NA
"14","2014-09-26T00:00:00.000+0000","Instituto Nacional de Pesquisas da Amazônia (INPA)","Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)","185561","Amanoa gracillima W.J.Hayden","Phyllanthaceae","Amanoa","gracillima","W.J.Hayden","Cordeiro, I. dos R.",NA,NA,"1169","Vicentini, A",1995,12,15,"Brazil","Amazonas",NA,"Reserva Florestal Adolfo Ducke, Igarapé do Acará, a montante do acampamento.",-59.97,-2.883333,NA,"urn:catalog:inpa:herbarium:201868",NA,"Amanoa gracillima W.J.Hayden",NA,NA,NA,NA
"16",NA,NA,"Botany","U  0001852","Amanoa gracillima W.J.Hayden","Phyllanthaceae","Amanoa","gracillima","W.J.Hayden","Hayden WJ",NA,"HOLOTYPE",NA,"Pessoal do Horto Florestal",NA,NA,NA,"Brazil","Amazonas",NA,"Terreno do Dr. Vieiralves, Manaus, Amazonas.",NA,NA,NA,"http://data.biodiversitydata.nl/naturalis/specimen/U%20%200001852",NA,"Amanoa gracillima W.J.Hayden",NA,NA,NA,NA
