"","modified","institutionCode","collectionCode","catalogNumber","scientificName","family","genus","specificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLongitude","decimalLatitude","occurrenceRemarks","occurrenceID","acceptedNameUsage","identificationQualifier","infraspecificEpithet","comments","bibliographicCitation"
"1",NA,"MN","R","194303","Gonatogyne brasiliensis Müll.Arg.","Phyllanthaceae","Gonatogyne","brasiliensis","Müll.Arg.","Cordeiro,I.",NA,NA,"1384",NA,"Cordeiro, I.",1994,4,NA,"Brazil","São Paulo","São Paulo",NA,NA,NA,NA,"BRA:MN:R:0000194303","Gonatogyne brasiliensis Müll.Arg.",NA,NA,NA,NA
"2",NA,"Instituto de Botânica, IBT","SP","269168","Gonatogyne brasiliensis Müll.Arg.","Phyllanthaceae","Gonatogyne","brasiliensis","Müll.Arg.","Cordeiro, I","1994-06-01T00:00:00.000+0000",NA,"s.n.",NA,"Anésio, D",1971,6,10,"Brazil","São Paulo","Campinas","nativo no Bosque dos Jequitibás",0,0,NA,"BRA:IBt:SP:0000269168","Gonatogyne brasiliensis Müll.Arg.",NA,NA,NA,NA
"3",NA,"UNICAMP","UEC","111555","Gonatogyne brasiliensis Müll.Arg.","Phyllanthaceae","Gonatogyne","brasiliensis","Müll.Arg.","Webster, G.L.","1992-08-01T00:00:00.000+0000",NA,"s.n.",NA,"s/ coletor",1958,8,23,"Brazil","São Paulo","São Paulo","Jardim Botânico",0,0,"ori, Árvore número 38 da gleba estudo","BRA:UNICAMP:UEC:0000111555","Gonatogyne brasiliensis Müll.Arg.",NA,NA,NA,NA
"4",NA,"Instituto de Botânica, IBT","SP","232886","Gonatogyne brasiliensis Müll.Arg.","Phyllanthaceae","Gonatogyne","brasiliensis","Müll.Arg.","Handro, O","1956-07-20T00:00:00.000+0000",NA,"3894",NA,"Gonçalves, P; Kuhlmann, M",1956,7,13,"Brazil","São Paulo","São Paulo","Parque do Estado, Mata natural do Jardim Botânico",0,0,"Floação","BRA:IBt:SP:0000232886","Gonatogyne brasiliensis Müll.Arg.",NA,NA,NA,NA
"5","2017-10-15T16:23:22.000+0000","JBRJ","RB","RB00561507","Gonatogyne brasiliensis Müll.Arg.","Phyllanthaceae","Gonatogyne","brasiliensis","Müll.Arg.","I. Cordeiro","2012-07-16T00:00:00.000+0000",NA,"259",NA,"W. Duarte Barros",1941,4,8,"Brazil","Rio de Janeiro","Itatiaia","Lote 17",NA,NA,"Árvore.","urn:catalog:JBRJ:RB:561507","Gonatogyne brasiliensis Müll.Arg.",NA,NA,NA,NA
"6",NA,"Escola Superior de Agricultura Luiz de Queiroz, ESALQ","ESA","ESA069094","Gonatogyne brasiliensis Müll.Arg.","Phyllanthaceae","Gonatogyne","brasiliensis","Müll.Arg.","Cordeiro, I.",NA,NA,NA,NA,"Hoehne, F.C.",1932,6,16,"Brazil","São Paulo","São Paulo",NA,NA,NA,NA,"BRA:ESALQ:ESA:0ESA069094","Gonatogyne brasiliensis Müll.Arg.",NA,NA,NA,NA
"7",NA,"Instituto de Botânica, IBT","SP","29617","Gonatogyne brasiliensis Müll.Arg.","Phyllanthaceae","Gonatogyne","brasiliensis","Müll.Arg.","Webster, GL","1992-08-23T00:00:00.000+0000",NA,"s.n.",NA,"Hoehne, FC",1932,6,16,"Brazil","São Paulo","São Paulo","nativa no Jd. Botânico",0,0,NA,"BRA:IBt:SP:0000029617","Gonatogyne brasiliensis Müll.Arg.",NA,NA,NA,NA
"8",NA,"Instituto de Botânica, IBT","SP","29651","Gonatogyne brasiliensis Müll.Arg.","Phyllanthaceae","Gonatogyne","brasiliensis","Müll.Arg.","Cordeiro, I","1999-01-01T00:00:00.000+0000",NA,"s.n.",NA,"Hoehne, FC",1932,6,16,"Brazil","São Paulo","São Paulo","nativa no Jd. Botânico",0,0,NA,"BRA:IBt:SP:0000029651","Gonatogyne brasiliensis Müll.Arg.",NA,NA,NA,NA
"9",NA,"IPA","IPA","63747","Gonatogyne brasiliensis Müll.Arg.","Phyllanthaceae","Gonatogyne","brasiliensis","Müll.Arg.","Cordeiro, I.","1999-10-01T00:00:00.000+0000",NA,"s.n.",NA,"Hoehne, F.C.",1932,6,16,"Brazil","São Paulo","São Paulo","Nativa do Jardim Botânico.",0,0,"Árvore de mata. Flores alvas.","BRA:IPA:IPA:0000063747","Gonatogyne brasiliensis Müll.Arg.",NA,NA,NA,NA
"10",NA,"IF","SPSF","27238","Gonatogyne brasiliensis Müll.Arg.","Phyllanthaceae","Gonatogyne","brasiliensis","Müll.Arg.","G.L.Webster","1992-08-23T00:00:00.000+0000",NA,"s/n",NA,"F.C.Hoehne",1932,6,16,"Brazil","Sp","São Paulo","Jardim Botânico",NA,NA,"COLETA: Árvore de mata com flores alvas. Nativa do parque.;","BRA:IF:SPSF:0000027238","Gonatogyne brasiliensis Müll.Arg.",NA,NA,NA,NA
"11",NA,"UNICAMP","UEC","111554","Gonatogyne brasiliensis Müll.Arg.","Phyllanthaceae","Gonatogyne","brasiliensis","Müll.Arg.","Webster, G.L.","1992-08-01T00:00:00.000+0000",NA,"s.n.",NA,"Hoehne, F.C.",1932,6,16,"Brazil","São Paulo","São Paulo","Nativa no Jardim Botânico",0,0,"flor, Árvore da mata com flores alvas","BRA:UNICAMP:UEC:0000111554","Gonatogyne brasiliensis Müll.Arg.",NA,NA,NA,NA
"12",NA,"UFPR","UPCB","42990","Gonatogyne brasiliensis Müll.Arg.","Phyllanthaceae","Gonatogyne","brasiliensis","Müll.Arg.","Cordeiro, I.","1999-10-20T00:00:00.000+0000",NA,NA,NA,"Hoehne, F.C.",1932,6,16,"Brazil","São Paulo","São Paulo","Jardim Botânico",NA,NA,"Árvore nativa com flores alvas, da mata..","BRA:UFPR:UPCB:0000042990","Gonatogyne brasiliensis Müll.Arg.",NA,NA,NA,NA
"13",NA,"UnB","UB","150828","Gonatogyne brasiliensis Müll.Arg.","Phyllanthaceae","Gonatogyne","brasiliensis","Müll.Arg.","Cordeiro, I","1999-01-01T00:00:00.000+0000",NA,"s.n.",NA,"Hoehne, FC",1932,7,16,"Brazil","São Paulo","São Paulo","Nativa no Jardim Botânico.",0,0,"Árvore da mata com flores.","BRA:UnB:UB:0000150828","Gonatogyne brasiliensis Müll.Arg.",NA,NA,NA,NA
"14",NA,"Instituto de Botânica, IBT","SP","27387A","Gonatogyne brasiliensis Müll.Arg.","Phyllanthaceae","Gonatogyne","brasiliensis","Müll.Arg.","Hoehne, FC",NA,NA,"s.n.",NA,"Hoehne, FC",1931,3,25,"Brazil","São Paulo","São Paulo","Parque do Estado, nativa no Jd. Botânico",0,0,NA,"BRA:IBt:SP:000027387A","Gonatogyne brasiliensis Müll.Arg.",NA,NA,NA,NA
"15",NA,"UNICAMP","UEC","111588","Gonatogyne brasiliensis Müll.Arg.","Phyllanthaceae","Gonatogyne","brasiliensis","Müll.Arg.","Cordeiro, I.","1999-10-20T00:00:00.000+0000",NA,"s.n.",NA,"Hoehne, F.C.",1931,3,25,"Brazil","São Paulo","São Paulo","Nativa no Jardim Botânico, parque do estado",0,0,"ori, Árvore da mata, flores dioicas","BRA:UNICAMP:UEC:0000111588","Gonatogyne brasiliensis Müll.Arg.",NA,NA,NA,NA
"16",NA,"Instituto de Botânica, IBT","SP","27387B","Gonatogyne brasiliensis Müll.Arg.","Phyllanthaceae","Gonatogyne","brasiliensis","Müll.Arg.","Cordeiro, I","1999-10-20T00:00:00.000+0000",NA,"s.n.",NA,"Hoehne, FC",1931,3,25,"Brazil","São Paulo","São Paulo","nativa no Jd. Botânico (Parque do Estado)",0,0,NA,"BRA:IBt:SP:000027387B","Gonatogyne brasiliensis Müll.Arg.",NA,NA,NA,NA
"17",NA,"UFPR","UPCB","42991","Gonatogyne brasiliensis Müll.Arg.","Phyllanthaceae","Gonatogyne","brasiliensis","Müll.Arg.","Cordeiro, I.","1999-10-20T00:00:00.000+0000",NA,NA,NA,"Hoehne, F.C.",1931,3,25,"Brazil","São Paulo","São Paulo","Parque do Estado e Jardim Botânico",NA,NA,"Árvore nativa, flores dióicas, da mata..","BRA:UFPR:UPCB:0000042991","Gonatogyne brasiliensis Müll.Arg.",NA,NA,NA,NA
"18",NA,"Instituto de Botânica, IBT","SP","29503","Gonatogyne brasiliensis Müll.Arg.","Phyllanthaceae","Gonatogyne","brasiliensis","Müll.Arg.","Cordeiro, I","1999-10-20T00:00:00.000+0000",NA,"s.n.",NA,"Hoehne, FC",1931,4,NA,"Brazil","São Paulo","São Paulo","nativa no Jd. Botânico",0,0,NA,"BRA:IBt:SP:0000029503","Gonatogyne brasiliensis Müll.Arg.",NA,NA,NA,NA
"19",NA,"Instituto de Botânica, IBT","SP","32203","Gonatogyne brasiliensis Müll.Arg.","Phyllanthaceae","Gonatogyne","brasiliensis","Müll.Arg.","Hoehne, FC",NA,NA,"s.n.",NA,"Hoehne, FC",1922,11,9,"Brazil","São Paulo","São Paulo","Bosque da Sa·de",0,0,NA,"BRA:IBt:SP:0000032203","Gonatogyne brasiliensis Müll.Arg.",NA,NA,NA,NA
"20",NA,"Instituto de Botânica, IBT","SP","3088","Gonatogyne brasiliensis Müll.Arg.","Phyllanthaceae","Gonatogyne","brasiliensis","Müll.Arg.","Hoehne, FC",NA,NA,"s.n.",NA,"Gehrt, A",1919,4,NA,"Brazil","São Paulo","São Paulo","Jabaquara",0,0,NA,"BRA:IBt:SP:0000003088","Gonatogyne brasiliensis Müll.Arg.",NA,NA,NA,NA
"21","2014-07-07T18:56:23.000+0000","JBRJ","RB","RB00561541","Gonatogyne brasiliensis Müll.Arg.","Phyllanthaceae","Gonatogyne","brasiliensis","Müll.Arg.","I. Cordeiro","2012-07-16T00:00:00.000+0000",NA,NA,NA,"F.C. Hoehne",NA,NA,NA,"Brazil","São Paulo","São Paulo","Jardim Botânico de São Paulo.",NA,NA,"Árvore regular.","urn:catalog:JBRJ:RB:561541","Gonatogyne brasiliensis Müll.Arg.",NA,NA,NA,NA
"22",NA,"B","FMNH-B-Types","5005","Savia brasiliensis (Baill.) Pax & K.Hoffm.","Phyllanthaceae","Gonatogyne","brasiliensis","(Baill.) Pax & K.Hoffm.",NA,NA,"TYPE","468",NA,"F. Sellow",NA,NA,NA,"Brazil",NA,NA,NA,NA,NA,NA,NA,"Savia brasiliensis (Baill.) Pax & K.Hoffm.",NA,NA,NA,NA
"23","2013-02-12T16:51:27.000+0000","K","Herbarium","K000716038","Gonatogyne brasiliensis Müll.Arg.","Phyllanthaceae","Gonatogyne","brasiliensis","Müll.Arg.","Cordeiro, I.","1999-10-20T00:00:00.000+0000",NA,"s.n.",NA,"Hoehne, F.C.",1932,6,16,"Brazil",NA,NA,NA,NA,NA,NA,"http://specimens.kew.org/herbarium/K000716038","Gonatogyne brasiliensis Müll.Arg.",NA,NA,NA,NA
"24",NA,"UNICAMP","UEC","111553","Gonatogyne brasiliensis Müll.Arg.","Phyllanthaceae","Gonatogyne","brasiliensis","Müll.Arg.","Cordeiro, I.","1999-10-20T00:00:00.000+0000",NA,"s.n.",NA,"Hoehne, F.C.",1931,3,25,"Brazil","São Paulo","São Paulo","Jardim Botânico",0,0,"Arvore da mata, flores dioicas.","BRA:UNICAMP:UEC:0000111553","Gonatogyne brasiliensis Müll.Arg.",NA,NA,NA,NA
